dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/thms/RosenblumD17;article;2017-05-18;"Identifying Developmental Dysgraphia Characteristics Utilizing Handwriting Classification Methods.";"";"2017";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2016.2628799";0
journals/thms/AndersonWI14;article;2017-05-18;"Experimental Performance Analysis of a Homotopy-Based Shared Autonomy Framework.";"";"2014";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/TSMC.2014.2298383";0
journals/thms/PopescuCBPFZ13;article;2017-05-18;"Reliably Creating Collision Avoidance Advisories in Piloted Simulations.";"";"2013";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/TSMC.2013.2258668";0
journals/thms/GiangDFAM14;article;2017-06-08;"Supporting Air Versus Ground Vehicle Decisions for Interfacility Medical Transport Using Historical Data.";"";"2014";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2013.2294636";0
journals/thms/ArdoinF16;article;2017-05-18;"Investigating Redundant Encoding Methods for Tactile Messaging in Multitask Scenarios.";"";"2016";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2015.2483372";0
journals/thms/SapkotaKA15;article;2017-05-18;"Application of Evolving Self-Organizing Maps for Analysis of Human Adverse Events in the Context of Complex Socioeconomic Infrastructure Interactions.";"";"2015";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2015.2412120";0
journals/thms/BruttiC17;article;2017-05-18;"Online Cross-Modal Adaptation for Audio-Visual Person Identification With Wearable Cameras.";"";"2017";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2016.2620110";0
journals/thms/FortinoGGKJ13;article;2017-06-08;"Enabling Effective Programming and Flexible Management of Efficient Body Sensor Network Applications.";"";"2013";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/TSMCC.2012.2215852";0
journals/thms/LaiZ15;article;2017-05-18;"ExtendedThumb: A Target Acquisition Approach for One-Handed Interaction With Touch-Screen Mobile Phones.";"";"2015";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2014.2377205";0
journals/thms/HenkelBMS14;article;2017-05-18;"Evaluation of Proxemic Scaling Functions for Social Robotics.";"";"2014";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2014.2304075";0
journals/thms/ObeidatCK15;article;2017-06-08;"Introducing the Edges Paradigm: A P300 Brain-Computer Interface for Spelling Written Words.";"";"2015";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2015.2456017";0
journals/thms/LamWNHZKZ15;article;2017-06-08;"SmartMood: Toward Pervasive Mood Tracking and Analysis for Manic Episode Detection.";"";"2015";"IEEE Trans. Human-Machine Systems";"https://doi.org/10.1109/THMS.2014.2360469";0
