dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tip/BlomgrenC98;article;2017-06-08;"Color TV: total variation methods for restoration of vector-valued images.";"";"1998";"IEEE Trans. Image Processing";"https://doi.org/10.1109/83.661180";0
journals/tip/FengFJ15;article;2017-05-26;"Learning to Rank Image Tags With Limited Training Examples.";"";"2015";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2015.2395816";0
journals/tip/RagazzoniV98;article;2017-06-08;"Group-membership reinforcement for straight edges based on Bayesian networks.";"";"1998";"IEEE Trans. Image Processing";"https://doi.org/10.1109/83.709664";0
journals/tip/Vrhel05;article;2017-05-26;"Color image resolution conversion.";"";"2005";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2004.841194";0
journals/tip/Lenz02;article;2017-05-26;"Two stage principal component analysis of color.";"";"2002";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2002.1014994";0
journals/tip/PariharVK17;article;2017-06-14;"Fuzzy-Contextual Contrast Enhancement.";"";"2017";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2017.2665975";0
journals/tip/FarajiM06;article;2017-05-26;"CCD noise removal in digital images.";"";"2006";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2006.877363";0
journals/tip/Huang15;article;2017-05-26;"Bayesian Inference for Neighborhood Filters With Application in Denoising.";"";"2015";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2015.2463220";0
journals/tip/LiKGD08;article;2017-05-26;"Minimization of Region-Scalable Fitting Energy for Image Segmentation.";"";"2008";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2008.2002304";0
journals/tip/YanXT07;article;2017-05-26;"Face Verification With Balanced Thresholds.";"";"2007";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2006.884939";0
journals/tip/DubeySS15;article;2017-05-26;"Local Wavelet Pattern: A New Feature Descriptor for Image Retrieval in Medical CT Databases.";"";"2015";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2015.2493446";0
journals/tip/GuoDHG17;article;2017-07-26;"Zero-Shot Learning With Transferred Samples.";"";"2017";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2017.2696747";0
journals/tip/Qiu96;article;2017-05-26;"An improved recursive median filtering scheme for image processing .";"";"1996";"IEEE Trans. Image Processing";"https://doi.org/10.1109/83.491340";0
journals/tip/AlsahwaSABG16;article;2017-05-26;"Iterative Refinement of Possibility Distributions by Learning for Pixel-Based Classification.";"";"2016";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2016.2574992";0
journals/tip/HuXFZM07;article;2017-05-26;"Semantic-Based Surveillance Video Retrieval.";"";"2007";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2006.891352";0
journals/tip/LaValleMH97;article;2017-06-14;"Methods for numerical integration of high-dimensional posterior densities with application to statistical image models.";"";"1997";"IEEE Trans. Image Processing";"https://doi.org/10.1109/83.650119";0
journals/tip/RiveraRC12;article;2017-05-26;"Content-Aware Dark Image Enhancement Through Channel Division.";"";"2012";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2012.2198667";0
journals/tip/WangM99;article;2017-05-26;"Fast algorithms for the estimation of motion vectors.";"";"1999";"IEEE Trans. Image Processing";"https://doi.org/10.1109/83.748899";0
journals/tip/ZhengWZ09;article;2017-05-26;"RST Invariant Image Watermarking Algorithm With Mathematical Modeling and Analysis of the Watermarking Processes.";"";"2009";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2009.2014807";0
journals/tip/DupuisSEV13;article;2017-06-08;"Robust Radial Face Detection for Omnidirectional Vision.";"";"2013";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2012.2236344";0
journals/tip/VleeschouwerZ03;article;2017-05-26;"In-loop atom modulus quantization for matching pursuit and its application to video coding.";"";"2003";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2003.817253";0
journals/tip/Meyer02;article;2017-06-08;"Image compression with adaptive local cosines: a comparative study.";"";"2002";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2002.1014993";0
journals/tip/XiongRO97;article;2017-05-26;"Space-frequency quantization for wavelet image coding.";"";"1997";"IEEE Trans. Image Processing";"https://doi.org/10.1109/83.568925";0
journals/tip/AnsariG17;article;2017-07-26;"Image Reconstruction Using Matched Wavelet Estimated From Data Sensed Compressively Using Partial Canonical Identity Matrix.";"";"2017";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2017.2700719";0
journals/tip/PuschelR07;article;2017-05-26;"Algebraic Signal Processing Theory: 2-D Spatial Hexagonal Lattice.";"";"2007";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2007.896626";0
journals/tip/Juefei-XuLS15;article;2017-05-26;"Spartans: Single-Sample Periocular-Based Alignment-Robust Recognition Technique Applied to Non-Frontal Scenarios.";"";"2015";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2015.2468173";0
journals/tip/MiyagawaAK10;article;2017-05-26;"Simple Camera Calibration From a Single Image Using Five Points on Two Orthogonal 1-D Objects.";"";"2010";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2010.2042118";0
journals/tip/Shapiro96;article;2017-05-26;"On the reconstructive matching of multidimensional objects.";"";"1996";"IEEE Trans. Image Processing";"https://doi.org/10.1109/83.491342";0
journals/tip/VrhelT95;article;2017-05-26;"Optimal color filters in the presence of noise.";"";"1995";"IEEE Trans. Image Processing";"https://doi.org/10.1109/83.388082";0
journals/tip/Kybic10;article;2017-06-08;"Bootstrap Resampling for Image Registration Uncertainty Estimation Without Ground Truth.";"";"2010";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2009.2030955";0
journals/tip/TilloGO07;article;2017-06-08;"Multiple Description Image Coding Based on Lagrangian Rate Allocation.";"";"2007";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2007.891152";0
journals/tip/FabletBP02;article;2017-05-26;"Nonparametric motion characterization using causal probabilistic models for video indexing and retrieval.";"";"2002";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2002.999674";0
journals/tip/ChoiRP12;article;2017-05-26;"Color Local Texture Features for Color Face Recognition.";"";"2012";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2011.2168413";0
journals/tip/WangYW14;article;2017-07-03;"Context-Aware Discovery of Visual Co-Occurrence Patterns.";"";"2014";"IEEE Trans. Image Processing";"https://doi.org/10.1109/TIP.2014.2308416";0
