dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tie/GmyrekL17;article;2017-05-20;"Influence of Geometry and Assembly Processes on the Building Factor of the Stator Core of the Synchronous Reluctance Motor.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2589919";0
journals/tie/MattavelliPLS08;article;2017-05-20;"Analysis of Control-Delay Reduction for the Improvement of UPS Voltage-Loop Bandwidth.";"";"2008";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2008.918607";0
journals/tie/BayhanAB16;article;2017-05-20;"Model Predictive Control of Quasi-Z-Source Four-Leg Inverter.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2535981";0
journals/tie/SrdicN11;article;2017-05-20;"Predictive Fast DSP-Based Current Controller for Thyristor Converters.";"";"2011";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2010.2089941";0
journals/tie/YazdaniBJM09a;article;2017-05-20;"A Real-Time Three-Phase Selective-Harmonic-Extraction Approach for Grid-Connected Converters.";"";"2009";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2009.2024658";0
journals/tie/YuZCY14;article;2017-05-20;"Analysis and Verification of the Doubly Salient Brushless DC Generator for Automobile Auxiliary Power Unit Application.";"";"2014";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2014.2320224";0
journals/tie/MohammadiF15;article;2017-06-14;"Analysis of Diode Reverse Recovery Effect on the Improvement of Soft-Switching Range in Zero-Voltage-Transition Bidirectional Converters.";"";"2015";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2014.2363425";0
journals/tie/SuhSS07;article;2017-05-20;"Efficiency Comparison of Voltage-Source and Current-Source Drive Systems for Medium-Voltage Applications.";"";"2007";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2007.900352";0
journals/tie/SalemAOA16;article;2017-06-14;"Study and Analysis of New Three-Phase Modular Multilevel Inverter.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2547914";0
journals/tie/SongXZL16;article;2017-05-20;"Control Performance Analysis and Improvement of a Modular Power Converter for Three-Phase SRM With Y-Connected Windings and Neutral Line.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2577543";0
journals/tie/VukobratovicT94;article;2017-05-20;"Contact control concepts in manipulation robotics-an overview.";"";"1994";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.281603";1
journals/tie/DokiTO97;article;2017-05-20;"Slip-frequency type and flux-feedback type vector controls in discrete-time system.";"";"1997";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.585836";1
journals/tie/RuanW04;article;2017-05-20;"Calculation of the resonant capacitor of the improved current-doubler-rectifier ZVS PWM full-bridge converter.";"";"2004";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2004.825218";0
journals/tie/YildizSA07;article;2017-09-16;"Sliding-Mode Neuro-Controller for Uncertain Systems.";"";"2007";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2007.894719";0
journals/tie/WaiL05;article;2017-05-20;"Robust decoupled control of direct field-oriented induction motor drive.";"";"2005";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2005.847585";1
journals/tie/TanF16;article;2017-05-20;"Linear Active Disturbance-Rejection Control: Analysis and Tuning via IMC.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2015.2505668";0
journals/tie/AlwiESMH15;article;2017-05-20;"Real-Time Implementation of an ISM Fault-Tolerant Control Scheme for LPV Plants.";"";"2015";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2014.2386279";0
journals/tie/ChoSLBL13;article;2017-05-20;"Gain-Scheduling Control of Teleoperation Systems Interacting With Soft Tissues.";"";"2013";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2012.2189537";0
journals/tie/ChangLDS10;article;2017-05-20;"On Real-Time Simulation for Harmonic and Flicker Assessment of an Industrial System With Bulk Nonlinear Loads.";"";"2010";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2009.2037645";0
journals/tie/KimKKWL10;article;2017-05-20;"The Design Method and Performance Analysis of RF Subsampling Frontend for SDR/CR Receivers.";"";"2010";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2009.2033491";0
journals/tie/WangAR17a;article;2017-06-28;"A Review of LED Drivers and Related Technologies.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2017.2677335";0
journals/tie/ValiviitaOV99;article;2017-05-20;"Polynomial predictive filtering in control instrumentation: a review.";"";"1999";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.793335";1
journals/tie/Dorrell08;article;2017-06-14;"Combined Thermal and Electromagnetic Analysis of Permanent-Magnet and Induction Machines to Aid Calculation.";"";"2008";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2008.925311";0
journals/tie/ChenHCC14;article;2017-05-20;"A Power Sensor Tag With Interference Reduction for Electricity Monitoring of Two-Wire Household Appliances.";"";"2014";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2013.2266089";0
journals/tie/KwonM93;article;2017-05-20;"A fully software-controlled PWM rectifier with current link.";"";"1993";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.232215";1
journals/tie/LorenzenBFKWKUMRSG01;article;2017-05-20;"Micro thermal management of high-power diode laser bars.";"";"2001";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.915407";0
journals/tie/SunWZWDL16;article;2017-07-27;"A Single DC Source Cascaded Seven-Level Inverter Integrating Switched-Capacitor Techniques.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2557317";0
journals/tie/HanWWW11;article;2017-05-20;"Bypass Flow-Splitting Forwarding in FISH Networks.";"";"2011";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2010.2046572";0
journals/tie/IndrusiakGR07;article;2017-06-08;"On the Evolution of Remote Laboratories for Prototyping Digital Electronic Systems.";"";"2007";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2007.907010";0
journals/tie/WangL08;article;2017-05-20;"High-Power-Factor Electronic Ballast With Intelligent Energy-Saving Control for Ultraviolet Drinking-Water Treatment Systems.";"";"2008";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2007.905965";0
journals/tie/LeeSB16;article;2017-05-20;"Designing a Permanent-Magnetic Actuator for Vacuum Circuit Breakers Using the Taguchi Method and Dynamic Characteristic Analysis.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2015.2494006";0
journals/tie/VazquezRRFN17;article;2017-09-16;"Model Predictive Control for Power Converters and Drives: Advances and Trends.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2625238";0
journals/tie/Grbovic09;article;2017-05-20;"High-Voltage Auxiliary Power Supply Using Series-Connected MOSFETs and Floating Self-Driving Technique.";"";"2009";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2009.2012418";0
journals/tie/QuangHL15;article;2017-05-20;"A Fully Integrated Multimode Wireless Power Charger IC With Adaptive Supply Control and Built-In Resistance Compensation.";"";"2015";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2014.2336618";0
journals/tie/ArafatCB17;article;2017-07-19;"Open-Phase Fault Detection of a Five-Phase Permanent Magnet Assisted Synchronous Reluctance Motor Based on Symmetrical Components Theory.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2017.2682016";0
journals/tie/AbidiXS09;article;2017-09-16;"A Discrete-Time Terminal Sliding-Mode Control Approach Applied to a Motion Control Problem.";"";"2009";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2008.2010203";0
journals/tie/EshkoliSN16;article;2017-05-20;"Lumped Circuit Model of Conical-Shaped Inductors for Broad-Bandwidth Applications.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2546218";0
journals/tie/HwangHLC13;article;2017-05-20;"PLL-Based Contactless Energy Transfer Analog FSK Demodulator Using High-Efficiency Rectifier.";"";"2013";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2011.2181135";0
journals/tie/WangWXZ13a;article;2017-05-20;"Phase-Shifting-Transformer-Fed Multimodular Matrix Converter Operated by a New Modulation Strategy.";"";"2013";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2012.2217714";0
journals/tie/ChiangCY98;article;2017-05-20;"Residential photovoltaic energy storage system.";"";"1998";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.678996";0
journals/tie/ReddyHE14;article;2017-05-20;"Generalized Approach of Stator Shifting in Interior Permanent-Magnet Machines Equipped With Fractional-Slot Concentrated Windings.";"";"2014";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2013.2297515";0
journals/tie/YouZZLCCQZ13;article;2017-09-16;"Study of RF Subsystem Used in Dynamic Spectrum Sharing System at TV Band.";"";"2013";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2012.2193865";0
journals/tie/TsaiLTH95;article;2017-05-20;"Design and implementation of a demand-side multifunction battery energy storage system.";"";"1995";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.475505";0
journals/tie/TashiroM08;article;2017-05-20;"Step Passage Control of a Power-Assisted Wheelchair for a Caregiver.";"";"2008";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2008.917061";0
journals/tie/YangLKDP16;article;2017-05-20;"Online Monitoring System Design for Roll Eccentricity in Rolling Mills.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2015.2442223";0
journals/tie/TsengC98;article;2017-05-20;"A passive lossless snubber cell for nonisolated PWM DC/DC converters.";"";"1998";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.704887";0
journals/tie/CortesKKQR08;article;2017-09-16;"Predictive Control in Power Electronics and Drives.";"";"2008";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2008.2007480";0
journals/tie/KwonK17;article;2017-06-14;"Electromagnetic Analysis and Steady-State Performance of Double-Sided Flat Linear Motor Using Soft Magnetic Composite.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2619658";0
journals/tie/YuYHL17;article;2017-07-19;"Active Vibration Control of Magnetically Suspended Wheel Using Active Shaft Deflection.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2017.2682786";0
journals/tie/ZengC08;article;2017-05-20;"An Advanced SVPWM-Based Predictive Current Controller for Three-Phase Inverters in Distributed Generation Systems.";"";"2008";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2007.907674";0
journals/tie/HabibullahLXR16;article;2017-06-08;"A Simplified Finite-State Predictive Direct Torque Control for Induction Motor Drive.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2519327";0
journals/tie/FanZHH14;article;2017-05-20;"Design, Analysis, and Sensorless Control of a Self-Decelerating Permanent-Magnet In-Wheel Motor.";"";"2014";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2014.2300065";0
journals/tie/KimH97;article;2017-05-20;"Design of interface circuits with electrical battery models.";"";"1997";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.557502";0
journals/tie/ReedH96;article;2017-06-14;"Image fusion and subpixel parameter estimation for automated optical inspection of electronic components.";"";"1996";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.499806";0
journals/tie/GuzinskiADKL10;article;2017-06-08;"Speed and Load Torque Observer Application in High-Speed Train Electric Drive.";"";"2010";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2009.2029582";0
journals/tie/ChuangK14;article;2017-05-20;"On-Chip Transient Voltage Suppressor Integrated With Silicon-Based Transceiver IC for System-Level ESD Protection.";"";"2014";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2013.2297292";0
journals/tie/RoinilaHV13;article;2017-06-08;"On Frequency-Response Measurements of Power-Electronic Systems Applying MIMO Identification Techniques.";"";"2013";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2012.2221118";0
journals/tie/KitaON92;article;2017-05-20;"Solving a placement problem by means of an analog neural network.";"";"1992";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.170974";0
journals/tie/SheHLO17;article;2017-09-21;"Review of Silicon Carbide Power Devices and Their Applications.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2017.2652401";0
journals/tie/ChoiKJK05;article;2017-05-20;"High-performance online UPS using three-leg-type converter.";"";"2005";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2005.847575";0
journals/tie/WangP11;article;2017-06-08;"Economic Analysis of Canary-Based Prognostics and Health Management.";"";"2011";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2010.2072897";0
journals/tie/MarignettiSATGM16;article;2017-06-08;"Fiber Bragg Grating Sensor for Electric Field Measurement in the End Windings of High-Voltage Electric Machines.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2516500";0
journals/tie/WallmarkHC05;article;2017-05-20;"An improved speed and position estimator for salient permanent-magnet synchronous motors.";"";"2005";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2004.841088";0
journals/tie/KuoL99;article;2017-05-20;"GA-based fuzzy PI/PD controller for automotive active suspension system.";"";"1999";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.807984";1
journals/tie/LanzafameNRRSTT10;article;2017-06-08;"Field Experience With Performances Evaluation of a Single-Crystalline Photovoltaic Panel in an Underwater Environment.";"";"2010";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2009.2035489";0
journals/tie/WatanabeFMW01;article;2017-05-20;"GA applications to physical distribution scheduling problem.";"";"2001";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.937403";0
journals/tie/YangL16;article;2017-05-20;"Automatic Control Loop Tuning for Permanent-Magnet AC Servo Motor Drives.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2015.2495300";0
journals/tie/CecatiTGMG15;article;2017-06-08;"Comprehensive Modeling and Experimental Testing of Fault Detection and Management of a Nonredundant Fault-Tolerant VSI.";"";"2015";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2015.2402645";0
journals/tie/Bose09;article;2017-05-20;"Power Electronics and Motor Drives Recent Progress and Perspective.";"";"2009";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2008.2002726";0
journals/tie/BabaeiAL14;article;2017-05-20;"A New General Topology for Cascaded Multilevel Inverters With Reduced Number of Components Based on Developed H-Bridge.";"";"2014";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2013.2286561";0
journals/tie/HalaszHZ00;article;2017-05-20;"Two-phase modulation technique for three-level inverter-fed AC drives.";"";"2000";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/41.887947";0
journals/tie/IvanAALR17;article;2017-09-16;"Quasi-Static Displacement Self-Sensing Measurement for a 2-DOF Piezoelectric Cantilevered Actuator.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2017.2677304";0
journals/tie/AmjadS14;article;2017-05-20;"Analysis, Design, and Implementation of Multiple Parallel Ozone Chambers for High Flow Rate.";"";"2014";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2013.2251733";0
journals/tie/HuertaLC09;article;2017-05-20;"Multimachine Power-System Control: Integral-SM Approach.";"";"2009";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2009.2015361";0
journals/tie/BaiWLB17;article;2017-06-14;"Passivity Enhancement of Grid-Tied Converters by Series LC-Filtered Active Damper.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2016.2562604";0
journals/tie/YangDG03;article;2017-06-08;"An optimal power-dispatching control system for the electrochemical process of zinc based on backpropagation and Hopfield neural networks.";"";"2003";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2003.817605";1
journals/tie/OgawaraTKI03;article;2017-05-20;"Extraction of essential interactions through multiple observations of human demonstrations.";"";"2003";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2003.814765";0
journals/tie/ParkMY11;article;2017-05-20;"Two-Switch Active-Clamp Forward Converter With One Clamp Diode and Delayed Turnoff Gate Signal.";"";"2011";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2011.2107710";0
journals/tie/LoWR06;article;2017-05-20;"Intelligent system for process supervision and fault diagnosis in dynamic physical systems.";"";"2006";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2006.870707";0
journals/tie/ZhengLW11;article;2017-05-20;"Horizon-Varying Model Predictive Control for Accelerated and Controlled Cooling Process.";"";"2011";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2010.2045321";0
journals/tie/Lopez-Fernandez15;article;2017-09-16;"A 10- to 30-kHz Adjustable Frequency Resonant Full-Bridge Multicell Power Converter.";"";"2015";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2014.2352601";0
journals/tie/HuangCHWDCQ16;article;2017-06-14;"Maximum-Force-per-Ampere Strategy of Current Distribution for Efficiency Improvement in Planar Switched Reluctance Motors.";"";"2016";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2015.2492948";0
journals/tie/AlepuzBBMSPR09;article;2017-09-16;"Control Strategies Based on Symmetrical Components for Grid-Connected Converters Under Voltage Dips.";"";"2009";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2009.2017102";0
journals/tie/NorniellaCORPCM14;article;2017-06-14;"Improving the Dynamics of Virtual-Flux-Based Control of Three-Phase Active Rectifiers.";"";"2014";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2013.2245614";0
journals/tie/KimKK15;article;2017-05-20;"A Portable and Remote 6-DOF Pose Sensor System With a Long Measurement Range Based on 1-D Laser Sensors.";"";"2015";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2015.2410261";0
journals/tie/GeyerPM09;article;2017-05-20;"Model Predictive Direct Torque Control - Part I: Concept, Algorithm, and Analysis.";"";"2009";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2008.2007030";0
journals/tie/PerdigaoAVS12;article;2017-06-08;"Correction to "Magnetically Controlled Electronic Ballasts With Isolated Output: The Variable Transformer Solution".";"";"2012";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2011.2173895";0
journals/tie/MarchesoniSS05;article;2017-05-20;"A new control strategy for neutral-point-clamped active rectifiers.";"";"2005";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2005.843909";1
journals/tie/PrietoM17;article;2017-10-17;"Chromatic Monitoring of Gear Mechanical Degradation Based on Acoustic Emission.";"";"2017";"IEEE Trans. Industrial Electronics";"https://doi.org/10.1109/TIE.2017.2701761";0
