dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tii/HaghiLQ16;article;2017-05-20;"Multivariate Predictive Analytics of Wind Power Data for Robust Control of Energy Storage.";"";"2016";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2016.2569531";0
journals/tii/LiLDZJ14;article;2017-06-08;"Analysis and Suppression of Alias in Digitally Controlled Inverters.";"";"2014";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2013.2279498";0
journals/tii/ZengZC17;article;2017-05-20;"Resilient Distributed Energy Management Subject to Unexpected Misbehaving Generation Units.";"";"2017";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2015.2496228";0
journals/tii/Huang15;article;2017-05-20;"A Taguchi-Based Heterogeneous Parallel Metaheuristic ACO-PSO and Its FPGA Realization to Optimal Polar-Space Locomotion Control of Four-Wheeled Redundant Mobile Robots.";"";"2015";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2015.2440173";0
journals/tii/WangZSYT16;article;2017-05-20;"Toward Distributed Data Processing on Intelligent Leak-Points Prediction in Petrochemical Industries.";"";"2016";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2016.2537788";0
journals/tii/TodaK13;article;2017-05-20;"Self-Localization Based on Multiresolution Map for Remote Control of Multiple Mobile Robots.";"";"2013";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2013.2261306";0
journals/tii/ToscanoB09;article;2017-06-14;"An Adaptive Approach for Topology Management in Large and Dense Real-Time Wireless Sensor Networks.";"";"2009";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2009.2025656";0
journals/tii/TangC0LZ16;article;2017-07-27;"A Comparative Study That Measures Ball Mill Load Parameters Through Different Single-Scale and Multiscale Frequency Spectra-Based Approaches.";"";"2016";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2016.2586419";0
journals/tii/ZhouFNSM17;article;2017-08-11;"Energy-Efficient Event Determination in Underwater WSNs Leveraging Practical Data Prediction.";"";"2017";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2017.2669967";0
journals/tii/NambiPP16;article;2017-05-20;"Temporal Self-Regulation of Energy Demand.";"";"2016";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2016.2554519";0
journals/tii/HuangWYLS17;article;2017-06-14;"Cyclist Social Force Model at Unsignalized Intersections With Heterogeneous Traffic.";"";"2017";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2016.2597744";0
journals/tii/NavarroZSRA13;article;2017-06-14;"The Information System of INTEGRIS: INTelligent Electrical GRId Sensor Communications.";"";"2013";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2012.2228869";0
journals/tii/Schmidt14;article;2017-05-20;"Robust Priority Assignments for Extending Existing Controller Area Network Applications.";"";"2014";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2013.2266636";0
journals/tii/SunCCM17;article;2017-07-26;"Quasi-Z-Source Network-Based Hybrid Power Supply System for Aluminum Electrolysis Industry.";"";"2017";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2016.2631129";0
journals/tii/HeY15;article;2017-07-27;"Eddy Current Volume Heating Thermography and Phase Analysis for Imaging Characterization of Interface Delamination in CFRP.";"";"2015";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2015.2479856";0
journals/tii/WangSD14;article;2017-05-20;"Physics-Based Device-Level Power Electronic Circuit Hardware Emulation on FPGA.";"";"2014";"IEEE Trans. Industrial Informatics";"https://doi.org/10.1109/TII.2014.2361656";0
