dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tifs/LiuPG12;article;2017-05-28;"Spectral Watermarking for Parameterized Surfaces.";"";"2012";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2012.2204251";0
journals/tifs/TzimiropoulosAZP14;article;2017-05-28;"Active Orientation Models for Face Alignment In-the-Wild.";"";"2014";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2014.2361018";0
journals/tifs/HuangMSWZD11;article;2017-07-03;"Preserving Transparency and Accountability in Optimistic Fair Exchange of Digital Signatures.";"";"2011";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2011.2109952";0
journals/tifs/SadasivamMC11;article;2017-05-28;"A Message-Passing Approach to Combating Desynchronization Attacks.";"";"2011";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2011.2129511";0
journals/tifs/Schuckers09;article;2017-05-28;"A parametric correlation framework for the statistical evaluation and estimation of biometric-based classification performance in a single environment.";"";"2009";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2008.2012206";0
journals/tifs/YanLHZ17;article;2017-07-27;"A Novel Efficient Remote Data Possession Checking Protocol in Cloud Storage.";"";"2017";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2016.2601070";0
journals/tifs/YangGZFB17;article;2017-07-26;"On Inferring Browsing Activity on Smartphones via USB Power Analysis Side-Channel.";"";"2017";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2016.2639446";0
journals/tifs/LiLWC16;article;2017-09-17;"DDOA: A Dirichlet-Based Detection Scheme for Opportunistic Attacks in Smart Grid Cyber-Physical System.";"";"2016";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2016.2576898";0
journals/tifs/KotsiaZP07;article;2017-05-28;"A Novel Discriminant Non-Negative Matrix Factorization Algorithm With Applications to Facial Image Characterization Problems.";"";"2007";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2007.902017";0
journals/tifs/LiuLZYWFO14;article;2017-07-24;"Kernelized Neighborhood Preserving Hashing for Social-Network-Oriented Digital Fingerprints.";"";"2014";"IEEE Trans. Information Forensics and Security";"https://doi.org/10.1109/TIFS.2014.2360583";0
