dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/titb/HudsonC10;article;2017-05-20;"Diagnostic models based on personalized analysis of trends (PAT).";"";"2010";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2009.2031640";0
journals/titb/ForanMPM97;article;2017-05-20;"Compression guidelines for diagnostic telepathology.";"";"1997";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/4233.594046";0
journals/titb/PohjonenRBK07;article;2017-05-20;"Pervasive Access to Images and Data-The Use of Computing Grids and Mobile/Wireless Devices Across Healthcare Enterprises.";"";"2007";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2006.885548";0
journals/titb/ChangWTCM03;article;2017-06-15;"3-D snake for US in margin evaluation for malignant breast tumor excision using mammotome.";"";"2003";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2003.816560";0
journals/titb/WongSF11;article;2017-05-20;"Automatic Skin Lesion Segmentation via Iterative Stochastic Region Merging.";"";"2011";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2011.2157829";0
journals/titb/BurgosGIB10;article;2017-05-20;"Real-time detection of apneas on a PDA.";"";"2010";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2009.2034975";0
journals/titb/ZhouLYW09;article;2017-05-20;"A Novel Cell Segmentation Method and Cell Phase Identification Using Markov Model.";"";"2009";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2008.2007098";0
journals/titb/AcharyaABN01;article;2017-09-16;"Compact storage of medical images with patient information.";"";"2001";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/4233.966107";0
journals/titb/LorenceC05;article;2017-05-20;"Incremental adoption of information security in health-care organizations: implications for document management.";"";"2005";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2005.847137";1
journals/titb/RohlfingM03;article;2017-05-20;"Nonrigid image registration in shared-memory multiprocessor environments with application to brains, breasts, and bees.";"";"2003";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2003.808506";0
journals/titb/PeltokangasVV12;article;2017-06-15;"Night-Time EKG and HRV Monitoring With Bed Sheet Integrated Textile Electrodes.";"";"2012";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2012.2208982";0
journals/titb/LinLLHLL08;article;2017-05-20;"A Healthcare Integration System for Disease Assessment and Safety Monitoring of Dementia Patients.";"";"2008";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2008.917914";0
journals/titb/Wong10;article;2017-05-20;"An adaptive Monte Carlo approach to phase-based multimodal image registration.";"";"2010";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2009.2035693";0
journals/titb/ParadisoLT05;article;2017-05-20;"A wearable health care system based on knitted integrated sensors.";"";"2005";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2005.854512";0
journals/titb/SchetininS04;article;2017-05-20;"The combined technique for detection of artifacts in clinical electroencephalograms of sleeping newborns.";"";"2004";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2004.824735";0
journals/titb/AhmedLLRG08;article;2017-05-20;"XML-Based Data Model and Architecture for a Knowledge-Based Grid-Enabled Problem-Solving Environment for High-Throughput Biological Imaging.";"";"2008";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2007.904153";0
journals/titb/XuLAL08;article;2017-06-08;"A Spine X-Ray Image Retrieval System Using Partial Shape Matching.";"";"2008";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2007.904149";0
journals/titb/BarbaroCCMB10;article;2017-06-08;"Active devices based on organic semiconductors for wearable applications.";"";"2010";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2010.2044798";0
journals/titb/MackPSFA09;article;2017-05-20;"Development and Preliminary Validation of Heart Rate and Breathing Rate Detection Using a Passive, Ballistocardiography-Based Sleep Monitoring System.";"";"2009";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2008.2007194";0
journals/titb/DehkordiDL11;article;2017-06-08;"A Channel Differential EZW Coding Scheme for EEG Data Compression.";"";"2011";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2011.2171703";0
journals/titb/RasidW05;article;2017-05-20;"Bluetooth telemedicine Processor for multichannel biomedical signal transmission via mobile cellular networks.";"";"2005";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2004.840070";0
journals/titb/BarrMWV04;article;2017-06-15;"An Automated Tissue Preclassification Approach for Telepathology: Implementation and Performance Analysis.";"";"2004";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2004.828880";0
journals/titb/TyrrellLCRS04;article;2017-05-20;"Efficient Migration of Complex Off-Line Computer Vision Software to Real-Time System Implementation on Generic Computer Hardware.";"";"2004";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2004.828883";0
journals/titb/TsipourasEFKVNM08;article;2017-05-20;"Automated Diagnosis of Coronary Artery Disease Based on Data Mining and Fuzzy Modeling.";"";"2008";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2007.907985";0
journals/titb/SantarelliPL00;article;2017-06-08;"Combining high-performance computing and networking for advanced 3-D cardiac imaging.";"";"2000";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/4233.826860";0
journals/titb/LamminenSRR01;article;2017-05-20;"A three-year follow-up of Finnish telemedicine programs.";"";"2001";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/4233.924808";0
journals/titb/ShiWHYGCHCQ10;article;2017-05-20;"Fast and accurate 3-D registration of HR-pQCT images.";"";"2010";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2010.2061234";0
journals/titb/CeruttiMB10;article;2017-05-20;"Guest editorial: special section on smart wearable devices for human health and protection.";"";"2010";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2010.2048937";0
journals/titb/ZhangEP12;article;2017-05-20;"GPU-Based Visualization and Synchronization of 4-D Cardiac MR and Ultrasound Images.";"";"2012";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2012.2205011";0
journals/titb/DinovMTWSST02;article;2017-06-08;"Quantitative comparison and analysis of brain image registration using frequency-adaptive wavelet shrinkage.";"";"2002";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/4233.992165";0
journals/titb/RantanenVTNVSJL11;article;2017-06-15;"A Wearable, Wireless Gaze Tracker with Integrated Selection Command Source for Human-Computer Interaction.";"";"2011";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2011.2158321";0
journals/titb/LiaoBN11;article;2017-06-08;"Using the Dempster-Shafer Theory of Evidence With a Revised Lattice Structure for Activity Recognition.";"";"2011";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2010.2091684";0
journals/titb/AlexandrouSM11;article;2017-05-20;"A Holistic Environment for the Design and Execution of Self-Adaptive Clinical Pathways.";"";"2011";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2010.2074205";0
journals/titb/BretonJKH08;article;2017-05-20;"Grid-Added Value to Address Malaria.";"";"2008";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2007.895930";0
journals/titb/KwiatkowskaAAR07;article;2017-05-20;"Knowledge-Based Data Analysis: First Step Toward the Creation of Clinical Prediction Rules Using a New Typicality Measure.";"";"2007";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2006.889693";0
journals/titb/Adibi12;article;2017-05-20;"Link Technologies and BlackBerry Mobile Health (mHealth) Solutions: A Review.";"";"2012";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2012.2191295";0
journals/titb/KantarciogluJLM08;article;2017-05-20;"A Cryptographic Approach to Securely Share and Query Genomic Sequences.";"";"2008";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2007.908465";0
journals/titb/EtemadiIGK11;article;2017-05-20;"Rapid Assessment of Cardiac Contractility on a Home Bathroom Scale.";"";"2011";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2011.2161998";0
journals/titb/ConstantinescuKF12;article;2017-05-20;"SparkMed: A Framework for Dynamic Integration of Multimedia Medical Data Into Distributed m-Health Systems.";"";"2012";"IEEE Trans. Information Technology in Biomedicine";"https://doi.org/10.1109/TITB.2011.2174064";0
