dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tit/BrownE76;article;2017-05-28;"Complexity of acceptors for prefix codes (Corresp.).";"";"1976";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.1976.1055546";0
journals/tit/Klapper10;article;2017-05-28;"Expected pi-adic security measures of sequences.";"";"2010";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.2010.2044059";1
journals/tit/DugganB08;article;2017-05-28;"Performance Analysis of Algebraic Soft-Decision Decoding of Reed-Solomon Codes.";"";"2008";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.2008.929969";0
journals/tit/ShumanLW11;article;2017-05-28;"Energy-Efficient Transmission Scheduling With Strict Underflow Constraints.";"";"2011";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.2011.2105002";0
journals/tit/Gray72;article;2017-05-28;"Review of 'Rate Distortion Theory: A Mathematical Basis for Data Compression' (Berger, T.; 1971).";"";"1972";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.1972.1054741";0
journals/tit/BoelB80;article;2017-05-28;"Recursive nonlinear estimation of a diffusion acting as the rate of an observed Poisson process.";"";"1980";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.1980.1056248";0
journals/tit/LangsethL68;article;2017-05-28;"Influence of bandwidth on some nonlinear transformations of a Gaussian random process.";"";"1968";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.1968.1054092";0
journals/tit/WestoverO08;article;2017-05-28;"Achievable Rates for Pattern Recognition.";"";"2008";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.2007.911296";0
journals/tit/AgrellVZ01;article;2017-05-28;"A table of upper bounds for binary codes.";"";"2001";"IEEE Trans. Information Theory";"https://doi.org/10.1109/18.959279";0
journals/tit/Roth97;article;2017-05-28;"Probabilistic crisscross error correction.";"";"1997";"IEEE Trans. Information Theory";"https://doi.org/10.1109/18.623142";0
journals/tit/WalshRJ06;article;2017-05-28;"Turbo Decoding as Iterative Constrained Maximum-Likelihood Sequence Detection.";"";"2006";"IEEE Trans. Information Theory";"https://doi.org/10.1109/TIT.2006.885535";0
journals/tit/BergerZ99;article;2017-05-28;"A semi-continuous version of the Berger-Yeung problem.";"";"1999";"IEEE Trans. Information Theory";"https://doi.org/10.1109/18.771151";0
