dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tim/RusuPWCS03;article;2017-05-27;"Behavior-based neuro-fuzzy controller for mobile robot navigation.";"";"2003";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2003.816846";1
journals/tim/LeeKL11;article;2017-05-27;"Protecting Signal Integrity Against Atomic Clock Anomalies on Board GNSS Satellites.";"";"2011";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2011.2144210";0
journals/tim/CiofiCPS06;article;2017-06-08;"How to enlarge the bandwidth without increasing the noise in OP-AMP-based transimpedance amplifier.";"";"2006";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2006.873782";0
journals/tim/MaB05;article;2017-05-27;"White-light fringe restoration and high-precision central fringe tracking using frequency filters and Fourier-transform pair.";"";"2005";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2005.853349";0
journals/tim/SchlafHS03;article;2017-06-14;"Optimization strategies for parametric analysis of thin-film reflectivity spectra.";"";"2003";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2003.817921";0
journals/tim/GotzDPA11;article;2017-05-27;"Settling Behavior of the Bridge Voltage in Resistance Ratio Measurements With Cryogenic Current Comparators.";"";"2011";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2010.2100690";0
journals/tim/AttariF00;article;2017-05-27;"On the static and dynamic selectivity study of a sodium sensor.";"";"2000";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/19.863915";0
journals/tim/MohnsRFP17;article;2017-05-20;"An AC Current Transformer Standard Measuring System for Power Frequencies.";"";"2017";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2017.2648918";0
journals/tim/LiWLLHLZH13;article;2017-06-08;"Mutual Inductance Measurement of the Superconducting Coil for the Joule Balance.";"";"2013";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2013.2256712";0
journals/tim/Picinbono08;article;2017-05-27;"Measurements of Second-Order Properties of Point Processes.";"";"2008";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2007.911690";0
journals/tim/SacconiPP99;article;2017-05-27;"The IMGC calibration setup for microdisplacement actuators.";"";"1999";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/19.769635";0
journals/tim/RanvierKV07;article;2017-05-27;"Millimeter-Wave MIMO Radio Channel Sounder.";"";"2007";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2007.894197";0
journals/tim/ZaghloulTME01;article;2017-05-27;"Modeling and simulation of fluid SAW-sensors under acoustic plate mode operation.";"";"2001";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/19.903884";0
journals/tim/ArseneauFZ99;article;2017-05-27;"New measurement capabilities of the NRC traveling standard program.";"";"1999";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/19.769621";0
journals/tim/IngramSCT13a;article;2017-06-14;"Quantitative Assessment of Fault Tolerant Precision Timing for Electricity Substations.";"";"2013";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2013.2263673";0
journals/tim/TingCLL11;article;2017-05-27;"A Digital Standard Time Dissemination Architecture for Trustworthy Time Stamping.";"";"2011";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2010.2088490";0
journals/tim/BarrosP06;article;2017-06-14;"Automatic Detection and Analysis of Voltage Events in Power Systems.";"";"2006";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2006.881584";0
journals/tim/YasuharaANM05;article;2017-05-27;"Measurement of Berry's phase for partial cycles using a time-domain atomic Interferometer.";"";"2005";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2005.843564";0
journals/tim/VreedeKPBLPMHTRADCLA01;article;2017-05-27;"International comparison for RF power in the frequency range up to 18 GHz.";"";"2001";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/19.918154";0
journals/tim/HasselHGSNK05;article;2017-06-08;"Stimulated power generation in ES-SIS junction arrays.";"";"2005";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2004.843119";0
journals/tim/FortMVRPMSF11;article;2017-06-08;"Design, Modeling, and Test of a System for Atmospheric Electric Field Measurement.";"";"2011";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2011.2130010";0
journals/tim/DavoliSVZ06;article;2017-06-14;"LABNET: Towards Remote Laboratories With Unified Access.";"";"2006";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2006.880919";0
journals/tim/RainvilleTP03;article;2017-05-27;"Two ions in one trap: ultra-high precision mass spectrometry?";"";"2003";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2003.810725";0
journals/tim/Al-AnbagiEM14;article;2017-05-27;"Delay-Aware Medium Access Schemes for WSN-Based Partial Discharge Measurement.";"";"2014";"IEEE Trans. Instrumentation and Measurement";"https://doi.org/10.1109/TIM.2014.2323142";0
