dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tits/WangGCCDP14;article;2017-06-08;"Bus Bridging Disruption in Rail Services With Frustrated and Impatient Passengers.";"";"2014";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2014.2307859";0
journals/tits/MaoIMK13;article;2017-05-17;"Demonstration of In-Car Doppler Laser Radar at 1.55 $ \mu\hbox{m}$ for Range and Speed Measurement.";"";"2013";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2012.2230325";0
journals/tits/DemissiePSAGB16;article;2017-06-08;"Inferring Passenger Travel Demand to Improve Urban Mobility in Developing Countries Using Cell Phone Data: A Case Study of Senegal.";"";"2016";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2016.2521830";0
journals/tits/HsuL08;article;2017-05-17;"Kinematic Design for Platoon-Lane-Change Maneuvers.";"";"2008";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2007.908721";0
journals/tits/SuTLG14;article;2017-05-17;"Optimization of Multitrain Operations in a Subway System.";"";"2014";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2013.2285737";0
journals/tits/ZhaoS16;article;2017-05-17;"High-Order Gaussian Process Dynamical Models for Traffic Flow Prediction.";"";"2016";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2016.2515105";0
journals/tits/LinWLT16;article;2017-05-17;"Generating Believable Mixed-Traffic Animation.";"";"2016";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2016.2542283";0
journals/tits/ZhanGH11;article;2017-05-17;"Prediction of Lane Clearance Time of Freeway Incidents Using the M5P Tree Algorithm.";"";"2011";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2011.2161634";0
journals/tits/XiongB12;article;2017-05-17;"Drivers' Adaptation to Adaptive Cruise Control: Examination of Automatic and Manual Braking.";"";"2012";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2012.2192730";0
journals/tits/WuJ12;article;2017-05-17;"Adaptive Vehicle Detector Approach for Complex Environments.";"";"2012";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2011.2181366";0
journals/tits/VanekHP14;article;2017-05-17;"Improving Group Transit Schemes to Minimize Negative Effects of Maritime Piracy.";"";"2014";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2013.2294908";0
journals/tits/LiSC15;article;2017-05-17;"Neuro-Adaptive Fault-Tolerant Approach for Active Suspension Control of High-Speed Trains.";"";"2015";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2015.2409296";0
journals/tits/JinWBB16;article;2017-05-17;"Power-Based Optimal Longitudinal Control for a Connected Eco-Driving System.";"";"2016";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2016.2535439";0
journals/tits/LuoCZL15;article;2017-05-17;"Intelligent Hybrid Electric Vehicle ACC With Coordinated Control of Tracking Ability, Fuel Economy, and Ride Comfort.";"";"2015";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2014.2387356";0
journals/tits/ChungR12;article;2017-06-08;"A Methodological Approach for Estimating Temporal and Spatial Extent of Delays Caused by Freeway Accidents.";"";"2012";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2012.2190282";0
journals/tits/WangL08;article;2017-05-17;"Automatic Vehicle Detection Using Local Features - A Statistical Approach.";"";"2008";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2007.908572";0
journals/tits/BackfriederOM17;article;2017-05-17;"Increased Traffic Flow Through Node-Based Bottleneck Prediction and V2X Communication.";"";"2017";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2016.2573292";0
journals/tits/LiYW16;article;2017-05-17;"Discriminative Weighted Sparse Partial Least Squares for Human Detection.";"";"2016";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2015.2495342";0
journals/tits/DevasiaICM11;article;2017-05-17;"Decoupled Conflict-Resolution Procedures for Decentralized Air Traffic Control.";"";"2011";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2010.2093574";0
journals/tits/SahuWSG13;article;2017-05-17;"BAHG: Back-Bone-Assisted Hop Greedy Routing for VANET's City Environments.";"";"2013";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2012.2212189";0
journals/tits/ZhongWZYR17;article;2017-08-30;"Characterizing Passenger Flow for a Transportation Hub Based on Mobile Phone Data.";"";"2017";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2016.2607760";0
journals/tits/JazayeriCZT11;article;2017-05-17;"Vehicle Detection and Tracking in Car Video Based on Motion Model.";"";"2011";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2011.2113340";0
journals/tits/UrazghildiievRRROWEEL07;article;2017-05-17;"Vehicle Classification Based on the Radar Measurement of Height Profiles.";"";"2007";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2006.890071";0
journals/tits/NilssonLJ17;article;2017-09-21;"A Simulator Study Comparing Characteristics of Manual and Automated Driving During Lane Changes of Long Combination Vehicles.";"";"2017";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2017.2664890";0
journals/tits/TopferSES15;article;2017-05-17;"Efficient Road Scene Understanding for Intelligent Vehicles Using Compositional Hierarchical Models.";"";"2015";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2014.2354243";0
journals/tits/ChenZZ12;article;2017-05-17;"A Real-Time Vehicle Navigation Algorithm in Sensor Network Environments.";"";"2012";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2012.2201478";0
journals/tits/Sohn13;article;2017-06-08;"Optimizing Train-Stop Positions Along a Platform to Distribute the Passenger Load More Evenly Across Individual Cars.";"";"2013";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2013.2252166";0
journals/tits/AlvarezGDL13;article;2017-09-16;"Road Geometry Classification by Adaptive Shape Models.";"";"2013";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2012.2221088";0
journals/tits/SchoepflinD03;article;2017-05-17;"Dynamic camera calibration of roadside traffic management cameras for vehicle speed estimation.";"";"2003";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2003.821213";0
journals/tits/PanzaniCTZSFC10;article;2017-06-08;"Designing On-Demand Four-Wheel-Drive Vehicles via Active Control of the Central Transfer Case.";"";"2010";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2010.2055858";0
journals/tits/SarviK08;article;2017-05-17;"Using ITS to Improve the Capacity of Freeway Merging Sections by Transferring Freight Vehicles.";"";"2008";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2008.2006812";0
journals/tits/GriggsYWHS16;article;2017-05-17;"On the Design of Campus Parking Systems With QoS Guarantees.";"";"2016";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2015.2503598";0
journals/tits/KimBK15;article;2017-05-17;"A Novel On-Road Vehicle Detection Method Using πHOG.";"";"2015";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2015.2465296";0
journals/tits/ZhouKWCN17;article;2017-07-26;"On Detecting Road Regions in a Single UAV Image.";"";"2017";"IEEE Trans. Intelligent Transportation Systems";"https://doi.org/10.1109/TITS.2016.2622280";0
