dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tiv/TaoB16;article;2017-06-14;"Sequential Data Fusion of GNSS Pseudoranges and Dopplers With Map-Based Vision Systems.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2658185";0
journals/tiv/Kayacan17;article;2017-09-16;"Multiobjective H";"";"2017";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2708607";0
journals/tiv/Ozguner16a;article;2017-05-26;"Editorial.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2671818";0
journals/tiv/DueholmKSMT16;article;2017-06-14;"Trajectories and Maneuvers of Surrounding Vehicles With Panoramic Camera Arrays.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2622921";0
journals/tiv/TadaSW16;article;2017-07-26;"Simultaneous Achievement of Workload Reduction and Skill Enhancement in Backward Parking by Haptic Guidance.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2686088";0
journals/tiv/WahlstromSRHA16;article;2017-05-26;"Map-Aided Dead-Reckoning Using Only Measurements of Speed.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2657383";0
journals/tiv/0013HLZW16;article;2017-06-08;"Intelligence Testing for Autonomous Vehicles: A New Approach.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2608003";0
journals/tiv/LiYGWW16;article;2017-06-14;"Hierarchical Neighborhood Based Precise Localization for Intelligent Vehicles in Urban Environments.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2654065";0
journals/tiv/HirayamaMMT16;article;2017-05-26;"Classification of Driver's Neutral and Cognitive Distraction States Based on Peripheral Vehicle Behavior in Driver's Gaze Transition.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2599786";0
journals/tiv/LiMT16;article;2017-05-26;"Pushing the "Speed Limit": High-Accuracy US Traffic Sign Recognition With Convolutional Neural Networks.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2615523";0
journals/tiv/Ohn-BarT16;article;2017-07-27;"Looking at Humans in the Age of Self-Driving and Highly Automated Vehicles.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2571067";0
journals/tiv/FisherLMNP16;article;2017-07-27;"Humans and Intelligent Vehicles: The Hope, the Help, and the Harm.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2555626";0
journals/tiv/BevlyCGOKNWBMKR16;article;2017-05-26;"Lane Change and Merge Maneuvers for Connected and Automated Vehicles: A Survey.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2015.2503342";0
journals/tiv/Ozguner16;article;2017-05-26;"Editorial Launching the New IEEE Transactions on Intelligent Vehicles.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2573018";0
journals/tiv/RajaramOT16;article;2017-06-29;"RefineNet: Refining Object Detectors for Autonomous Driving.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2695896";0
journals/tiv/ZhengH17;article;2017-07-13;"Lane-Change Detection From Steering Signal Using Spectral Segmentation and Learning-Based Classification.";"";"2017";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2708600";0
journals/tiv/TsugawaJS16;article;2017-05-26;"A Review of Truck Platooning Projects for Energy Savings.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2577499";0
journals/tiv/ProkhorovTSLFTF16;article;2017-05-26;"IEEE Transactions on Intelligent Vehicles Senior Associate Editors.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2016.2578658";0
journals/tiv/QiWHBB17;article;2017-09-16;"Integrated-Connected Eco-Driving System for PHEVs With Co-Optimization of Vehicle Dynamics and Powertrain Operations.";"";"2017";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2708599";0
journals/tiv/SaidM17;article;2017-07-13;"Novel Communication Protocol for the EV Charging/Discharging Service Based on VANETs.";"";"2017";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2708604";0
journals/tiv/XingPN16;article;2017-05-26;"Padé Approximation of Delays in Cooperative ACC Based on String Stability Requirements.";"";"2016";"IEEE Trans. Intelligent Vehicles";"https://doi.org/10.1109/TIV.2017.2662482";0
