dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tkde/LinC05;article;2017-06-08;"Combining Partitional and Hierarchical Algorithms for Robust and Efficient Data Clustering with Cohesion Self-Merging.";"";"2005";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2005.21";0
journals/tkde/AkdoganSD16;article;2017-07-27;"D-ToSS: A Distributed Throwaway Spatial Index Structure for Dynamic Location Data.";"";"2016";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2016.2572697";0
journals/tkde/ShuaiYYC16;article;2017-06-08;"A Comprehensive Study on Willingness Maximization for Social Activity Planning with Quality Guarantee.";"";"2016";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2015.2468728";0
journals/tkde/YingWW11;article;2017-05-20;"A Spectrum-Based Framework for Quantifying Randomness of Social Networks.";"";"2011";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2010.218";0
journals/tkde/GomezW89;article;2017-05-20;"Automatic Programming for End Users: The TOAD System.";"";"1989";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.87984";0
journals/tkde/BruneoIMP09;article;2017-06-08;"GridVideo: A Practical Example of Nonscientific Application on the Grid.";"";"2009";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2008.191";0
journals/tkde/BorosHIKMM00;article;2017-05-20;"An Implementation of Logical Analysis of Data.";"";"2000";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.842268";0
journals/tkde/CherniakZ13;article;2017-05-20;"Signature-Based Detection of Notable Transitions in Numeric Data Streams.";"";"2013";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2012.241";0
journals/tkde/TermierRSOWM08;article;2017-05-20;"DryadeParent, An Efficient and Robust Closed Attribute Tree Mining Algorithm.";"";"2008";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2007.190695";0
journals/tkde/JiangTW07;article;2017-05-20;"Mining Generalized Associations of Semantic Relations from Textual Web Content.";"";"2007";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2007.36";0
journals/tkde/GeorgoulasVDK17;article;2017-05-20;"User-Centric Similarity Search.";"";"2017";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2016.2602345";0
journals/tkde/GongQ95;article;2017-05-20;"Enriching the Expressive Power of Security Labels.";"";"1995";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.469837";0
journals/tkde/ZhangWWYCW16;article;2017-08-29;"Inferring Directions of Undirected Social Ties.";"";"2016";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2016.2605081";0
journals/tkde/HsuCT96;article;2017-05-20;"A Knowledge-Based Approach for Retrieving Images by Content.";"";"1996";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.536245";0
journals/tkde/RezaeiF16;article;2017-07-27;"Set Matching Measures for External Cluster Validity.";"";"2016";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2016.2551240";0
journals/tkde/Yildiz13;article;2017-05-20;"Omnivariate Rule Induction Using a Novel Pairwise Statistical Test.";"";"2013";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2012.155";0
journals/tkde/DengZWLF13;article;2017-05-20;"ReFinder: A Context-Based Information Refinding System.";"";"2013";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2012.157";0
journals/tkde/Tran014;article;2017-05-20;"Keyword Query Routing.";"";"2014";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2013.13";0
journals/tkde/LeeZCC13;article;2017-09-16;"Efficient Index-Based Approaches for Skyline Queries in Location-Based Applications.";"";"2013";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2012.216";0
journals/tkde/ZhangMZLC16;article;2017-05-20;"Capturing the Semantics of Key Phrases Using Multiple Languages for Question Retrieval.";"";"2016";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2015.2502944";0
journals/tkde/FanS93a;article;2012-09-16;"Corrections to "An Efficient Algorithm for Matching Multiple Patterns".";"";"1993";"IEEE Trans. Knowl. Data Eng.";"";0
journals/tkde/ShiSZ05;article;2017-05-20;"A Shrinking-Based Clustering Approach for Multidimensional Data.";"";"2005";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2005.157";0
journals/tkde/WangHH03;article;2017-06-05;"Pushing Support Constraints Into Association Rules Mining.";"";"2003";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2003.1198396";0
journals/tkde/LakshmananS01;article;2017-05-20;"A Parametric Approach to Deductive Databases with Uncertainty.";"";"2001";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.940732";0
journals/tkde/BollegalaMI13;article;2017-05-20;"Minimally Supervised Novel Relation Extraction Using a Latent Relational Mapping.";"";"2013";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2011.250";0
journals/tkde/AmmannJL02;article;2017-05-20;"Recovery from Malicious Transactions.";"";"2002";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2002.1033782";0
journals/tkde/SongWJR07;article;2017-05-20;"Conditional Anomaly Detection.";"";"2007";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2007.1009";0
journals/tkde/ChenD98;article;2017-05-20;"Common Subexpression Processing in Multiple-Query Processing.";"";"1998";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.687980";0
journals/tkde/MaaradjiDRO17;article;2017-10-16;"Detecting Sudden and Gradual Drifts in Business Processes from Execution Traces.";"";"2017";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2017.2720601";0
journals/tkde/Yu03;article;2017-07-09;"Editorial: New AE Introduction.";"";"2003";"IEEE Trans. Knowl. Data Eng.";"http://doi.ieeecomputersociety.org/10.1109/TKDE.2003.10000";0
journals/tkde/ChengC00;article;2017-05-20;"Response Time Analysis of OPS5 Production Systems.";"";"2000";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.846292";0
journals/tkde/BertinoFS00;article;2017-05-20;"MPGS: An Interactive Tool for the Specification and Generation of Multimedia Presentations.";"";"2000";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.842254";0
journals/tkde/ChangSWZ98;article;2017-05-20;"Data Resource Selection in Distributed Visual Information Systems.";"";"1998";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.738358";0
journals/tkde/HungCC07;article;2017-06-08;"Efficient Process of Top-k Range-Sum Queries over Multiple Streams with Minimized Global Error.";"";"2007";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2007.1070";0
journals/tkde/XiaHLO06;article;2017-05-20;"BORDER: Efficient Computation of Boundary Points.";"";"2006";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2006.38";0
journals/tkde/Kumar94;article;2017-05-20;"G-Tree: A New Data Structure for Organizing Multidimensional Data.";"";"1994";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.277778";0
journals/tkde/LiMER17;article;2017-06-26;"Uncertainty Quantification in Mathematics-Embedded Ontologies Using Stochastic Reduced Order Model.";"";"2017";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2017.2651819";0
journals/tkde/WuYP97;article;2017-05-20;"Divergence Control Algorithms for Epsilon Serializability.";"";"1997";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/69.591451";0
journals/tkde/XuI04;article;2017-05-20;"A Keyword-Based Semantic Prefetching Approach in Internet News Services.";"";"2004";"IEEE Trans. Knowl. Data Eng.";"https://doi.org/10.1109/TKDE.2004.1277820";0
