dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tmi/EndoTKISKU97;article;2017-05-28;"Mapping Visual Field with Positron Emission Tomography by Mathematical Modeling of the Retinotopic Organization in the Calcarine Cortex.";"";"1997";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/42.585759";0
journals/tmi/KranjcBSM11;article;2017-05-28;"Magnetic Resonance Electrical Impedance Tomography for Monitoring Electric Field Distribution During Tissue Electroporation.";"";"2011";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2011.2147328";0
journals/tmi/MojabiL09;article;2017-05-28;"Enhancement of the Krylov Subspace Regularization for Microwave Biomedical Imaging.";"";"2009";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2009.2027703";0
journals/tmi/BrusseauKDB08;article;2017-06-09;"2-D Locally Regularized Tissue Strain Estimation From Radio-Frequency Ultrasound Images: Theoretical Developments and Results on Experimental Data.";"";"2008";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2007.897408";0
journals/tmi/ZhangMS98;article;2017-05-28;"Tissue Characterization in Intravascular Ultrasound Images.";"";"1998";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/42.746622";0
journals/tmi/HuangNWJZ11;article;2017-09-16;"A Fast Iterated Conditional Modes Algorithm for Water-Fat Decomposition in MRI.";"";"2011";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2011.2125980";0
journals/tmi/MagnussonJGB15;article;2017-07-27;"Global Linking of Cell Tracks Using the Viterbi Algorithm.";"";"2015";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2014.2370951";0
journals/tmi/ComaniciuZK04;article;2017-05-28;"Robust real-time myocardial border tracking for echocardiography: an information fusion approach.";"";"2004";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2004.827967";0
journals/tmi/LeiS92a;article;2017-05-28;"Statistical approach to X-ray CT imaging and its applications in image analysis. II. A new stochastic model-based image segmentation technique for X-ray CT image.";"";"1992";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/42.126911";0
journals/tmi/MarrelecCPB04;article;2017-05-28;"Estimation of the hemodynamic response in event-related functional MRI: Bayesian networks as a framework for efficient Bayesian modeling and inference.";"";"2004";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2004.831221";0
journals/tmi/HigginsOL96;article;2017-05-28;"Nonlinear filtering approach to 3-D gray-scale image interpolation.";"";"1996";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/42.511761";0
journals/tmi/WeisslerGDWSLGS15;article;2017-06-09;"A Digital Preclinical PET/MRI Insert and Initial Results.";"";"2015";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2015.2427993";0
journals/tmi/Pellot-BarakatFIH04;article;2017-06-15;"Ultrasound elastography based on multiscale estimations of regularized displacement fields.";"";"2004";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2003.822825";0
journals/tmi/ChunF12;article;2017-05-28;"Spatial Resolution Properties of Motion-Compensated Tomographic Image Reconstruction Methods.";"";"2012";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2012.2192133";0
journals/tmi/CommowickW09;article;2017-06-09;"A Continuous STAPLE for Scalar, Vector, and Tensor Images: An Application to DTI Analysis.";"";"2009";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2008.2010438";0
journals/tmi/IngleV14;article;2017-09-16;"Three-Dimensional Sheaf of Ultrasound Planes Reconstruction (SOUPR) of Ablated Volumes.";"";"2014";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2014.2321285";0
journals/tmi/KarpKMC93;article;2017-06-09;"Effect of increased axial field of view on the performance of a volume PET scanner.";"";"1993";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/42.232259";0
journals/tmi/MauriceB99;article;2017-05-28;"Lagrangian speckle model and tissue-motion estimation-theory [ultrasonography].";"";"1999";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/42.790459";0
journals/tmi/BoublilESZ15;article;2017-05-28;"Spatially-Adaptive Reconstruction in Computed Tomography Using Neural Networks.";"";"2015";"IEEE Trans. Med. Imaging";"https://doi.org/10.1109/TMI.2015.2401131";0
