dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tmc/LeeYSS13;article;2017-05-28;"Maximizing Transmission Opportunities in Wireless Multihop Networks.";"";"2013";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2012.159";0
journals/tmc/ChangLHS14;article;2017-06-09;"On Optimal Cell Activation for Coverage Preservation in Green Cellular Networks.";"";"2014";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2014.2310227";0
journals/tmc/HohGXA10;article;2017-05-28;"Achieving Guaranteed Anonymity in GPS Traces via Uncertainty-Aware Path Cloaking.";"";"2010";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2010.62";0
journals/tmc/BansalLS14;article;2017-05-28;"Opportunistic Channel Sharingin Cognitive Radio Networks.";"";"2014";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2013.59";0
journals/tmc/PhamHBDH16;article;2017-06-15;"SecureRun: Cheat-Proof and Private Summaries for Location-Based Activities.";"";"2016";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2015.2483498";0
journals/tmc/TournouxLBWCA11;article;2017-05-28;"Density-Aware Routing in Highly Dynamic DTNs: The RollerNet Case.";"";"2011";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2010.247";0
journals/tmc/WangSW11;article;2017-05-28;"Joint Spectrum Allocation and Power Control for Multihop Cognitive Radio Networks.";"";"2011";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2010.207";0
journals/tmc/LiF09;article;2017-05-28;"Impacts of Topology and Traffic Pattern on Capacity of Hybrid Wireless Networks.";"";"2009";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2009.79";0
journals/tmc/WangH11;article;2017-05-28;"Gossip-Enabled Stochastic Channel Negotiation for Cognitive Radio Ad Hoc Networks.";"";"2011";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2011.77";0
journals/tmc/HeYG10;article;2017-05-28;"Modeling Power Saving Protocols for Multicast Services in 802.11 Wireless LANs.";"";"2010";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2009.152";0
journals/tmc/HsuC17;article;2017-07-26;"Spectrum-Energy Efficiency Optimization for Downlink LTE-A for Heterogeneous Networks.";"";"2017";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2016.2584046";0
journals/tmc/RahmanCT16;article;2017-05-28;"Secure Management of Low Power Fitness Trackers.";"";"2016";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2015.2418774";0
journals/tmc/HanZS16;article;2017-05-28;"Fair and Efficient Coexistence of Heterogeneous Channel Widths in Next-Generation Wireless LANs.";"";"2016";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2016.2517654";0
journals/tmc/HuangZ07;article;2017-05-28;"Incorporating Data from Multiple Sensors for Localizing Nodes in Mobile Ad Hoc Networks.";"";"2007";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2007.1015";0
journals/tmc/YangL16;article;2017-09-16;"A Contract-Ruled Economic Model for QoS Guarantee in Mobile Peer-to-Peer Streaming Services.";"";"2016";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2015.2456920";0
journals/tmc/ZhangQWKL17;article;2017-09-13;"Optimizing Itinerary Selection and Charging Association for Mobile Chargers.";"";"2017";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2016.2641446";0
journals/tmc/TianSJZYW17;article;2017-08-15;"HiQuadLoc: A RSS Fingerprinting Based Indoor Localization System for Quadrotors.";"";"2017";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2016.2636823";0
journals/tmc/ChenKL10;article;2017-07-24;"Local Barrier Coverage in Wireless Sensor Networks.";"";"2010";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2009.147";0
journals/tmc/WangWN17;article;2017-05-28;"WiFall: Device-Free Fall Detection by Wireless Networks.";"";"2017";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2016.2557792";0
journals/tmc/SastryMSC11;article;2017-06-15;"Data Delivery Properties of Human Contact Networks.";"";"2011";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2010.225";0
journals/tmc/AtyaASBSK15;article;2017-06-09;"Exploiting Subcarrier Agility to Alleviate Active Jamming Attacks in Wireless Networks.";"";"2015";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2015.2405532";0
journals/tmc/ThilakarathnaPMS14;article;2017-09-16;"MobiTribe: Cost Efficient Distributed User Generated Content Sharing on Smartphones.";"";"2014";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2013.89";0
journals/tmc/ChoiPK06;article;2017-05-28;"Performance Impact of Interlayer Dependence in Infrastructure WLANs.";"";"2006";"IEEE Trans. Mob. Comput.";"https://doi.org/10.1109/TMC.2006.102";0
