dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tmscs/YoonYNSK16;article;2017-07-27;"Optimized Memory-Disk Integrated System with DRAM and Nonvolatile Memory.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2538229";0
journals/tmscs/AlawadL16;article;2017-05-28;"Stochastic-Based Deep Convolutional Networks with Reconfigurable Logic Fabric.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2601326";0
journals/tmscs/Pande15;article;2017-05-28;"Introduction to IEEE Transactions on Multiscale Computing Systems (TMSCS).";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2470315";0
journals/tmscs/HuLHXL16;article;2017-05-28;"Secure and Efficient Data Communication Protocol for Wireless Body Area Networks.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2525997";0
journals/tmscs/ChenGY16;article;2017-05-28;"Design of Resistive Synaptic Array for Implementing On-Chip Sparse Learning.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2598742";0
journals/tmscs/HeJLYHL17;article;2017-10-16;"Exploiting the Potential of Computation Reuse Through Approximate Computing.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2617343";0
journals/tmscs/DesaiSR15;article;2017-05-28;"An Ultra-Low Power, "Always-On" Camera Front-End for Posture Detection in Body Worn Cameras Using Restricted Boltzman Machines.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2513741";0
journals/tmscs/AriasWHJ15;article;2017-05-28;"Privacy and Security in Internet of Things and Wearable Devices.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2498605";0
journals/tmscs/WangQCSWLY16;article;2017-09-16;"A Real-Time Flash Translation Layer for NAND Flash Memory Storage Systems.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2516015";0
journals/tmscs/NelsonSRPB15;article;2017-05-28;"Adaptive and Personalized Gesture Recognition Using Textile Capacitive Sensor Arrays.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2495100";0
journals/tmscs/WangWQZ17;article;2017-07-07;"New Methods of Template Attack Based on Fault Sensitivity Analysis.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2643638";0
journals/tmscs/LieTM16;article;2017-05-28;"Impact of Heterogeneous Technology Integration on the Power, Performance, and Quality of a 3D Image Sensor.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2519020";0
journals/tmscs/RapartiKP17;article;2017-07-07;"ARTEMIS: An Aging-Aware Runtime Application Mapping Framework for 3D NoC-Based Chip Multiprocessors.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2017.2686856";0
journals/tmscs/FeitenOMSB16;article;2017-05-28;"Systemic Frequency Biases in Ring Oscillator PUFs on FPGAs.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2598739";0
journals/tmscs/PrenatJVPOBELBG16;article;2017-05-28;"Ultra-Fast and High-Reliability SOT-MRAM: From Cache Replacement to Normally-Off Computing.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2509963";0
journals/tmscs/WangCLC15;article;2017-05-28;"A Calibration-Free PVTD-Variation-Tolerant Sensing Scheme for Footless-8T SRAM Designs.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2487980";0
journals/tmscs/Mal-SarkarKNGKB16;article;2017-05-28;"Design and Validation for FPGA Trust under Hardware Trojan Attacks.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2584052";0
journals/tmscs/LinCWHH16;article;2017-05-28;"Minimization of Number of Neurons in Voronoi Diagram-Based Artificial Neural Networks.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2555303";0
journals/tmscs/XiangP15;article;2017-05-28;"Soft and Hard Reliability-Aware Scheduling for Multicore Embedded Systems with Energy Harvesting.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2487983";0
journals/tmscs/IbrahimC15;article;2017-05-28;"Efficient Error Recovery in Cyberphysical Digital-Microfluidic Biochips.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2478457";0
journals/tmscs/RayPB15;article;2017-05-28;"Guest Editors' Introduction: Wearables, Implants, and Internet of Things.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2494978";0
journals/tmscs/ChamazcotiM17;article;2017-10-16;"Hybrid RAID: A Solution for Enhancing the Reliability of SSD-Based RAIDs.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2598746";0
journals/tmscs/Myers15;article;2017-06-14;"Computational Synthetic Biology: Progress and the Road Ahead.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2478442";0
journals/tmscs/GuptaPJO17;article;2017-07-26;"Flexibility-Aware System-on-Polymer (SoP): Concept to Prototype.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2637345";0
journals/tmscs/GulmezogluIIES16;article;2017-07-27;"Cross-VM Cache Attacks on AES.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2550438";0
journals/tmscs/LiQW16;article;2017-07-19;"Guest Editorial: Design and Applications of Neuromorphic Computing System.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2631918";0
journals/tmscs/KangKC17;article;2017-10-16;"Internet of Everything: A Large-Scale Autonomic IoT Gateway.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2017.2705683";0
journals/tmscs/XieBSLST16;article;2017-07-27;"Security and Vulnerability Implications of 3D ICs.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2550460";0
journals/tmscs/ThakkarP15;article;2017-05-28;"3D-ProWiz: An Energy-Efficient and Optically-Interfaced 3D DRAM Architecture with Reduced Data Access Overhead.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2481425";0
journals/tmscs/KoMM15;article;2017-05-28;"An Energy-Efficient Wireless Video Sensor Node for Moving Object Surveillance.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2478469";0
journals/tmscs/WangKMKLRSK16;article;2017-07-27;"Malicious Firmware Detection with Hardware Performance Counters.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2569467";0
journals/tmscs/RayPB16;article;2017-07-27;"Wearables, Implants, and Internet of Things: The Technology Needs in the Evolving Landscape.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2553026";0
journals/tmscs/ReeceSRB17;article;2017-05-28;"On The Outside Looking In: Towards Detecting Counterfeit Devices Using Network Traffic Analysis.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2631534";0
journals/tmscs/Pande17;article;2017-07-07;"Editorial.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2017.2702241";0
journals/tmscs/YuHDSDV16;article;2017-05-28;"A Lockdown Technique to Prevent Machine Learning on PUFs for Lightweight Authentication.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2553027";0
journals/tmscs/ChenCZ15;article;2017-05-28;"Guest Editorial for Special Issue on Emerging Memory Technologies - Modeling, Design, and Applications for Multi-Scale Computing.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2505118";0
journals/tmscs/JohnsonCM15;article;2017-06-09;"A PUF-Enabled Secure Architecture for FPGA-Based IoT Applications.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2494014";0
journals/tmscs/KimYL15;article;2017-05-28;"Hybrid Main Memory for High Bandwidth Multi-Core System.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2498549";0
journals/tmscs/YangMCC17;article;2017-05-28;"Cost-Effective Design Solutions for Enhancing PRAM Reliability and Performance.";"";"2017";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2536026";0
journals/tmscs/ZhangLGQLJ15;article;2017-05-28;"MDFS: Deadline-Driven Flow Scheduling Scheme in Multi-Resource Environments.";"";"2015";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2015.2506167";0
journals/tmscs/AnZCM16;article;2017-06-20;"A Memory-Based Modular Architecture for SOM and LVQ with Dynamic Configuration.";"";"2016";"IEEE Trans. Multi-Scale Computing Systems";"https://doi.org/10.1109/TMSCS.2016.2619683";0
