dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tnse/Mateos-NunezC14;article;2017-06-09;"Distributed Online Convex Optimization Over Jointly Connected Digraphs.";"";"2014";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2014.2363554";0
journals/tnse/SilkHG16;article;2017-07-27;"Design of Self-Organizing Networks: Creating Specified Degree Distributions.";"";"2016";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2016.2586762";0
journals/tnse/SantosMX15;article;2017-07-27;"Bi-Virus SIS Epidemics over Networks: Qualitative Analysis.";"";"2015";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2015.2406252";0
journals/tnse/Chazelle15;article;2017-05-26;"Algorithmic Renormalization for Network Dynamics.";"";"2015";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2015.2419133";0
journals/tnse/SreenivasanCSKS17;article;2017-06-06;"Information Cascades in Feed-Based Networks of Users with Limited Attention.";"";"2017";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2016.2625807";0
journals/tnse/Zheng016;article;2017-07-27;"Effective Network Quarantine with Minimal Restrictions on Communication Activities.";"";"2016";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2016.2586751";0
journals/tnse/KhamfroushBPSD16;article;2017-07-27;"On Propagation of Phenomena in Interdependent Networks.";"";"2016";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2016.2600033";0
journals/tnse/QuW17;article;2017-09-13;"SIS Epidemic Spreading with Heterogeneous Infection Rates.";"";"2017";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2017.2709786";0
journals/tnse/LyzinskiTAPP17;article;2017-05-26;"Community Detection and Classification in Hierarchical Stochastic Blockmodels.";"";"2017";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2016.2634322";0
journals/tnse/GiordanoBFMM16;article;2017-06-09;"The Smallest Eigenvalue of the Generalized Laplacian Matrix, with Application to Network-Decentralized Estimation for Homogeneous Systems.";"";"2016";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2016.2600026";0
journals/tnse/SavlaCD14;article;2017-06-14;"Robust Network Routing under Cascading Failures.";"";"2014";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2014.2373358";0
journals/tnse/SalehiSMMSM15;article;2017-06-09;"Spreading Processes in Multilayer Networks.";"";"2015";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2015.2425961";0
journals/tnse/EslamiHZC16;article;2017-05-26;"Cascading Failures in Load-Dependent Finite-Size Random Geometric Networks.";"";"2016";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2016.2608341";0
journals/tnse/ScamanKV16;article;2017-05-26;"Suppressing Epidemics in Networks Using Priority Planning.";"";"2016";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2016.2600029";0
journals/tnse/ParsonageR17;article;2017-06-14;"Fast Generation of Spatially Embedded Random Networks.";"";"2017";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2017.2681700";0
journals/tnse/Wu17;article;2017-06-06;"Message from the Incoming Editor-in-Chief.";"";"2017";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2017.2701561";0
journals/tnse/MeiB17;article;2017-06-14;"Competitive Propagation: Models, Asymptotic Behavior and Quality-Seeding Games.";"";"2017";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2017.2651070";0
journals/tnse/CerqueiraFVL17;article;2017-06-06;"A Test of Hypotheses for Random Graph Distributions Built from EEG Data.";"";"2017";"IEEE Trans. Network Science and Engineering";"https://doi.org/10.1109/TNSE.2017.2674026";0
