dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tnsm/SaadLY07;article;2017-06-09;"Optimal Network Rate Allocation under End-to-End Quality-of-Service Requirements.";"";"2007";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2007.021101";0
journals/tnsm/SchembraI14;article;2017-06-14;"A Business Model for Multimedia Streaming in Mobile Clouds.";"";"2014";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2014.2346084";0
journals/tnsm/ChengZZC16;article;2017-05-20;"Situation-Aware IoT Service Coordination Using the Event-Driven SOA Paradigm.";"";"2016";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2016.2541171";0
journals/tnsm/WanZGX16;article;2017-07-27;"Reactive Pricing: An Adaptive Pricing Policy for Cloud Providers to Maximize Profit.";"";"2016";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2016.2618394";0
journals/tnsm/MijumbiSGB15;article;2017-05-20;"A Path Generation Approach to Embedding of Virtual Networks.";"";"2015";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2015.2459073";0
journals/tnsm/KawaseMHS16;article;2017-05-20;"Dynamic Router Performance Control Utilizing Support Vector Machines for Energy Consumption Reduction.";"";"2016";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2016.2605640";0
journals/tnsm/AmannejadKF15;article;2017-05-20;"Managing Performance Interference in Cloud-Based Web Services.";"";"2015";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2015.2456172";0
journals/tnsm/ZhangQGLLJ15;article;2017-05-20;"ATFQ: A Fair and Efficient Packet Scheduling Method in Multi-Resource Environments.";"";"2015";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2015.2477517";0
journals/tnsm/GroleatP12;article;2017-05-20;"Distributed Learning Algorithms for Inter-NSP SLA Negotiation Management.";"";"2012";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2012.072012.110185";0
journals/tnsm/Kamiyama15;article;2017-05-20;"Analyzing Impact of Introducing CCN on Profit of ISPs.";"";"2015";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2015.2432011";0
journals/tnsm/BrunnerNDK04;article;2017-05-20;"Customer-oriented GMPLS service management and resilience differentiation.";"";"2004";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2004.4798294";0
journals/tnsm/ZengWFK15;article;2017-05-20;"XCollOpts: A Novel Improvement of Network Virtualizations in Xen for I/O-Latency Sensitive Applications on Multicores.";"";"2015";"IEEE Trans. Network and Service Management";"https://doi.org/10.1109/TNSM.2015.2432066";0
