dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tnn/Bouchaffra12;article;2017-05-28;"Mapping Dynamic Bayesian Networks to Alpha -Shapes: Application to Human Faces Identification Across Ages.";"";"2012";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2012.2200261";0
journals/tnn/LinLFX15;article;2017-07-18;"Is Extreme Learning Machine Feasible? A Theoretical Assessment (Part II).";"";"2015";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2014.2336665";0
journals/tnn/ZengZ13;article;2017-05-28;"Multistability of Two Kinds of Recurrent Neural Networks With Activation Functions Symmetrical About the Origin on the Phase Plane.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2262638";0
journals/tnn/ZhangWL14;article;2017-05-28;"A Comprehensive Review of Stability Analysis of Continuous-Time Recurrent Neural Networks.";"";"2014";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2014.2317880";0
journals/tnn/WaiM13;article;2017-05-28;"Fuzzy-Neural-Network Inherited Sliding-Mode Control for Robot Manipulator Including Actuator Dynamics.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2012.2228230";0
journals/tnn/WuSSC13;article;2017-06-15;"Dissipativity Analysis for Discrete-Time Stochastic Neural Networks With Time-Varying Delays.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2012.2232938";0
journals/tnn/HamsiciM16;article;2017-05-28;"Multiple Ordinal Regression by Maximizing the Sum of Margins.";"";"2016";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2477321";0
journals/tnn/SubramaniamCSCV13;article;2017-05-28;"Low-Temperature Fabrication of Spiking Soma Circuits Using Nanocrystalline-Silicon TFTs.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2256926";0
journals/tnn/YangCZXY13;article;2017-09-15;"Sparse Representation Classifier Steered Discriminative Projection With Applications to Face Recognition.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2249088";0
journals/tnn/RochaG14;article;2017-05-28;"Multiclass From Binary: Expanding One-Versus-All, One-Versus-One and ECOC-Based Approaches.";"";"2014";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2274735";0
journals/tnn/OzayEVKP16;article;2017-05-28;"Machine Learning Methods for Attack Detection in the Smart Grid.";"";"2016";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2404803";0
journals/tnn/LiYC13;article;2017-05-28;"Synchronization Design of Boolean Networks Via the Semi-Tensor Product Method.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2248092";0
journals/tnn/DaiCMZX13;article;2017-05-28;"On the SVMpath Singularity.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2262180";0
journals/tnn/DuanW17;article;2017-06-29;"Learning With Auxiliary Less-Noisy Labels.";"";"2017";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2016.2546956";0
journals/tnn/DuttaPB16;article;2017-05-28;"Near-Optimal Controller for Nonlinear Continuous-Time Systems With Unknown Dynamics Using Policy Iteration.";"";"2016";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2451535";0
journals/tnn/XiongYCG17;article;2017-05-24;"Quantized Iterative Learning Consensus Tracking of Digital Networks With Limited Information Communication.";"";"2017";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2016.2532351";0
journals/tnn/LebichotKFS14;article;2017-05-28;"Semisupervised Classification Through the Bag-of-Paths Group Betweenness.";"";"2014";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2290281";0
journals/tnn/LeW15;article;2017-07-27;"Neurodynamics-Based Robust Pole Assignment for High-Order Descriptor Systems.";"";"2015";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2461553";0
journals/tnn/KiumarsiL15;article;2017-05-28;"Actor-Critic-Based Optimal Tracking for Partially Unknown Nonlinear Discrete-Time Systems.";"";"2015";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2014.2358227";0
journals/tnn/LiangZ13;article;2017-06-15;"Phase-Noise-Induced Resonance in Arrays of Coupled Excitable Neural Models.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2254126";0
journals/tnn/Gianfelici13;article;2017-05-28;"RBF-Based Technique for Statistical Demodulation of Pathological Tremor.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2263288";0
journals/tnn/KingraviCVJ12;article;2017-05-28;"Reproducing Kernel Hilbert Space Approach for the Online Update of Radial Bases in Neuro-Adaptive Control.";"";"2012";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2012.2198889";0
journals/tnn/LuSB17;article;2017-06-09;"Multiscale Support Vector Learning With Projection Operator Wavelet Kernel for Nonlinear Dynamical System Identification.";"";"2017";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2513902";0
journals/tnn/ZhangWZLW16;article;2017-09-18;"Spatiochromatic Context Modeling for Color Saliency Analysis.";"";"2016";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2464316";0
journals/tnn/WangEH15;article;2017-06-09;"Generalized Single-Hidden Layer Feedforward Networks for Regression Problems.";"";"2015";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2014.2334366";0
journals/tnn/PuYZ17;article;2017-10-05;"Fractional Hopfield Neural Networks: Fractional Dynamic Associative Recurrent Neural Networks.";"";"2017";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2016.2582512";0
journals/tnn/ModaresLS13;article;2017-06-09;"Adaptive Optimal Control of Unknown Constrained-Input Systems Using Policy Iteration and Neural Networks.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2276571";0
journals/tnn/HuW12;article;2017-06-09;"Solving the Assignment Problem Using Continuous-Time and Discrete-Time Improved Dual Networks.";"";"2012";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2012.2187798";0
journals/tnn/ChuangSH00;article;2017-05-28;"The annealing robust backpropagation (ARBP) learning algorithm.";"";"2000";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/72.870040";0
journals/tnn/TsujitaniK00;article;2017-05-28;"Neural discriminant analysis.";"";"2000";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/72.883460";0
journals/tnn/DominguesC14;article;2017-06-09;"Max-Ordinal Learning.";"";"2014";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2287381";0
journals/tnn/HuiHBH14;article;2017-05-28;"A Stochastic Mean Field Model for an Excitatory and Inhibitory Synaptic Drive Cortical Neuronal Network.";"";"2014";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2281065";0
journals/tnn/TraversaPV13;article;2017-06-09;"Memory Models of Adaptive Behavior.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2261545";0
journals/tnn/ZhangMW12;article;2017-05-28;"Nonlinear System Modeling With Random Matrices: Echo State Networks Revisited.";"";"2012";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2011.2178562";0
journals/tnn/YuZRT15;article;2017-05-28;"Emotional Multiagent Reinforcement Learning in Spatial Social Dilemmas.";"";"2015";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2403394";0
journals/tnn/KonishiKWI15;article;2017-05-28;"Variational Bayesian Inference Algorithms for Infinite Relational Model of Network Data.";"";"2015";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2014.2362012";0
journals/tnn/YoungLHA14;article;2017-05-28;"On the Impact of Approximate Computation in an Analog DeSTIN Architecture.";"";"2014";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2283730";0
journals/tnn/SavithaSS13;article;2017-05-28;"Projection-Based Fast Learning Fully Complex-Valued Relaxation Neural Network.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2012.2235460";0
journals/tnn/QinY13;article;2017-05-28;"Coordination of Multiagents Interacting Under Independent Position and Velocity Topologies.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2261090";0
journals/tnn/CaiZZ17;article;2017-06-29;"Batch Mode Active Learning for Regression With Expected Model Change.";"";"2017";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2016.2542184";0
journals/tnn/GuS13;article;2017-05-28;"Feasibility and Finite Convergence Analysis for Accurate On-Line $\nu$-Support Vector Machine.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2250300";0
journals/tnn/BharitkarM00;article;2017-05-28;"The hysteretic Hopfield neural network.";"";"2000";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/72.857769";0
journals/tnn/Chen0W13;article;2017-05-28;"Online Selective Kernel-Based Temporal Difference Learning.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2270561";0
journals/tnn/Perez-Ilzarbe13;article;2017-05-28;"New Discrete-Time Recurrent Neural Network Proposal for Quadratic Optimization With General Linear Constraints.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2012.2223484";0
journals/tnn/RolfS14;article;2017-05-28;"Efficient Exploratory Learning of Inverse Kinematics on a Bionic Elephant Trunk.";"";"2014";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2287890";0
journals/tnn/WangBMM17;article;2017-07-27;"SpikeTemp: An Enhanced Rank-Order-Based Learning Approach for Spiking Neural Networks With Adaptive Structure.";"";"2017";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2501322";0
journals/tnn/TangHNWH16;article;2017-06-15;"Adaptive Modulation for DFIG and STATCOM With High-Voltage Direct Current Transmission.";"";"2016";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2504035";0
journals/tnn/NiuLXC17;article;2017-09-21;"Visual Recognition by Learning From Web Data via Weakly Supervised Domain Generalization.";"";"2017";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2016.2557349";0
journals/tnn/StanimirovicZW15;article;2017-05-28;"Recurrent Neural Network for Computing the Drazin Inverse.";"";"2015";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2397551";0
journals/tnn/ChenZZP13;article;2017-05-28;"Quantized Kernel Recursive Least Squares Algorithm.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2258936";0
journals/tnn/DuHLC15;article;2017-06-15;"Adaptive Robust Output Feedback Control for a Marine Dynamic Positioning System Based on a High-Gain Observer.";"";"2015";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2396044";0
journals/tnn/XiaoFLS16;article;2017-06-09;"Objective Function and Learning Algorithm for the General Node Fault Situation.";"";"2016";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2015.2427331";0
journals/tnn/BengioB00;article;2017-05-28;"Taking on the curse of dimensionality in joint distributions using neural networks.";"";"2000";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/72.846725";0
journals/tnn/BianZMBT14;article;2017-09-16;"Minimizing Nearest Neighbor Classification Error for Nonparametric Dimension Reduction.";"";"2014";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2294547";0
journals/tnn/Wang00;article;2017-05-28;"Heteroassociations of spatio-temporal sequences with the bidirectional associative memory.";"";"2000";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/72.883484";0
journals/tnn/XuCLL13;article;2017-06-09;"Least Square Regularized Regression in Sum Space.";"";"2013";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2013.2242091";0
journals/tnn/ParkYJMC17;article;2017-10-11;"Hierarchical Address Event Routing for Reconfigurable Large-Scale Neuromorphic Systems.";"";"2017";"IEEE Trans. Neural Netw. Learning Syst.";"https://doi.org/10.1109/TNNLS.2016.2572164";0
