dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tnn/PorrmannWR03;article;2017-05-28;"A massively parallel architecture for self-organizing feature maps.";"";"2003";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2003.816368";0
journals/tnn/LiDK05;article;2017-05-28;"Classifiability-based omnivariate decision trees.";"";"2005";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2005.852864";0
journals/tnn/Erdi08;article;2017-05-28;"Neurodynamics of Cognition and Consciousness (Perlovsky, L.I. and Kozma, R., Eds.; 2007) [Book review].";"";"2008";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2008.925981";0
journals/tnn/LiQZK04;article;2017-06-09;"Robust and adaptive backstepping control for nonlinear systems using RBF neural networks.";"";"2004";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2004.826215";1
journals/tnn/RosenblumD96;article;2017-05-28;"An improved radial basis function network for visual autonomous road following.";"";"1996";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.536308";0
journals/tnn/LeeH02;article;2017-05-28;"An ART-based construction of RBF networks.";"";"2002";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2002.804308";0
journals/tnn/RutkowskiC03;article;2017-05-28;"Flexible neuro-fuzzy systems.";"";"2003";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2003.811698";0
journals/tnn/ParkKP01;article;2017-05-28;"An optimization-based design procedure for asymmetric bidirectional associative memories.";"";"2001";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.896808";0
journals/tnn/VogelsteinMVC07;article;2017-06-15;"Dynamically Reconfigurable Silicon Array of Spiking Neurons With Conductance-Based Synapses.";"";"2007";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2006.883007";0
journals/tnn/KusnadiCC97;article;2017-05-28;"Hierarchical graph visualization using neural networks.";"";"1997";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.572116";0
journals/tnn/AlippiS06;article;2017-06-09;"Exploiting application locality to design low-complexity, highly performing, and power-aware embedded classifiers.";"";"2006";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2006.872345";0
journals/tnn/Sun94;article;2017-05-28;"A neural network model of causality.";"";"1994";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.298230";0
journals/tnn/ChoC01;article;2017-05-28;"Neural computation approach for developing a 3D shape reconstruction model.";"";"2001";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.950148";0
journals/tnn/WangS98a;article;2017-05-28;"TMLNN: triple-valued or multiple-valued logic neural network.";"";"1998";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.728355";0
journals/tnn/WangH11;article;2017-05-28;"Convergence Study in Extended Kalman Filter-Based Training of Recurrent Neural Networks.";"";"2011";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2011.2109737";0
journals/tnn/ZhouYLSL09;article;2017-06-09;"Identifying the Topology of a Coupled FitzHugh-Nagumo Neurobiological Network via a Pinning Mechanism.";"";"2009";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2009.2029102";0
journals/tnn/JiaoPF01;article;2017-05-28;"Multiwavelet neural network and its approximation properties.";"";"2001";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.950135";0
journals/tnn/LiS10a;article;2017-05-28;"LMI approach for stationary oscillation of interval neural networks with discrete and distributed time-varying delays under impulsive perturbations.";"";"2010";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2010.2061865";0
journals/tnn/DasO98;article;2017-05-28;"Noisy recurrent neural networks: the continuous-time case.";"";"1998";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.712164";0
journals/tnn/HeLR07;article;2017-06-15;"New Delay-Dependent Stability Criteria for Neural Networks With Time-Varying Delay.";"";"2007";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2006.888373";0
journals/tnn/MossakowskiM09;article;2017-05-28;"Learning Without Human Expertise: A Case Study of the Double Dummy Bridge Problem.";"";"2009";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2008.2005526";0
journals/tnn/WalshFO99;article;2017-05-28;"Augmented Hopfield network for mixed-integer programming.";"";"1999";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.750578";0
journals/tnn/SuykensV99;article;2017-05-28;"Training multilayer perceptron classifiers based on a modified support vector method.";"";"1999";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.774254";0
journals/tnn/CiosN92;article;2017-05-28;"A machine learning method for generation of a neural network architecture: a continuous ID3 algorithm.";"";"1992";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.125869";0
journals/tnn/Pedrycz98;article;2017-05-28;"Conditional fuzzy clustering in the design of radial basis function neural networks.";"";"1998";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.701174";0
journals/tnn/ZarzosoCP10;article;2017-05-28;"A contrast function for independent component analysis without permutation ambiguity.";"";"2010";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2010.2045128";0
journals/tnn/MillanMFCVHB02;article;2017-06-09;"A local neural classifier for the recognition of EEG patterns associated to mental tasks.";"";"2002";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/TNN.2002.1000132";0
journals/tnn/DorronsoroGSC97;article;2017-05-28;"Neural fraud detection in credit card operations.";"";"1997";"IEEE Trans. Neural Networks";"https://doi.org/10.1109/72.595879";0
