dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tpds/PuenteG07;article;2017-06-15;"Immucube: Scalable Fault-Tolerant Routing for k-ary n-cube Networks.";"";"2007";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2007.1047";0
journals/tpds/ImaniSZM09;article;2017-09-16;"Detecting Threats in Star Graphs.";"";"2009";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2008.108";0
journals/tpds/BosqueP06;article;2017-06-15;"A Parallel Computational Model for Heterogeneous Clusters.";"";"2006";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2006.165";0
journals/tpds/WangLX13;article;2017-05-27;"Robust Statistics Counter Arrays with Interleaved Memories.";"";"2013";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2012.287";0
journals/tpds/ChengL15;article;2017-05-27;"Source Selection and Content Dissemination for Preference-Aware Traffic Offloading.";"";"2015";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2014.2363652";0
journals/tpds/LiuGXWY11;article;2017-06-09;"Satisfiability Modulo Graph Theory for Task Mapping and Scheduling on Multiprocessor Systems.";"";"2011";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2010.204";0
journals/tpds/ChenTXWF12;article;2017-05-27;"Fidelity-Aware Utilization Control for Cyber-Physical Surveillance Systems.";"";"2012";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2012.74";0
journals/tpds/Rico-GallegoLD17;article;2017-10-18;"Model-Based Estimation of the Communication Cost of Hybrid Data-Parallel Applications on Heterogeneous Clusters.";"";"2017";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2017.2715809";0
journals/tpds/WangTLJH14;article;2017-05-27;"Coding Opportunity Aware Backbone Metrics for Broadcast in Wireless Networks.";"";"2014";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/TPDS.2013.229";0
journals/tpds/ChaoS97;article;2017-05-27;"Scheduling Data-Flow Graphs via Retiming and Unfolding.";"";"1997";"IEEE Trans. Parallel Distrib. Syst.";"https://doi.org/10.1109/71.640018";0
