dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/pami/GordoPGL14;article;2017-05-17;"Asymmetric Distances for Binary Embeddings.";"";"2014";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2013.101";0
journals/pami/SegevHMCE17;article;2017-08-15;"Learn on Source, Refine on Target: A Model Transfer Learning Framework with Random Forests.";"";"2017";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2016.2618118";0
journals/pami/BeslM92;article;2017-05-17;"A Method for Registration of 3-D Shapes.";"";"1992";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/34.121791";0
journals/pami/MikaRWSSM03;article;2017-09-16;"Constructing Descriptive and Discriminative Nonlinear Features: Rayleigh Coefficients in Kernel Feature Spaces.";"";"2003";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2003.1195996";0
journals/pami/SharmaJS17;article;2017-05-17;"Expanded Parts Model for Semantic Description of Humans in Still Images.";"";"2017";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2016.2537325";0
journals/pami/Derin87;article;2017-05-17;"Estimating Components of Univariate Gaussian Mixtures Using Prony's Method.";"";"1987";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.1987.4767880";0
journals/pami/LiTS12;article;2017-05-17;"Divide, Conquer and Coordinate: Globally Coordinated Switching Linear Dynamical System.";"";"2012";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2011.152";0
journals/pami/Windham82;article;2017-05-17;"Cluster Validity for the Fuzzy c-Means Clustering Algorithrm.";"";"1982";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.1982.4767266";0
journals/pami/RavichandranC94;article;2017-05-17;"Advanced In-Plane Rotation-Invariant Correlation Filters.";"";"1994";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/34.277595";0
journals/pami/ParentZ89a;article;2017-05-17;"Radial Projection: An Efficient Update Rule for Relaxation Labeling.";"";"1989";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/34.31449";0
journals/pami/Davis79;article;2017-05-17;"Shape Matching Using Relaxation Techniques.";"";"1979";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.1979.4766876";0
journals/pami/AltermanSS17;article;2017-07-26;"Triangulation in Random Refractive Distortions.";"";"2017";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2016.2551740";0
journals/pami/PrusaW15;article;2017-05-17;"Universality of the Local Marginal Polytope.";"";"2015";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2014.2353626";0
journals/pami/OuyangC10;article;2017-06-14;"Fast Algorithm for Walsh Hadamard Transform on Sliding Windows.";"";"2010";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2009.104";0
journals/pami/ChenTLY13;article;2017-05-17;"A Convex Formulation for Learning a Shared Predictive Structure from Multiple Tasks.";"";"2013";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2012.189";0
journals/pami/X00c;article;2016-03-11;"Editorial.";"";"2000";"IEEE Trans. Pattern Anal. Mach. Intell.";None;0
journals/pami/KimC09;article;2017-05-17;"Canonical Correlation Analysis of Video Volume Tensors for Action Categorization and Detection.";"";"2009";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2008.167";0
journals/pami/UnserAE93;article;2017-05-17;"The L";"";"1993";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/34.206956";0
journals/pami/Marchiori10;article;2017-05-17;"Class Conditional Nearest Neighbor for Large Margin Instance Selection.";"";"2010";"IEEE Trans. Pattern Anal. Mach. Intell.";"https://doi.org/10.1109/TPAMI.2009.164";0
