dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tpc/BaehrA10;article;2017-05-18;"Assessing the Value of Corporate Blogs: A Social Capital Perspective.";"";"2010";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2010.2077491";0
journals/tpc/Bowen14;article;2017-05-18;"Higher Education in the Digital Age.";"";"2014";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2014.2311873";0
journals/tpc/WongODZZ16;article;2017-05-18;"Web 2.0 and Communication Processes at Work: Evidence From China.";"";"2016";"IEEE Trans. Prof. Communication";"";0
journals/tpc/GonzalesPHM16;article;2017-09-15;"Revising a Content-Management Course for a Content Strategy World.";"";"2016";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2016.2537098";0
journals/tpc/BremnerP15;article;2017-05-18;"Learning From the Experts: An Analysis of Résumé Writers' Self-Presentation on LinkedIn.";"";"2015";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2016.2519319";0
journals/tpc/Spinuzzi16;article;2017-05-18;"Introduction to the Special Issue on Entrepreneurship Communication.";"";"2016";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2016.2607803";0
journals/tpc/WincklerBB13;article;2017-05-18;"Identifying User Experience Dimensions for Mobile Incident Reporting in Urban Contexts.";"";"2013";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2013.2257212";0
journals/tpc/KarremanJH14;article;2017-06-09;"The Effects of Different Parts of the Annual Report on Potential Investors' Attitudes Towards the Company and on the Corporate Reputation.";"";"2014";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2014.2311872";0
journals/tpc/McDanielFL17;article;2017-07-26;"Creative Content Management: Importance, Novelty, and Affect as Design Heuristics for Learning Management Systems.";"";"2017";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2017.2656578";0
journals/tpc/Dysart-GalePR10;article;2017-05-18;"Improving Professional Writing for Lay Practitioners: A Rhetorical Approach.";"";"2010";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2010.2052845";0
journals/tpc/Carradini16;article;2017-07-27;"John Hartley, Wen Wen, and Henry Siling Li.";"";"2016";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2016.2609278";0
journals/tpc/FlammiaCS10;article;2017-06-09;"Leadership Roles, Socioemotional Communication Strategies, and Technology Use of Irish and US Students in Virtual Teams.";"";"2010";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2010.2046088";0
journals/tpc/BoettgerP10;article;2017-05-18;"Quantitative Content Analysis: Its Use in Technical Communication.";"";"2010";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2010.2077450";0
journals/tpc/KimS14;article;2017-06-09;"Seeking an Effective Program to Improve Communication Skills of Non-English-Speaking Graduate Engineering Students: The Case of a Korean Engineering School.";"";"2014";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2014.2310784";0
journals/tpc/SadriF13;article;2017-05-18;"Intercultural Communication: A New Approach to International Relations and Global Challenges.";"";"2013";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2012.2237251";0
journals/tpc/ScottS10;article;2017-05-18;"Examining the Role of the Communication Channel Interface and Recipient Characteristics on Knowledge Internalization: A Pragmatist View.";"";"2010";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2010.2046085";0
journals/tpc/BalzottiR16;article;2017-05-18;"Client-Based Pedagogy Meets Workplace Simulation: Developing Social Processes in the Arisoph Case Study.";"";"2016";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2016.2561082";0
journals/tpc/Yu12;article;2017-05-18;"A Study of Engineering Students' Intercultural Competence and Its Implications for Teaching.";"";"2012";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2012.2186657";0
journals/tpc/TulejaR11;article;2017-05-18;"An Analysis of a Communication Training Program for Chinese Managers.";"";"2011";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2011.2121730";0
journals/tpc/MarettML15;article;2017-05-18;"The Role of Relational Familiarity When Interpreting Family Business Communication.";"";"2015";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2015.2420331";0
journals/tpc/AlaiadZ17;article;2017-05-18;"Patients' Adoption of WSN-Based Smart Home Healthcare Systems: An Integrated Model of Facilitators and Barriers.";"";"2017";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2016.2632822";0
journals/tpc/Dreher16;article;2017-07-27;"Russell Willerton.";"";"2016";"IEEE Trans. Prof. Communication";"https://doi.org/10.1109/TPC.2016.2592578";0
