dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/trob/YangPL07;article;2017-05-20;"Gesture Spotting and Recognition for Human-Robot Interaction.";"";"2007";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2006.889491";0
journals/trob/YangPL07;article;2017-05-20;"Gesture Spotting and Recognition for Human-Robot Interaction.";"";"2007";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2006.889491";0
journals/trob/YuenM05;article;2017-05-20;"Vision-based localization algorithm based on landmark matching, triangulation, reconstruction, and comparison.";"";"2005";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2004.835452";0
journals/trob/YuenM05;article;2017-05-20;"Vision-based localization algorithm based on landmark matching, triangulation, reconstruction, and comparison.";"";"2005";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2004.835452";0
journals/trob/ArslanS12;article;2017-05-20;"Reactive Planning and Control of Planar Spring-Mass Running on Rough Terrain.";"";"2012";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2011.2178134";0
journals/trob/ArslanS12;article;2017-05-20;"Reactive Planning and Control of Planar Spring-Mass Running on Rough Terrain.";"";"2012";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2011.2178134";0
journals/trob/AntonelliCF05;article;2017-06-09;"A calibration method for odometry of mobile robots based on the least-squares technique: theory and experimental validation.";"";"2005";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2005.851382";0
journals/trob/AntonelliCF05;article;2017-06-09;"A calibration method for odometry of mobile robots based on the least-squares technique: theory and experimental validation.";"";"2005";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2005.851382";0
journals/trob/Hadj-AbdelkaderMMC08;article;2017-06-15;"Catadioptric Visual Servoing From 3-D Straight Lines.";"";"2008";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2008.919288";0
journals/trob/Hadj-AbdelkaderMMC08;article;2017-06-15;"Catadioptric Visual Servoing From 3-D Straight Lines.";"";"2008";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2008.919288";0
journals/trob/PlakuBCLK05;article;2017-05-20;"Sampling-Based Roadmap of Trees for Parallel Motion Planning.";"";"2005";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2005.847599";0
journals/trob/PlakuBCLK05;article;2017-05-20;"Sampling-Based Roadmap of Trees for Parallel Motion Planning.";"";"2005";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2005.847599";0
journals/trob/HoDSH11;article;2017-05-20;"Development and Analysis of a Sliding Tactile Soft Fingertip Embedded With a Microforce/Moment Sensor.";"";"2011";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2010.2103470";0
journals/trob/HoDSH11;article;2017-05-20;"Development and Analysis of a Sliding Tactile Soft Fingertip Embedded With a Microforce/Moment Sensor.";"";"2011";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2010.2103470";0
journals/trob/StephanFKR17;article;2017-10-11;"Concurrent Control of Mobility and Communication in Multirobot Systems.";"";"2017";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2017.2705119";0
journals/trob/StephanFKR17;article;2017-10-11;"Concurrent Control of Mobility and Communication in Multirobot Systems.";"";"2017";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2017.2705119";0
journals/trob/LiangHWZ11;article;2017-05-20;"Improved Stability Results for Visual Tracking of Robotic Manipulators Based on the Depth-Independent Interaction Matrix.";"";"2011";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2011.2106331";0
journals/trob/LiangHWZ11;article;2017-05-20;"Improved Stability Results for Visual Tracking of Robotic Manipulators Based on the Depth-Independent Interaction Matrix.";"";"2011";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2011.2106331";0
journals/trob/OkadaN05;article;2017-05-20;"Development of a cybernetic shoulder-a 3-DOF mechanism that imitates biological shoulder motion.";"";"2005";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2004.838006";0
journals/trob/OkadaN05;article;2017-05-20;"Development of a cybernetic shoulder-a 3-DOF mechanism that imitates biological shoulder motion.";"";"2005";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2004.838006";0
journals/trob/TanH14;article;2017-05-20;"Design of a High-Performance Automatic Steering Controller for Bus Revenue Service Based on How Drivers Steer.";"";"2014";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2014.2331092";0
journals/trob/TanH14;article;2017-05-20;"Design of a High-Performance Automatic Steering Controller for Bus Revenue Service Based on How Drivers Steer.";"";"2014";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2014.2331092";0
journals/trob/BoyerB15;article;2017-05-20;"Erratum to "Reduced Locomotion Dynamics With Passive Internal DoFs: Application to Nonholonomic and Soft Robotics".";"";"2015";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2015.2411411";0
journals/trob/BoyerB15;article;2017-05-20;"Erratum to "Reduced Locomotion Dynamics With Passive Internal DoFs: Application to Nonholonomic and Soft Robotics".";"";"2015";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2015.2411411";0
journals/trob/WangL08;article;2017-05-20;"Modeling and Analysis of Skidding and Slipping in Wheeled Mobile Robots: Control Design Perspective.";"";"2008";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2008.921563";0
journals/trob/WangL08;article;2017-05-20;"Modeling and Analysis of Skidding and Slipping in Wheeled Mobile Robots: Control Design Perspective.";"";"2008";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2008.921563";0
journals/trob/ZouZZ16;article;2017-07-27;"Liftoff of an Electromagnetically Driven Insect-Inspired Flapping-Wing Robot.";"";"2016";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2016.2593449";0
journals/trob/ZouZZ16;article;2017-07-27;"Liftoff of an Electromagnetically Driven Insect-Inspired Flapping-Wing Robot.";"";"2016";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2016.2593449";0
journals/trob/Corke07;article;2017-06-09;"A Simple and Systematic Approach to Assigning Denavit-Hartenberg Parameters.";"";"2007";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2007.896765";0
journals/trob/Corke07;article;2017-06-09;"A Simple and Systematic Approach to Assigning Denavit-Hartenberg Parameters.";"";"2007";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2007.896765";0
journals/trob/TakamatsuMOKI06;article;2017-05-20;"Representation for knot-tying tasks.";"";"2006";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2005.855988";0
journals/trob/TakamatsuMOKI06;article;2017-05-20;"Representation for knot-tying tasks.";"";"2006";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2005.855988";0
journals/trob/SunWSF09;article;2017-09-05;"A Synchronization Approach to Trajectory Tracking of Multiple Mobile Robots While Maintaining Time-Varying Formations.";"";"2009";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2009.2027384";0
journals/trob/SunWSF09;article;2017-09-05;"A Synchronization Approach to Trajectory Tracking of Multiple Mobile Robots While Maintaining Time-Varying Formations.";"";"2009";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2009.2027384";0
journals/trob/JacksonFKG13;article;2017-05-20;"Distributed Constrained Minimum-Time Schedules in Networks of Arbitrary Topology.";"";"2013";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2012.2224258";0
journals/trob/JacksonFKG13;article;2017-05-20;"Distributed Constrained Minimum-Time Schedules in Networks of Arbitrary Topology.";"";"2013";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2012.2224258";0
journals/trob/SilveiraMR08;article;2017-05-20;"An Efficient Direct Approach to Visual SLAM.";"";"2008";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2008.2004829";0
journals/trob/SilveiraMR08;article;2017-05-20;"An Efficient Direct Approach to Visual SLAM.";"";"2008";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2008.2004829";0
journals/trob/SolTT11;article;2017-06-15;"Singularity-Invariant Families of Line-Plane 5-SunderlineP U Platforms.";"";"2011";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2011.2158018";0
journals/trob/SolTT11;article;2017-06-15;"Singularity-Invariant Families of Line-Plane 5-SunderlineP U Platforms.";"";"2011";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2011.2158018";0
journals/trob/AsifBS17;article;2017-06-28;"RGB-D Object Recognition and Grasp Detection Using Hierarchical Cascaded Forests.";"";"2017";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2016.2638453";0
journals/trob/AsifBS17;article;2017-06-28;"RGB-D Object Recognition and Grasp Detection Using Hierarchical Cascaded Forests.";"";"2017";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2016.2638453";0
journals/trob/GarciaHSL11;article;2017-05-20;"A Vacuum-Based Bonding Mechanism for Modular Robotics.";"";"2011";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2011.2153010";0
journals/trob/GarciaHSL11;article;2017-05-20;"A Vacuum-Based Bonding Mechanism for Modular Robotics.";"";"2011";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2011.2153010";0
journals/trob/OrioloCV17;article;2017-10-09;"Repeatable Motion Planning for Redundant Robots Over Cyclic Tasks.";"";"2017";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2017.2715348";0
journals/trob/OrioloCV17;article;2017-10-09;"Repeatable Motion Planning for Redundant Robots Over Cyclic Tasks.";"";"2017";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2017.2715348";0
journals/trob/CensiFMO13;article;2017-06-15;"Simultaneous Calibration of Odometry and Sensor Parameters for Mobile Robots.";"";"2013";"IEEE Trans. Robotics";"https://doi.org/10.1109/TRO.2012.2226380";0
