dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/trob/DingKCJ03;article;2017-05-20;"Optimal sensor distribution for variation diagnosis in multistation assembly processes.";"";"2003";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/TRA.2003.814516";0
journals/trob/DingKCJ03;article;2017-05-20;"Optimal sensor distribution for variation diagnosis in multistation assembly processes.";"";"2003";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/TRA.2003.814516";0
journals/trob/ZhuDW03;article;2017-06-15;"Grasp analysis and synthesis based on a new quantitative measure.";"";"2003";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/TRA.2003.819604";0
journals/trob/ZhuDW03;article;2017-06-15;"Grasp analysis and synthesis based on a new quantitative measure.";"";"2003";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/TRA.2003.819604";0
journals/trob/SuhS89;article;2017-05-20;"Coordination of dual robot arms using kinematic redundancy.";"";"1989";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.88045";0
journals/trob/SuhS89;article;2017-05-20;"Coordination of dual robot arms using kinematic redundancy.";"";"1989";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.88045";0
journals/trob/PopovicG98;article;2017-06-09;"Modeling of friction using spectral analysis.";"";"1998";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.660854";0
journals/trob/PopovicG98;article;2017-06-09;"Modeling of friction using spectral analysis.";"";"1998";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.660854";0
journals/trob/ChenZR92;article;2017-06-09;"Comments on 'Comments on "Calibration of wrist-mounted robotic sensors by solving homogeneous transform equations of the form AX=XB" ' [with reply].";"";"1992";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.149950";0
journals/trob/ChenZR92;article;2017-06-09;"Comments on 'Comments on "Calibration of wrist-mounted robotic sensors by solving homogeneous transform equations of the form AX=XB" ' [with reply].";"";"1992";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.149950";0
journals/trob/YokokohjiTY93;article;2017-05-20;"Efficient computational algorithms for trajectory control of free-flying space robots with multiple arms.";"";"1993";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.258050";1
journals/trob/YokokohjiTY93;article;2017-05-20;"Efficient computational algorithms for trajectory control of free-flying space robots with multiple arms.";"";"1993";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.258050";1
journals/trob/ArkinM94;article;2017-05-20;"Temporal coordination of perceptual algorithms for mobile robot navigation.";"";"1994";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.294203";0
journals/trob/ArkinM94;article;2017-05-20;"Temporal coordination of perceptual algorithms for mobile robot navigation.";"";"1994";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.294203";0
journals/trob/Zuberek01;article;2017-05-20;"Timed Petri nets in modeling and analysis of cluster tools.";"";"2001";"IEEE Trans. Robotics and Automation";"https://doi.org/10.1109/70.964658";0
