dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsc/YeMBD16;article;2017-09-16;"Long-Term QoS-Aware Cloud Service Composition Using Multivariate Time Series Analysis.";"";"2016";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2373366";0
journals/tsc/LeuCH14;article;2017-05-28;"Improving Heterogeneous SOA-Based IoT Message Stability by Shortest Processing Time Scheduling.";"";"2014";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2013.30";0
journals/tsc/She0YBT16;article;2017-05-28;"Role-Based Integrated Access Control and Data Provenance for SOA Based Net-Centric Systems.";"";"2016";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2015.2432795";0
journals/tsc/LlinasN15;article;2017-05-28;"Network and QoS-Based Selection of Complementary Services.";"";"2015";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2299547";0
journals/tsc/Zhang10a;article;2017-05-28;"Editorial: Data Intelligence in Services Computing.";"";"2010";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2010.48";0
journals/tsc/PantazoglouPT14;article;2017-05-28;"Decentralized Enactment of BPEL Processes.";"";"2014";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2013.6";0
journals/tsc/ZhuA12;article;2017-05-28;"Resource Provisioning with Budget Constraints for Adaptive Applications in Cloud Environments.";"";"2012";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2011.61";0
journals/tsc/UnuvarTDST15;article;2017-05-28;"Selecting Optimum Cloud Availability Zones by Learning User Satisfaction Levels.";"";"2015";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2381225";0
journals/tsc/Zhang09c;article;2017-05-28;"Editorial: Modern Services Engineering.";"";"2009";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2009.32";0
journals/tsc/SimonGK15;article;2017-05-28;"A Performance Model for the Web Service Protocol Stacks.";"";"2015";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2338866";0
journals/tsc/CasolaBEMR17;article;2017-10-18;"Automatically Enforcing Security SLAs in the Cloud.";"";"2017";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2016.2540630";0
journals/tsc/JoshiYF14;article;2017-05-28;"Automating Cloud Services Life Cycle through Semantic Technologies.";"";"2014";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2012.41";0
journals/tsc/HarneyD08;article;2017-05-28;"Selective Querying for Adapting Web Service Compositions Using the Value of Changed Information.";"";"2008";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2008.11";0
journals/tsc/LeiLHL15;article;2017-06-15;"Cloud Computing Service: The Caseof Large Matrix Determinant Computation.";"";"2015";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2331694";0
journals/tsc/KhanKHRZCVKLZ17;article;2017-09-21;"MacroServ: A Route Recommendation Service for Large-Scale Evacuations.";"";"2017";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2015.2497241";0
journals/tsc/AlrifaiDBN09;article;2017-06-09;"Distributed Management of Concurrent Web Service Transactions.";"";"2009";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2009.29";0
journals/tsc/YiAK12;article;2017-05-28;"Monetary Cost-Aware Checkpointing and Migration on Amazon Cloud Spot Instances.";"";"2012";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2011.44";0
journals/tsc/WenYL13;article;2017-05-28;"Artificial Societies, Computational Experiments, and Parallel Systems: An Investigation on a Computational Theory for Complex Socioeconomic Systems.";"";"2013";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2012.24";0
journals/tsc/SongSS12;article;2017-05-28;"Hierarchical Online Problem Classification for IT Support Services.";"";"2012";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2011.3";0
journals/tsc/BourouisKHT17;article;2017-05-28;"On the Verification of Opacity in Web Services and Their Composition.";"";"2017";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2016.2605090";0
journals/tsc/BurattinCMS15;article;2017-05-28;"Online Discovery of Declarative Process Models from Event Streams.";"";"2015";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2015.2459703";0
journals/tsc/ZhengMLK13;article;2017-09-16;"Collaborative Web Service QoS Prediction via Neighborhood Integrated Matrix Factorization.";"";"2013";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2011.59";0
journals/tsc/SloanK09;article;2017-05-28;"From Web Service Artifact to a Readable and Verifiable Model.";"";"2009";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2009.23";0
journals/tsc/MusaevWP15;article;2017-05-28;"LITMUS: A Multi-Service Composition System for Landslide Detection.";"";"2015";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2376558";0
journals/tsc/0001MLLLB15;article;2017-05-28;"Model-Based Automated Navigation and Composition of Complex Service Mashups.";"";"2015";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2347293";0
journals/tsc/ArtailS09;article;2017-05-28;"A Distributed System for Consuming Web Services and Caching Their Responses in MANETs.";"";"2009";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2008.20";0
journals/tsc/UpadhyayaZKN15;article;2017-05-28;"Quality of Experience: User's Perception about Web Services.";"";"2015";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2387751";0
journals/tsc/PengZXX16;article;2017-07-27;"Comments on "Identity-Based Distributed Provable Data Possession in Multicloud Storage".";"";"2016";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2016.2589248";0
journals/tsc/KangTLLC16;article;2017-05-28;"Diversifying Web Service Recommendation Results via Exploring Service Usage History.";"";"2016";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2015.2415807";0
journals/tsc/TjoaJGKGQ11;article;2017-06-09;"A Formal Approach Enabling Risk-Aware Business Process Modeling and Simulation.";"";"2011";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2010.17";0
journals/tsc/ZhouDCSB17;article;2017-10-18;"mCloud: A Context-Aware Offloading Framework for Heterogeneous Mobile Cloud.";"";"2017";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2015.2511002";0
journals/tsc/LiRJ12;article;2017-05-28;"A Trusted Virtual Machine in an Untrusted Management Environment.";"";"2012";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2011.30";0
journals/tsc/KohlbornKCR09;article;2017-06-15;"Identification and Analysis of Business and Software Services - A Consolidated Approach.";"";"2009";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2009.6";0
journals/tsc/ChurchG14;article;2017-05-28;"A Survey of Cloud-Based Service Computing Solutions for Mammalian Genomics.";"";"2014";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2014.2353645";0
journals/tsc/WuYDLWJZ16;article;2017-05-28;"A Multilevel Index Model to Expedite Web Service Discovery and Composition in Large-Scale Service Repositories.";"";"2016";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2015.2398442";0
journals/tsc/XiaoU12;article;2017-05-28;"Using Rules and Data Dependencies for the Recovery of Concurrent Processes in a Service-Oriented Environment.";"";"2012";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2011.25";0
journals/tsc/KimBCS13;article;2017-05-28;"Evolution of Social Networks Based on Tagging Practices.";"";"2013";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2011.54";0
journals/tsc/WangLWZ17;article;2017-10-19;"A Classroom Scheduling Service for Smart Classes.";"";"2017";"IEEE Trans. Services Computing";"https://doi.org/10.1109/TSC.2015.2444849";0
