dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsp/TolJV07;article;2017-05-18;"Self-Calibration for the LOFAR Radio Astronomical Array.";"";"2007";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/TSP.2007.896243";0
journals/tsp/TianBT01;article;2017-05-18;"A recursive least squares implementation for LCMP beamforming under quadratic constraint.";"";"2001";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/78.923296";0
journals/tsp/ChenV10a;article;2017-05-18;"Nonparametric one-bit quantizers for distributed estimation.";"";"2010";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/TSP.2010.2046597";0
journals/tsp/StanhillZ96;article;2017-05-18;"Two-dimensional orthogonal wavelets with vanishing moments.";"";"1996";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/78.539041";0
journals/tsp/GrangettoMO09;article;2017-06-09;"Distributed arithmetic coding for the Slepian-Wolf problem.";"";"2009";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/TSP.2009.2014280";0
journals/tsp/LiuWH13;article;2017-05-18;"UKF Based Nonlinear Filtering Using Minimum Entropy Criterion.";"";"2013";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/TSP.2013.2274956";0
journals/tsp/Ala-LuhtalaWHP16;article;2017-07-27;"An Introduction to Twisted Particle Filters and Parameter Estimation in Non-Linear State-Space Models.";"";"2016";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/TSP.2016.2563387";0
journals/tsp/NguyenSRPND16;article;2017-06-09;"A Bayesian Perspective on Multiple Source Localization in Wireless Sensor Networks.";"";"2016";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/TSP.2015.2505689";0
journals/tsp/MaG06;article;2017-05-18;"Ambiguity-function-based techniques to estimate DOA of broadband chirp signals.";"";"2006";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/TSP.2006.871977";0
journals/tsp/Garcia-Fernandez15a;article;2017-05-18;"Derivation of the PHD and CPHD Filters Based on Direct Kullback-Leibler Divergence Minimization.";"";"2015";"IEEE Trans. Signal Processing";"https://doi.org/10.1109/TSP.2015.2468677";0
