dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsipn/WimalajeewaVS17;article;2017-05-28;"Detection of Single Versus Multiple Antenna Transmission Systems Using Pilot Data.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2601023";0
journals/tsipn/SoattiNSS17;article;2017-05-26;"Consensus-Based Algorithms for Distributed Network-State Estimation and Localization.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2626141";0
journals/tsipn/CanzianDS16;article;2017-05-28;"Collision Detection by Networked Sensors.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2015.2504721";0
journals/tsipn/YangPZP16;article;2017-05-28;"An Online Parallel Algorithm for Recursive Estimation of Sparse Signals.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2561703";0
journals/tsipn/AksoylarQS17;article;2017-05-28;"Clustering and Community Detection With Imbalanced Clusters.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2601022";0
journals/tsipn/SardellittiSB15;article;2017-06-09;"Joint Optimization of Radio and Computational Resources for Multicell Mobile-Edge Computing.";"";"2015";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2015.2448520";0
journals/tsipn/CaoCL17a;article;2017-10-19;"Data Trading With Multiple Owners, Collectors, and Users: An Iterative Auction Mechanism.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2017.2668144";0
journals/tsipn/SegarraMMR17;article;2017-08-22;"Network Topology Inference from Spectral Templates.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2017.2731051";0
journals/tsipn/MattaBMS16;article;2017-06-14;"Distributed Detection Over Adaptive Networks: Refined Asymptotics and the Role of Connectivity.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2613682";0
journals/tsipn/MeyerHWRH16;article;2017-05-28;"Distributed Localization and Tracking of Mobile Networks Including Noncooperative Objects.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2015.2511920";0
journals/tsipn/ZhangLQDT15;article;2017-05-28;"Adaptive Distributed Beamforming for Relay Networks Based on Local Channel State Information.";"";"2015";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2015.2463076";0
journals/tsipn/GentzWWSL16;article;2017-06-14;"Data Injection Attacks in Randomized Gossiping.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2614898";0
journals/tsipn/Djuric15;article;2017-05-28;"Editorial.";"";"2015";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2015.2447813";0
journals/tsipn/AlamN15;article;2017-05-28;"Stability of Agent Based Distributed Model Predictive Control Over a Lossy Network.";"";"2015";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2015.2492829";0
journals/tsipn/LorenzoBBS16;article;2017-06-09;"Adaptive Least Mean Squares Estimation of Graph Signals.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2613687";0
journals/tsipn/0001CL17;article;2017-10-19;"Hidden Chinese Restaurant Game: Grand Information Extraction for Stochastic Network Learning.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2017.2682799";0
journals/tsipn/ChenH17;article;2017-08-22;"Multilayer Spectral Graph Clustering via Convex Layer Aggregation: Theory and Algorithms.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2017.2731123";0
journals/tsipn/LiO17;article;2017-05-28;"Privacy-Constrained Parallel Distributed Neyman-Pearson Test.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2623092";0
journals/tsipn/DabareraPMS16;article;2017-06-14;"Consensus in the Presence of Multiple Opinion Leaders: Effect of Bounded Confidence.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2571839";0
journals/tsipn/MatamorosFMA15;article;2017-05-28;"Distributed ADMM for In-Network Reconstruction of Sparse Signals With Innovations.";"";"2015";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2015.2497087";0
journals/tsipn/SzurleyBM17;article;2017-05-28;"Topology-Independent Distributed Adaptive Node-Specific Signal Estimation in Wireless Sensor Networks.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2623095";0
journals/tsipn/Mahdizadehaghdam16;article;2017-05-28;"Information Diffusion of Topic Propagation in Social Media.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2618324";0
journals/tsipn/SakiyamaWT16;article;2017-05-28;"Spectral Graph Wavelets and Filter Banks With Low Approximation Error.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2581303";0
journals/tsipn/GarnaevLT16;article;2017-07-20;"Anti-jamming Strategy Versus a Low-Power Jamming Attack When Intelligence of Adversary's Attack Type is Unknown.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2015.2506038";0
journals/tsipn/RahimianJ17;article;2017-09-16;"Bayesian Learning Without Recall.";"";"2017";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2631943";0
journals/tsipn/ChenVSK16;article;2017-05-28;"Signal Recovery on Graphs: Fundamental Limits of Sampling Strategies.";"";"2016";"IEEE Trans. Signal and Information Processing over Networks";"https://doi.org/10.1109/TSIPN.2016.2614903";0
