dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsg/GinotMBM10;article;2017-05-20;"Application of Power Line Communication for Data Transmission Over PWM Network.";"";"2010";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2010.2053225";0
journals/tsg/TafreshiL15;article;2017-05-20;"Long-Term Market Equilibrium in Smart Grid Paradigm With Introducing Demand Response Provider in Competition.";"";"2015";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2015.2413951";0
journals/tsg/JovcicTTN15;article;2017-05-20;"Offshore DC Grids as an Interconnection of Radial Systems: Protection and Control Aspects.";"";"2015";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2014.2365542";0
journals/tsg/AdhikariL14;article;2017-06-15;"Coordinated V-f and P-Q Control of Solar Photovoltaic Generators With MPPT and Battery Storage in Microgrids.";"";"2014";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2014.2301157";0
journals/tsg/LiuZXCJ13;article;2017-05-20;"Taming Uncertainties in Real-Time Routing for Wireless Networked Sensing and Control.";"";"2013";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2012.2209209";0
journals/tsg/GonzattiFSPSL16;article;2017-05-20;"Smart Impedance: A New Way to Look at Hybrid Filters.";"";"2016";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2015.2466613";0
journals/tsg/HakimiT14;article;2017-05-20;"Optimal Planning of a Smart Microgrid Including Demand Response and Intermittent Renewable Energy Resources.";"";"2014";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2014.2320962";0
journals/tsg/LiuSCWWL17;article;2017-09-11;"Microgrid Risk Analysis Considering the Impact of Cyber Attacks on Solar PV and ESS Control Systems.";"";"2017";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2016.2622289";0
journals/tsg/KimG13;article;2017-05-20;"Scalable and Robust Demand Response With Mixed-Integer Constraints.";"";"2013";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2013.2257893";0
journals/tsg/WangCWB14;article;2017-05-20;"Inverter-Less Hybrid Voltage/Var Control for Distribution Circuits With Photovoltaic Generators.";"";"2014";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2014.2324569";0
journals/tsg/ZhangHXS17;article;2017-09-16;"Optimal Planning of PEV Charging Station With Single Output Multiple Cables Charging Spots.";"";"2017";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2016.2517026";0
journals/tsg/GoddardKB14;article;2017-06-15;"Model Development and Identification for Fast Demand Response in Commercial HVAC Systems.";"";"2014";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2014.2312430";0
journals/tsg/JuwonoGCXHW16;article;2017-05-20;"Linear Combining of Nonlinear Preprocessors for OFDM-Based Power-Line Communications.";"";"2016";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2015.2403953";0
journals/tsg/LiuSLLCT17;article;2017-08-23;"Protection Scheme for Loop-Based Microgrids.";"";"2017";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2016.2626791";0
journals/tsg/HeKZVY17;article;2017-09-21;"Efficient and Privacy-Preserving Data Aggregation Scheme for Smart Grid Against Internal Adversaries.";"";"2017";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2017.2720159";0
journals/tsg/Molina-GarciaMG17;article;2017-06-15;"Reactive Power Flow Control for PV Inverters Voltage Support in LV Distribution Networks.";"";"2017";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2016.2625314";0
journals/tsg/SalehHE17;article;2017-05-20;"Hybrid Passive-Overcurrent Relay for Detection of Faults in Low-Voltage DC Grids.";"";"2017";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2015.2477482";0
journals/tsg/TanW16;article;2017-05-20;"Enabling Reliability-Differentiated Service in Residential Distribution Networks With PHEVs: A Hierarchical Game Approach.";"";"2016";"IEEE Trans. Smart Grid";"https://doi.org/10.1109/TSG.2015.2420111";0
