dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tse/GuptaAF91;article;2017-05-17;"Performance Analysis of Time Warp With Multiple Homogeneous Processors.";"";"1991";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/32.99190";0
journals/tse/Ozsu85;article;2017-05-17;"Modeling and Analysis of Distributed Database Concurrency Control Algorithms Using an Extended Petri Net Formalism.";"";"1985";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/TSE.1985.231870";0
journals/tse/KramerM90;article;2017-05-17;"The Evolving Philosophers Problem: Dynamic Change Management.";"";"1990";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/32.60317";0
journals/tse/YoungLT93;article;2017-05-17;"Comments on "Temporal Logic-Based Deadlock Analysis for Ada''.";"";"1993";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/32.214836";0
journals/tse/AtkinsBBC99;article;2017-05-17;"Mawl: A Domain-Specific Language for Form-Based Services.";"";"1999";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/32.798323";0
journals/tse/PengS93;article;2017-05-17;"Optimal Scheduling of Cooperative Tasks in a Distributed System Using an Enumerative Method.";"";"1993";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/32.221134";0
journals/tse/StoyenMYP99;article;2017-05-17;"A Development Environment for Complex Distributed Real-Time Applications.";"";"1999";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/32.748918";0
journals/tse/MorenoBPOMC17;article;2017-05-17;"ARENA: An Approach for the Automated Generation of Release Notes.";"";"2017";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/TSE.2016.2591536";0
journals/tse/Taylor92;article;2017-05-17;"A Lingua Franca For Concurrent Logic Programming.";"";"1992";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/32.126771";0
journals/tse/KamathM87;article;2017-05-17;"Implementation of an FP-Shell.";"";"1987";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/TSE.1987.233198";0
journals/tse/Smith92;article;2017-06-09;"A Framework for Neural Net Specification.";"";"1992";"IEEE Trans. Software Eng.";"https://doi.org/10.1109/32.148478";0
