dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/taslp/DixB94;article;2017-05-28;"A breakpoint analysis procedure based on temporal decomposition.";"";"1994";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.260329";0
journals/taslp/GazorZ05;article;2017-05-28;"Speech enhancement employing Laplacian-Gaussian mixture.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.851943";0
journals/taslp/JiangSL05;article;2017-05-28;"A Dynamic In-Search Data Selection Method With Its Applications to Acoustic Modeling and Utterance Verification.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.851947";0
journals/taslp/BuC00;article;2017-05-28;"Perceptual speech processing and phonetic feature mapping for robust vowel recognition.";"";"2000";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.824695";0
journals/taslp/CarlsonC94;article;2017-05-28;"A projection-based likelihood measure for speech recognition in noise.";"";"1994";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.260341";0
journals/taslp/DengA97;article;2017-05-28;"Speaker-independent phonetic classification using hidden Markov models with mixtures of trend functions.";"";"1997";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.593305";0
journals/taslp/GopalanAC99;article;2017-05-28;"A comparison of speaker identification results using features based on cepstrum and Fourier-Bessel expansion.";"";"1999";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.759036";0
journals/taslp/Girin04;article;2017-05-28;"Joint matrix quantization of face parameters and LPC coefficients for low bit rate audiovisual speech coding.";"";"2004";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2003.822626";0
journals/taslp/VerginOF99;article;2017-05-28;"Generalized mel frequency cepstral coefficients for large-vocabulary speaker-independent continuous-speech recognition.";"";"1999";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.784104";0
journals/taslp/HoyaTCMHC05;article;2017-06-08;"Stereophonic noise reduction using a combined sliding subspace projection and adaptive signal enhancement.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.845792";0
journals/taslp/ClaesDBC98;article;2017-05-28;"A novel feature transformation for vocal tract length normalization in automatic speech recognition.";"";"1998";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.725321";0
journals/taslp/ChariE95;article;2017-05-28;"Adaptive enhancement of Fourier spectra.";"";"1995";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.365383";0
journals/taslp/ZhangTA97;article;2017-05-28;"Phoneme-based vector quantization in a discrete HMM speech recognizer.";"";"1997";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.554266";0
journals/taslp/Lee94;article;2017-05-28;"Corrections and supplementary note to "Information-theoretic distortion measures".";"";"1994";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.279285";0
journals/taslp/YoungWB94;article;2017-05-28;"Spontaneous speech recognition for the credit card corpus using the HTK toolkit.";"";"1994";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.326619";0
journals/taslp/AfifyGH98;article;2017-05-28;"A general joint additive and convolutive bias compensation approach applied to noisy Lombard speech recognition.";"";"1998";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.725319";1
journals/taslp/Duttweiler00;article;2017-05-28;"Proportionate normalized least-mean-squares adaptation in echo cancelers.";"";"2000";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.861368";0
journals/taslp/DurantW02;article;2017-05-28;"Efficient model fitting using a genetic algorithm: pole-zero approximations of HRTFs.";"";"2002";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.979382";0
journals/taslp/DengDA04a;article;2017-05-28;"Estimating cepstrum of speech under the presence of noise using a joint prior of static and dynamic features.";"";"2004";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2003.822627";0
journals/taslp/Reynolds94;article;2017-05-28;"Experimental evaluation of features for robust speaker identification.";"";"1994";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.326623";0
journals/taslp/GustafssonRT03;article;2017-05-28;"Source localization in reverberant environments: modeling and statistical analysis.";"";"2003";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2003.818027";0
journals/taslp/MengWP03;article;2017-05-28;"The use of belief networks for mixed-initiative dialog modeling.";"";"2003";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2003.814380";0
journals/taslp/Morgan95;article;2017-05-28;"Slow asymptotic convergence of LMS acoustic echo cancelers.";"";"1995";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.366547";0
journals/taslp/NandyB96;article;2017-05-28;"Estimating the azimuth of a sound source from the binaural spectral amplitude.";"";"1996";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.1996.481451";0
journals/taslp/ArslanH98;article;2017-06-08;"Likelihood decision boundary estimation between HMM pairs in speech recognition.";"";"1998";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.701374";0
journals/taslp/Pinkowski93;article;2017-05-28;"LPC spectral moments for clustering acoustic transients.";"";"1993";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.232619";0
journals/taslp/YuoHW05;article;2017-05-28;"Combination of autocorrelation-based features and projection measure technique for speaker identification.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.848893";0
journals/taslp/PotamianosNR05;article;2017-05-28;"Adaptive categorical understanding for spoken dialogue systems.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.845836";0
journals/taslp/RamirezG00;article;2017-09-16;"Joint position and amplitude search of algebraic multipulses.";"";"2000";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.861389";0
journals/taslp/PrandoniV00;article;2017-06-08;"R/D optimal linear prediction.";"";"2000";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.876298";0
journals/taslp/Lippmann96;article;2017-05-28;"Accurate consonant perception without mid-frequency speech energy.";"";"1996";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.1996.481454";0
journals/taslp/RocchessoS97;article;2017-06-14;"Circulant and elliptic feedback delay networks for artificial reverberation.";"";"1997";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.554269";0
journals/taslp/PikrakisTK03;article;2017-05-28;"Recognition of isolated musical patterns using context dependent dynamic time warping.";"";"2003";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2003.811533";0
journals/taslp/YuA05;article;2017-05-28;"Semiautomatic Improvements of System-Initiative Spoken Dialog Applications Using Interactive Clustering.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.851876";0
journals/taslp/RiccardiG00;article;2017-05-28;"Stochastic language adaptation over time and state in natural spoken dialog systems.";"";"2000";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.817449";0
journals/taslp/PadmanabhanB00;article;2017-05-28;"Model complexity adaptation using a discriminant measure.";"";"2000";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.824707";0
journals/taslp/BackstromAV02;article;2017-05-28;"Time-domain parameterization of the closing phase of glottal airflow waveform from voices over a large intensity range.";"";"2002";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2002.1001983";0
journals/taslp/NishidaK05;article;2017-05-28;"Speaker model selection based on the Bayesian information criterion applied to unsupervised speaker indexing.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.848890";0
journals/taslp/ChenWL02;article;2017-05-28;"Discriminating capabilities of syllable-based features and approaches of utilizing them for voice retrieval of speech information in Mandarin Chinese.";"";"2002";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2002.802541";0
journals/taslp/JablounC03;article;2017-05-28;"Incorporating the human hearing properties in the signal subspace approach for speech enhancement.";"";"2003";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2003.818031";0
journals/taslp/Afify05;article;2017-05-28;"Accurate compensation in the log-spectral domain for noisy speech recognition.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.845811";0
journals/taslp/PitzN05;article;2017-05-28;"Vocal Tract Normalization Equals Linear Transformation in Cepstral Space.";"";"2005";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/TSA.2005.848881";0
journals/taslp/DiakoloukasD99;article;2017-05-28;"Maximum-likelihood stochastic-transformation adaptation of hidden Markov models.";"";"1999";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.748122";0
journals/taslp/RoseHR94;article;2017-05-28;"Integrated models of signal and background with application to speaker identification in noise.";"";"1994";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.279273";0
journals/taslp/KawaharaLJ98;article;2017-05-28;"Flexible speech understanding based on combined key-phrase detection and verification.";"";"1998";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.725322";0
journals/taslp/KimU95;article;2017-05-28;"On estimating robust probability distribution in HMM-based speech recognition.";"";"1995";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.397092";0
journals/taslp/SaonP01;article;2017-05-28;"Data-driven approach to designing compound words for continuous speech recognition.";"";"2001";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.917678";0
journals/taslp/BorinPR00;article;2017-06-14;"Elimination of delay-free loops in discrete-time models of nonlinear acoustic systems.";"";"2000";"IEEE Trans. Speech and Audio Processing";"https://doi.org/10.1109/89.861380";0
