dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsmc/AminM89;article;2017-05-17;"Machine recognition and correction of printed Arabic text.";"";"1989";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.44052";0
journals/tsmc/Roth89;article;2017-05-17;"Neural networks for extraction of weak targets in high clutter environments.";"";"1989";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.44038";0
journals/tsmc/Korn90;article;2017-05-17;"Interactive statistical experiments with template-matching neural networks.";"";"1990";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.59977";0
journals/tsmc/LuhZ93;article;2017-05-17;"Abstracting event-based control models for high autonomy systems.";"";"1993";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.214766";1
journals/tsmc/SarmaR91;article;2017-05-17;"Multisensor data fusion and decision support for airborne target identification.";"";"1991";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.120074";0
journals/tsmc/Jang93;article;2017-06-09;"ANFIS: adaptive-network-based fuzzy inference system.";"";"1993";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.256541";0
journals/tsmc/DuchtingD80;article;2017-05-17;"Spatial Structure of Tumor Growth: A Simulation Study.";"";"1980";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/TSMC.1980.4308502";0
journals/tsmc/WorthS92;article;2017-05-17;"A neural network for tactile sensing: the Hertzian contact problem.";"";"1992";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.141323";0
journals/tsmc/Lehner86;article;2017-05-17;"On the Role of Artificial Intelligence in Command and Control.";"";"1986";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/TSMC.1986.4309001";0
journals/tsmc/Jong80;article;2017-05-17;"Adaptive System Design: A Genetic Approach.";"";"1980";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/TSMC.1980.4308561";0
journals/tsmc/NemirKK88;article;2017-05-17;"Pseudolinks and the self-tuning control of a nonrigid link mechanism.";"";"1988";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.87053";1
journals/tsmc/KhuranaAL86;article;2017-05-17;"Variable Structure Control Design for Large-Scale Systems.";"";"1986";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/TSMC.1986.289261";0
journals/tsmc/StroudD77;article;2017-05-17;"Review of "Laplace Transforms, Programs and Problems" by K. A. Stroud.";"";"1977";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/TSMC.1977.4309752";0
journals/tsmc/ForsytheB89;article;2017-05-17;"Knowledge acquisition for expert systems: some pitfalls and suggestions.";"";"1989";"IEEE Trans. Systems, Man, and Cybernetics";"https://doi.org/10.1109/21.31050";0
