dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsmc/ChenCW08;article;2017-05-17;"A Formal Virtual Enterprise Access Control Model.";"";"2008";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2008.923090";0
journals/tsmc/CalafioreCW12;article;2017-05-17;"A Distributed Technique for Localization of Agent Formations From Relative Range Measurements.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2012.2185045";0
journals/tsmc/PolakBB06;article;2017-05-17;"Head motion anticipation for virtual-environment applications using kinematics and EMG energy.";"";"2006";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2005.855781";0
journals/tsmc/Chwa10;article;2017-05-17;"Tracking Control of Differential-Drive Wheeled Mobile Robots Using a Backstepping-Like Feedback Linearization.";"";"2010";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2010.2052605";0
journals/tsmc/Clegg07;article;2017-05-17;"Building a Holarchy Using Business Process-Oriented Holonic (PrOH) Modeling.";"";"2007";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2006.886343";0
journals/tsmc/ChanC08;article;2017-05-17;"Movement Compatibility for Two-Dimensional Lever Control and Digital Counter.";"";"2008";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2008.918600";0
journals/tsmc/Perez-JimenezCS07;article;2017-06-09;"Approximate Throughput Computation of Stochastic Weighted T-Systems.";"";"2007";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2007.893455";0
journals/tsmc/PetePK96;article;2017-05-17;"Optimization of decision networks in structured task environments.";"";"1996";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.541334";0
journals/tsmc/ZouZ00;article;2017-05-17;"Global optimization: an auxiliary cost function approach.";"";"2000";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.844358";0
journals/tsmc/KanazawaUY07;article;2017-05-17;"Replicator Dynamics of Evolutionary Hypergames.";"";"2007";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2006.886361";0
journals/tsmc/Ye98;article;2017-05-17;"The MDS-ANAVA technique for assessing knowledge representation differences between skill groups.";"";"1998";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.709603";0
journals/tsmc/SuW03;article;2017-05-17;"A learning process to the identification of feature points on Chinese characters.";"";"2003";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2003.817054";0
journals/tsmc/MichaudLLDCLM05;article;2017-05-17;"Autonomous spherical mobile robot for child-development studies.";"";"2005";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2005.850596";0
journals/tsmc/Dorneich02;article;2017-05-17;"A system design framework-driven implementation of a learning collaboratory.";"";"2002";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2002.1021108";0
journals/tsmc/VirvouK04;article;2017-05-17;"Adapting the human plausible reasoning theory to a graphical user interface.";"";"2004";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2004.826300";0
journals/tsmc/CaiL12;article;2017-05-17;"Coordinating Cognitive Assistance With Cognitive Engagement Control Approaches in Human-Machine Collaboration.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2011.2169953";0
journals/tsmc/KumarS00;article;2017-05-17;"A behavior-based intelligent control architecture with application to coordination of multiple underwater vehicles.";"";"2000";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.895899";1
journals/tsmc/MeesadY03;article;2017-06-09;"Combined numerical and linguistic knowledge representation and its application to medical diagnosis.";"";"2003";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2003.811290";0
journals/tsmc/ApolloniBMPZ06;article;2017-05-17;"Learning rule representations from data.";"";"2006";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2006.878987";0
journals/tsmc/FanMSHAY10;article;2017-05-17;"Human-Agent Collaboration for Time-Stressed Multicontext Decision Making.";"";"2010";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2009.2035302";0
journals/tsmc/HaimesS96;article;2017-05-17;"Covey's seven habits and the systems approach: a comparative analysis.";"";"1996";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.508826";0
journals/tsmc/WangLCTK10;article;2017-06-09;"Provide Virtual Machine Information for Grid Computing.";"";"2010";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2010.2052598";0
journals/tsmc/WuF12;article;2017-06-09;"Design and Realization of a Framework for Human-System Interaction in Smart Homes.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2011.2159584";0
journals/tsmc/RobinsonMM06;article;2017-05-17;"A Rule-Based Expert System for Automatic Error Interpretation Within Ultrasonic Flaw Model Simulators.";"";"2006";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2006.878974";1
journals/tsmc/Sun97;article;2017-05-17;"A relation-based model for animating adaptive behavior in dynamic environments.";"";"1997";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.554685";0
journals/tsmc/AhmedT10;article;2017-05-17;"Security Policies in Distributed CSCW and Workflow Systems.";"";"2010";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2010.2046727";0
journals/tsmc/UtgoffC12;article;2017-05-17;"Real-Time Combinatorial Optimization for Elevator Group Dispatching.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2011.2157134";0
journals/tsmc/Yager96;article;2017-05-17;"On the aggregation of prioritized belief structures.";"";"1996";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.541331";0
journals/tsmc/WuC00;article;2017-05-17;"Knowledge object modeling.";"";"2000";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.833091";0
journals/tsmc/NemethCOK04;article;2017-05-17;"Using cognitive artifacts to understand distributed cognition.";"";"2004";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2004.836798";0
journals/tsmc/ChowdhurySC00;article;2017-05-17;"Hybridization of gradient descent algorithms with dynamic tunneling methods for global optimization.";"";"2000";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.844362";0
journals/tsmc/Zha09;article;2017-05-17;"A Generic P/T Net Model and Framework for Concurrent Integrated Design and Planning of Electromechanical Assemblies.";"";"2009";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2009.2014551";0
journals/tsmc/NgGLM02;article;2017-05-17;"Workforce configuration and workflow analysis of an information technology organization: a queueing network approach.";"";"2002";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2002.807047";0
journals/tsmc/MahuleaSCS12;article;2017-05-17;"Fault Diagnosis of Discrete-Event Systems Using Continuous Petri Nets.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2012.2183358";0
journals/tsmc/JiLL06;article;2017-05-17;"A probabilistic framework for modeling and real-time monitoring human fatigue.";"";"2006";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2005.855922";0
journals/tsmc/HuangRC00;article;2017-05-17;"Design and performance evaluation of mixed manual and automated control traffic.";"";"2000";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.895889";1
journals/tsmc/TorenvlietJC08;article;2017-05-17;"Object Worlds in Work Domain Analysis: A Model of Naval Damage Control.";"";"2008";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2008.2001058";0
journals/tsmc/YangK99;article;2017-05-17;"Optimal fault tolerant gait sequence of the hexapod robot with overlapping reachable areas and crab walking.";"";"1999";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.747858";0
journals/tsmc/ChanF03;article;2017-05-17;"Dynamic context generation for natural language understanding: a multifaceted knowledge approach.";"";"2003";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2003.811129";0
journals/tsmc/MurtaghSR11;article;2017-05-17;"Ultrametric Wavelet Regression of Multivariate Time Series: Application to Colombian Conflict Analysis.";"";"2011";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2010.2064301";0
journals/tsmc/YangQWC10;article;2017-05-17;"Comparison of Optimal Solutions to Real-Time Path Planning for a Mobile Vehicle.";"";"2010";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2010.2044038";0
journals/tsmc/GaoBW08;article;2017-05-17;"Reliable Observer-Based Control Against Sensor Failures for Systems With Time Delays in Both State and Input.";"";"2008";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2008.923050";0
journals/tsmc/VemuriPC01;article;2017-05-17;"Fault diagnosis of differential-algebraic systems.";"";"2001";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.911372";0
journals/tsmc/HuHZZLH09;article;2017-05-17;"Monotonic Indices Space Method and Its Application in the Capability Indices Effectiveness Analysis of a Notional Antistealth Information System.";"";"2009";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2008.2010793";0
journals/tsmc/Rovithakis00;article;2017-05-17;"Performance of a neural adaptive tracking controller for multi-input nonlinear dynamical systems in the presence of additive and multiplicative external disturbances.";"";"2000";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.895896";1
journals/tsmc/KatsikopoulosFD01;article;2017-05-17;"Experimental evaluation of policies for sequencing the presentation of associations.";"";"2001";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.903866";0
journals/tsmc/Yager01;article;2017-05-17;"The power average operator.";"";"2001";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.983429";0
journals/tsmc/CrowderRHS12;article;2017-06-14;"The Development of an Agent-Based Modeling Framework for Simulating Engineering Team Work.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2012.2199304";0
journals/tsmc/RigottiCAPF01;article;2017-06-09;"Modeling and driving a reduced human mannequin through motion captured data: a neural network approach.";"";"2001";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.925658";0
journals/tsmc/JacksonGH96;article;2017-05-17;"Concepts of single-paradigm object-oriented development, with application to a manufacturing information system.";"";"1996";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.531906";0
journals/tsmc/ParkCMY08;article;2017-05-17;"Memory-Based Human Motion Simulation for Computer-Aided Ergonomic Design.";"";"2008";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/TSMCA.2008.918588";0
journals/tsmc/MertziosG99;article;2017-05-17;"Fast Implementation of forward robot kinematics of position with distributed arithmetic architecture.";"";"1999";"IEEE Trans. Systems, Man, and Cybernetics, Part A";"https://doi.org/10.1109/3468.759293";0
