dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsmc/KanounAL11;article;2017-05-17;"Natural Language Morphology Integration in Off-Line Arabic Optical Text Recognition.";"";"2011";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/TSMCB.2010.2072990";0
journals/tsmc/ChenLC01;article;2017-05-17;"Attributed concept maps: fuzzy integration and fuzzy matching.";"";"2001";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/3477.956047";0
journals/tsmc/GunesP09;article;2017-05-17;"Automatic Temporal Segment Detection and Affect Recognition From Face and Body Display.";"";"2009";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/TSMCB.2008.927269";0
journals/tsmc/EvansUB97;article;2017-05-17;"A reactive coordination scheme for a many-robot system.";"";"1997";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/3477.604102";0
journals/tsmc/WangWSZ05;article;2017-05-17;"MetricMap: an embedding technique for processing distance-based queries in metric spaces.";"";"2005";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/TSMCB.2005.848489";0
journals/tsmc/ZhangPCF10;article;2017-05-17;"Low-Resolution Gait Recognition.";"";"2010";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/TSMCB.2010.2042166";0
journals/tsmc/ZhuangW01;article;2017-05-17;"Membership function modification of fuzzy logic controllers with histogram equalization.";"";"2001";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/3477.907571";1
journals/tsmc/Tambouratzis99;article;2017-05-17;"A novel artificial neural network for sorting.";"";"1999";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/3477.752799";0
journals/tsmc/Jeng97;article;2017-05-17;"A Petri net synthesis theory for modeling flexible manufacturing systems.";"";"1997";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/3477.558787";0
journals/tsmc/Janabi-SharifiH11;article;2017-05-17;"Experimental Analysis of Mobile-Robot Teleoperation via Shared Impedance Control.";"";"2011";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/TSMCB.2010.2073702";0
journals/tsmc/AbonyiBS01;article;2017-05-17;"Fuzzy modeling with multivariate membership functions: gray-box identification and control design.";"";"2001";"IEEE Trans. Systems, Man, and Cybernetics, Part B";"https://doi.org/10.1109/3477.956037";1
