dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsmc/WuBZCM12;article;2017-06-14;"A Novel Approach to Optimization of Refining Schedules for Crude Oil Operations in Refinery.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2012.2185226";0
journals/tsmc/YoongSRS12;article;2017-05-17;"Synthesizing Globally Asynchronous Locally Synchronous Systems With IEC 61499.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2012.2191404";0
journals/tsmc/WangL08;article;2017-05-17;"Guest Editorial Foreword to the Special Issue on Intelligent Computation for Bioinformatics.";"";"2008";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2007.906053";0
journals/tsmc/Tien00;article;2017-05-17;"Individual-centered education: An any one, any time, any where approach to engineering education.";"";"2000";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/5326.868443";0
journals/tsmc/ShinHSI99;article;2017-05-17;"Analyzing the media usage behavior of telework groups: a contingency approach.";"";"1999";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/5326.740675";0
journals/tsmc/OosteromBV02;article;2017-05-17;"Soft computing applications in aircraft sensor management and flight control law reconfiguration.";"";"2002";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2002.801357";1
journals/tsmc/SunSZ12;article;2017-05-17;"Using Coding-Based Ensemble Learning to Improve Software Defect Prediction.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2012.2226152";0
journals/tsmc/AzcarragaHPS05;article;2017-05-17;"Extracting salient dimensions for automatic SOM labeling.";"";"2005";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2004.843177";0
journals/tsmc/LiaoJZ07;article;2017-05-17;"Application of Petri Nets and Lagrangian Relaxation to Scheduling Automatic Material-Handling Vehicles in 300-mm Semiconductor Manufacturing.";"";"2007";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2007.897321";0
journals/tsmc/BehdadBBF12;article;2017-05-17;"Nature-Inspired Techniques in the Context of Fraud Detection.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2012.2215851";0
journals/tsmc/Artes-RodriguezM04;article;2017-05-17;"Special Issue on Learning: Advances in Multimedia Communications, Information Processing, and Education.";"";"2004";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2004.833268";0
journals/tsmc/HicksKS03;article;2017-05-17;"A secure PLAN.";"";"2003";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2003.817347";1
journals/tsmc/LiZW08;article;2017-05-17;"A Survey and Comparison of Petri Net-Based Deadlock Prevention Policies for Flexible Manufacturing Systems.";"";"2008";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2007.913920";0
journals/tsmc/PechoucekRCVK07;article;2017-05-17;"Agent-Based Approach to Mass-Oriented Production Planning: Case Study.";"";"2007";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2006.889537";0
journals/tsmc/ChenZA11;article;2017-09-20;"A Hybrid Simulated Annealing Algorithm for Nonslicing VLSI Floorplanning.";"";"2011";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2010.2066560";0
journals/tsmc/TyagiYTV12;article;2017-05-17;"A Fuzzy Goal Programming Approach for Optimal Product Family Design of Mobile Phones and Multiple-Platform Architecture.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2012.2198056";0
journals/tsmc/HuTWM04;article;2017-05-17;"A survey on visual surveillance of object motion and behaviors.";"";"2004";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2004.829274";0
journals/tsmc/HruschkaCFC09;article;2017-06-14;"A Survey of Evolutionary Algorithms for Clustering.";"";"2009";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2008.2007252";0
journals/tsmc/StrouliaH03;article;2017-05-17;"An intelligent-agent architecture for flexible service integration on the web.";"";"2003";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2003.818475";0
journals/tsmc/LefebvreBS05;article;2017-05-17;"Online statistical model recognition and State estimation for autonomous compliant motion.";"";"2005";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2004.840053";0
journals/tsmc/WangLZ12;article;2017-05-17;"Graph-Based Multiprototype Competitive Learning and Its Applications.";"";"2012";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2011.2174633";0
journals/tsmc/KunduB08;article;2017-05-17;"A New Model for Secure Dissemination of XML Content.";"";"2008";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2008.919213";0
journals/tsmc/DuBC03;article;2017-05-17;"Towards intelligent geographic load balancing for mobile cellular networks.";"";"2003";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2003.818495";0
journals/tsmc/SahaB09;article;2017-05-17;"Performance Evaluation of Some Symmetry-Based Cluster Validity Indexes.";"";"2009";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2009.2013335";0
journals/tsmc/JiangSC10;article;2017-05-17;"Multimodal Biometric Human Recognition for Perceptual Human-Computer Interaction.";"";"2010";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2010.2050476";0
journals/tsmc/YuZ05;article;2017-05-17;"Evolutionary fuzzy neural networks for hybrid financial prediction.";"";"2005";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2004.841902";0
journals/tsmc/GoldiezAH07;article;2017-09-08;"Effects of Augmented Reality Display Settings on Human Wayfinding Performance.";"";"2007";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2007.900665";0
journals/tsmc/LeitchP98;article;2017-05-17;"New techniques for genetic development of a class of fuzzy controllers.";"";"1998";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/5326.661094";1
journals/tsmc/RajagopalanI01;article;2017-05-17;"Exploiting data preparation to enhance mining and knowledge discovery.";"";"2001";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/5326.983929";0
journals/tsmc/Devedzic03;article;2017-06-14;"Key issues in next-generation Web-based education.";"";"2003";"IEEE Trans. Systems, Man, and Cybernetics, Part C";"https://doi.org/10.1109/TSMCC.2003.817361";0
