dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsmc/LiWLZD16;article;2017-06-14;"Adaptive Sliding Mode Control for Interval Type-2 Fuzzy Systems.";"";"2016";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2016.2531676";0
journals/tsmc/ZhangLK17;article;2017-06-14;"Sliding Window-Based Fault Detection From High-Dimensional Data Streams.";"";"2017";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2016.2585566";0
journals/tsmc/CascheraFG13;article;2017-06-09;"InteSe: An Integrated Model for Resolving Ambiguities in Multimodal Sentences.";"";"2013";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMCA.2012.2210407";0
journals/tsmc/MiyamotoH13;article;2017-05-17;"Modular Reachability Analysis of Petri Nets for Multiagent Systems.";"";"2013";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2013.2250278";0
journals/tsmc/WangG15;article;2017-05-17;"Heuristic Production and Sale Policy for a Two-Product-Type Manufacturing System With Downward Substitution.";"";"2015";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2014.2371876";0
journals/tsmc/LiXCG14;article;2017-08-22;"Optimal Advance-Selling Strategy for Fashionable Products With Opportunistic Consumers Returns.";"";"2014";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2013.2280558";0
journals/tsmc/LiuLW14;article;2017-05-17;"Online Synchronous Approximate Optimal Learning Algorithm for Multi-Player Non-Zero-Sum Games With Unknown Dynamics.";"";"2014";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2013.2295351";0
journals/tsmc/ZhangL17;article;2017-09-07;"Predictive Suboptimal Consensus of Multiagent Systems With Nonlinear Dynamics.";"";"2017";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2017.2668440";0
journals/tsmc/El-FerikA17;article;2017-07-04;"Modeling and Identification of Nonlinear Systems: A Review of the Multimodel Approach - Part 2.";"";"2017";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2016.2560129";0
journals/tsmc/GaoLS16;article;2017-05-17;"Robust Linear Estimation Fusion With Allowable Unknown Cross-Covariance.";"";"2016";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2015.2487882";0
journals/tsmc/Ghirmai16;article;2017-05-17;"Laplace Autoregressive Model for Cascaded Systems.";"";"2016";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2015.2476487";0
journals/tsmc/MoraGKH13;article;2017-06-14;"A Teleoperation Approach for Mobile Social Robots Incorporating Automatic Gaze Control and Three-Dimensional Spatial Visualization.";"";"2013";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMCA.2012.2212187";0
journals/tsmc/LiLH13;article;2017-06-09;"Second-Order Locally Dynamical Consensus of Multiagent Systems With Arbitrarily Fast Switching Directed Topologies.";"";"2013";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2013.2242466";0
journals/tsmc/ZhouWRTWRX14;article;2017-05-17;"Multivariate Probabilistic Collocation Method for Effective Uncertainty Evaluation With Application to Air Traffic Flow Management.";"";"2014";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2014.2310712";0
journals/tsmc/AlkassarWDC17;article;2017-07-11;"Robust Sclera Recognition System With Novel Sclera Segmentation and Validation Techniques.";"";"2017";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2015.2505649";0
journals/tsmc/MaoC14;article;2017-05-17;"Optimal Control of Multilayer Discrete Event Systems With Real-Time Constraint Guarantees.";"";"2014";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2014.2311966";0
journals/tsmc/ChuangHYHW17;article;2017-08-22;"Underwater Fish Tracking for Moving Cameras Based on Deformable Multiple Kernels.";"";"2017";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2016.2523943";0
journals/tsmc/BasileCC17;article;2017-08-22;"Identification of Time Petri Net Models.";"";"2017";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2016.2523929";0
journals/tsmc/CuiLXZZ13;article;2017-05-17;"Tracking Generic Human Motion via Fusion of Low- and High-Dimensional Approaches.";"";"2013";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMCA.2012.2223670";0
journals/tsmc/WangWZ13;article;2017-05-17;"Design of Optimal Monitor-Based Supervisors for a Class of Petri Nets With Uncontrollable Transitions.";"";"2013";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2012.2235427";1
journals/tsmc/ZhangKLMA13;article;2017-06-14;"R-TNCES: A Novel Formalism for Reconfigurable Discrete Event Control Systems.";"";"2013";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMCA.2012.2217321";0
journals/tsmc/JiangDCW17;article;2017-09-16;"Realizing Two-View TSK Fuzzy Classification System by Using Collaborative Learning.";"";"2017";"IEEE Trans. Systems, Man, and Cybernetics: Systems";"https://doi.org/10.1109/TSMC.2016.2577558";0
