dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tssc/Sheridan70;article;2017-05-28;"On How Often the Supervisor Should Sample.";"";"1970";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1970.300289";0
journals/tssc/North68;article;2017-05-28;"A Tutorial Introduction to Decision Theory.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300114";0
journals/tssc/Lasdon68;article;2017-05-28;"Duality and Decomposition in Mathematical Programming.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300135";0
journals/tssc/ShapiroN69;article;2017-05-28;"Use of Stochastic Automata for Parameter Self-Optimization with Multimodal Performance Criteria.";"";"1969";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1969.300228";0
journals/tssc/Stewart69;article;2017-05-28;"Electrochemically Active Field-Trainable Pattern Recognition Systems.";"";"1969";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1969.300265";0
journals/tssc/Ames68;article;2017-05-28;"Simulation of a Private Line Communications Network.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300165";0
journals/tssc/Bruno70;article;2017-05-28;"The Function of Operations Research Specialists in Large Urban School Districts.";"";"1970";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1970.300304";0
journals/tssc/Rubin66;article;2017-05-28;"General Systems and Systems Engineering.";"";"1966";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1966.300070";0
journals/tssc/Swanson68;article;2017-05-28;"Objectives of Simulation.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300157";0
journals/tssc/Fukushima69;article;2017-05-28;"Visual Feature Extraction by a Multilayered Network of Analog Threshold Elements.";"";"1969";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1969.300225";0
journals/tssc/WaldeEH68;article;2017-05-28;"GPSS/360-Norden, an Improved System Analysis Tool.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300173";0
journals/tssc/Brick68;article;2017-05-28;"On the Applicability of Wiener's Canonical Expansions.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300185";0
journals/tssc/Matheson68;article;2017-05-28;"The Economic Value of Analysis and Computation.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300126";0
journals/tssc/Spetzler68;article;2017-05-28;"The Development of a Corporate Risk Policy for Capital Investment Decisions.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300122";0
journals/tssc/ErlickiA70;article;2017-05-28;"Solution of Practical Optimization Problems.";"";"1970";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1970.300328";0
journals/tssc/Habayeb68;article;2017-05-28;"System Decomposition, Partitioning, and Integration for Microelectronics.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300144";0
journals/tssc/Toussaint70;article;2017-05-28;"On a Simple Minkowski Metric Classifier.";"";"1970";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1970.300314";0
journals/tssc/Ward67;article;2017-05-28;"Systems Engineering Problems in Computer-Driven CRT Displays for Man-Machine Communication.";"";"1967";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1967.300107";0
journals/tssc/HollandM68;article;2017-05-28;"Simulation of a Multiprocessing System Using GPSS.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300164";0
journals/tssc/HartNR68;article;2017-05-28;"A Formal Basis for the Heuristic Determination of Minimum Cost Paths.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300136";0
journals/tssc/Hall69;article;2017-05-28;"Three-Dimensional Morphology of Systems Engineering.";"";"1969";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1969.300208";0
journals/tssc/ChienF67;article;2017-05-28;"On Bayesian Learning and Stochastic Approximation.";"";"1967";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1967.300105";0
journals/tssc/Koffman68;article;2017-05-28;"Learning Games through Pattern Recognition.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300182";0
journals/tssc/BakisHN68;article;2017-05-28;"An Experimental Study of Machine Recognition of Hand-Printed Numerals.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300138";0
journals/tssc/Cosgriff69;article;2017-05-28;"The Asymptotic Approach to Traffic Dynamics.";"";"1969";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1969.300229";0
journals/tssc/Beisner67;article;2017-05-28;"Recursive Bayesian Method for Estimating States of Nonlinear System from Sequential Indirect Observations.";"";"1967";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1967.300089";0
journals/tssc/Koenig65;article;2017-05-28;"Mathematical Models of Socio-Economic Systems: An Example.";"";"1965";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1965.300059";0
journals/tssc/FapianoT67;article;2017-05-28;"System Engineering in an Industrial Environment.";"";"1967";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1967.300109";0
journals/tssc/Bradley69;article;2017-05-28;"The Systems Approach to Test Evaluation.";"";"1969";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1969.300264";0
journals/tssc/LeondesPS70;article;2017-05-28;"Nonlinear Smoothing Theory.";"";"1970";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1970.300330";0
journals/tssc/Fishburn68;article;2017-05-28;"An Abbreviated States of the World Decision Model.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300123";0
journals/tssc/ReitmanB68;article;2017-05-28;"Production Management Information System.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300170";0
journals/tssc/GolshanH70;article;2017-05-28;"A Recognition Algorithm for Handprinted Arabic Numerals.";"";"1970";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1970.300350";0
journals/tssc/MiullisR68;article;2017-05-28;"Memory Limitation and Multistage Decision Processes.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300124";0
journals/tssc/AgarwalBLS70;article;2017-05-28;"Studies in Postural Control Systems Part II: Tendon Jerk Input.";"";"1970";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1970.300286";0
journals/tssc/Hill69;article;2017-05-28;"A Search Technique for Multimodal Surfaces.";"";"1969";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1969.300237";0
journals/tssc/Howard65;article;2017-05-28;"Bayesian Decision Models for System Engineering.";"";"1965";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1965.300058";0
journals/tssc/CarterI70;article;2017-05-28;"A Simulation Model of Fire Department Operations: Design and Preliminary Results.";"";"1970";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1970.300303";0
journals/tssc/KuttySS69;article;2017-05-28;"Hypercorrelation: A Concept for System Characterization.";"";"1969";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1969.300209";0
journals/tssc/Findeisen68;article;2017-05-28;"Parametric Optimization by Primal Method in Multilevel Systems.";"";"1968";"IEEE Trans. Systems Science and Cybernetics";"https://doi.org/10.1109/TSSC.1968.300143";0
