dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tvlsi/PhamFM13;article;2017-06-14;"Low-Power Correlation for IEEE 802.16 OFDM Synchronization on FPGA.";"";"2013";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2012.2210917";0
journals/tvlsi/LinC05;article;2017-06-09;"TCG: A transitive closure graph-based representation for general floorplans.";"";"2005";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2004.840760";0
journals/tvlsi/YangA15;article;2017-05-18;"A High-Performance On-Chip Bus (MSBUS) Design and Verification.";"";"2015";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2014.2334351";0
journals/tvlsi/MichaelT05;article;2017-05-18;"Function-based compact test pattern generation for path delay faults.";"";"2005";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2005.853607";0
journals/tvlsi/RajaAB09;article;2017-05-18;"Variable Input Delay CMOS Logic for Low Power Design.";"";"2009";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2009.2027567";0
journals/tvlsi/JohnsonSCR02;article;2017-05-18;"Leakage control with efficient use of transistor stacks in single threshold CMOS.";"";"2002";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/92.988724";1
journals/tvlsi/LongKMI10;article;2017-05-18;"SACTA: A Self-Adjusting Clock Tree Architecture for Adapting to Thermal-Induced Delay Variation.";"";"2010";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2009.2023992";0
journals/tvlsi/ChenPC04;article;2005-02-08;"Timing modeling and optimization under the transmission line model.";"";"2004";"IEEE Trans. VLSI Syst.";"";0
journals/tvlsi/PetrovO04;article;2017-05-18;"Low-power instruction bus encoding for embedded processors.";"";"2004";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2004.831468";0
journals/tvlsi/SecareanuM07;article;2017-05-18;"Guest Editorial Special Section on System-on-Chip Integration: Challenges and Implications.";"";"2007";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2007.903909";0
journals/tvlsi/ChenSL10;article;2017-05-18;"A High-Performance Unified-Field Reconfigurable Cryptographic Processor.";"";"2010";"IEEE Trans. VLSI Syst.";"https://doi.org/10.1109/TVLSI.2009.2020397";0
