dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tvt/KimBL16;article;2017-05-18;"SEP Performance Using Equivalence in Nakagami-m Fading Channels.";"";"2016";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/TVT.2014.2385477";0
journals/tvt/LiXZCLBJ17;article;2017-05-18;"Utility-Based Cooperative Spectrum Sensing Scheduling in Cognitive Radio Networks.";"";"2017";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/TVT.2016.2532886";0
journals/tvt/WieJSC00;article;2017-05-18;"Handoff analysis of the hierarchical cellular system.";"";"2000";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/25.892604";0
journals/tvt/FangCL00;article;2017-05-18;"Portable movement modeling for PCS networks.";"";"2000";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/25.875258";0
journals/tvt/LeeYY10;article;2017-05-18;"Distributed Fair Scheduling for Wireless Mesh Networks Using IEEE 802.11.";"";"2010";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/TVT.2010.2076319";0
journals/tvt/YangA15;article;2017-06-15;"Increased Spectrum Access Opportunities for Secondary Users Exploiting Adaptive Modulation in Primary Links.";"";"2015";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/TVT.2014.2354074";0
journals/tvt/GuoCMC00;article;2017-05-18;"Automotive signal diagnostics using wavelets and machine learning.";"";"2000";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/25.892549";0
journals/tvt/CaoFLW14;article;2017-06-22;"Cooperative Media Access Control With Optimal Relay Selection in Error-Prone Wireless Networks.";"";"2014";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/TVT.2012.2226485";0
journals/tvt/LyuTNLZ17;article;2017-10-05;"Adaptive Centralized Clustering Framework for Software-Defined Ultra-Dense Wireless Networks.";"";"2017";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/TVT.2017.2679699";0
journals/tvt/LeiL02;article;2017-06-09;"Performance analysis of adaptive interleaving for OFDM systems.";"";"2002";"IEEE Trans. Vehicular Technology";"https://doi.org/10.1109/TVT.2002.1002494";0
