dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tvcg/EichelbaumHS13;article;2017-05-28;"LineAO - Improved Three-Dimensional Line Rendering.";"";"2013";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2012.142";0
journals/tvcg/KreylosH01;article;2017-05-28;"On Simulated Annealing and the Construction of Linear Spline Approximations for Scattered Data.";"";"2001";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/2945.910818";0
journals/tvcg/OeltzeLKJTP14;article;2017-06-09;"Blood Flow Clustering and Applications inVirtual Stenting of Intracranial Aneurysms.";"";"2014";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2013.2297914";0
journals/tvcg/SisnerosJHGPS07;article;2017-05-28;"A Multi-Level Cache Model for Run-Time Optimization of Remote Visualization.";"";"2007";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2007.1046";0
journals/tvcg/GarthKTTJ08;article;2017-06-14;"Generation of Accurate Integral Surfaces in Time-Dependent Vector Fields.";"";"2008";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2008.133";0
journals/tvcg/LiuPG12;article;2017-05-28;"Point-Based Manifold Harmonics.";"";"2012";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2011.152";0
journals/tvcg/KwonJGEYE12;article;2017-06-09;"Evaluating the Role of Time in Investigative Analysis of Document Collections.";"";"2012";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2012.89";0
journals/tvcg/SchultzK10;article;2017-05-28;"Superquadric Glyphs for Symmetric Second-Order Tensors.";"";"2010";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2010.199";0
journals/tvcg/AminiRHVIM15;article;2017-08-08;"The Impact of Interactivity on Comprehending 2D and 3D Visualizations of Movement Data.";"";"2015";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2014.2329308";0
journals/tvcg/Nguyen0WWAF16;article;2017-05-28;"SensePath: Understanding the Sensemaking Process Through Analytic Provenance.";"";"2016";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2015.2467611";0
journals/tvcg/SteffenCKR08;article;2017-05-28;"Investigation of Smoothness-Increasing Accuracy-Conserving Filters for Improving Streamline Integration through Discontinuous Fields.";"";"2008";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2008.9";0
journals/tvcg/BruneauOP15;article;2017-05-28;"Going Through, Going Around: A Study on Individual Avoidance of Groups.";"";"2015";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2015.2391862";0
journals/tvcg/StinsonB14;article;2017-05-28;"Feasibility of Training Athletes for High-Pressure Situations Using Virtual Reality.";"";"2014";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2014.23";0
journals/tvcg/Floriani16a;article;2017-05-28;"Editor's Note.";"";"2016";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2016.2515318";0
journals/tvcg/GurijalaSZGK13;article;2017-05-28;"Colon Flattening Using Heat Diffusion Riemannian Metric.";"";"2013";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2013.139";0
journals/tvcg/YangCZGY016;article;2017-05-28;"Effective Clipart Image Vectorization through Direct Optimization of Bezigons.";"";"2016";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2015.2440273";0
journals/tvcg/WangL08;article;2017-05-28;"Curve-Skeleton Extraction Using Iterative Least Squares Optimization.";"";"2008";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2008.38";0
journals/tvcg/KratzBH13;article;2017-05-28;"Anisotropic Sampling of Planar and Two-Manifold Domains for Texture Generation and Glyph Distribution.";"";"2013";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2013.83";0
journals/tvcg/WangCZDSC11;article;2017-05-28;"Efficient Volume Exploration Using the Gaussian Mixture Model.";"";"2011";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2011.97";0
journals/tvcg/GyulassyDNPBHH07;article;2017-05-28;"Topologically Clean Distance Fields.";"";"2007";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2007.70603";0
journals/tvcg/LamMK07;article;2017-05-28;"Overview Use in Multiple Visual Information Resolution Interfaces.";"";"2007";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2007.70583";0
journals/tvcg/MaraiGL07;article;2017-05-28;"Arthrodial Joint Markerless Cross-Parameterization and Biomechanical Visualization.";"";"2007";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2007.1063";0
journals/tvcg/HedmanKL17;article;2017-05-28;"Sequential Monte Carlo Instant Radiosity.";"";"2017";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2017.2676089";0
journals/tvcg/WoodD08;article;2017-06-09;"Spatially Ordered Treemaps.";"";"2008";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2008.165";0
journals/tvcg/AriettaERA14;article;2017-05-28;"City Forensics: Using Visual Elements to Predict Non-Visual City Attributes.";"";"2014";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2014.2346446";0
journals/tvcg/PanZLZ17;article;2017-09-13;"Superpixels of RGB-D Images for Indoor Scenes Based on Weighted Geodesic Driven Metric.";"";"2017";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2016.2621763";0
journals/tvcg/YangL16;article;2017-05-28;"MaterialCloning: Acquiring Elasticity Parameters from Images for Medical Applications.";"";"2016";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2015.2505285";0
journals/tvcg/ChaoLAL12;article;2017-05-28;"Human Motion Retrieval from Hand-Drawn Sketch.";"";"2012";"IEEE Trans. Vis. Comput. Graph.";"https://doi.org/10.1109/TVCG.2011.53";0
