dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/twc/SongL11;article;2017-05-18;"Diversity Analysis of Coded Beamforming in MIMO-OFDM Amplify-and-Forward Relaying Systems.";"";"2011";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2011.061511.102217";0
journals/twc/MonemiRH16;article;2017-05-18;"Low-Complexity SINR Feasibility Checking and Joint Power and Admission Control in Prioritized Multitier Cellular Networks.";"";"2016";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2015.2504084";0
journals/twc/DaiSS14;article;2017-06-09;"Data Dissemination With Side Information and Feedback.";"";"2014";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2014.2330571";0
journals/twc/Jing10;article;2017-05-18;"Combination of MRC and Distributed Space-Time Coding in Networks with Multiple-Antenna Relays.";"";"2010";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2010.061710.090972";0
journals/twc/ChiuH08;article;2017-05-18;"Transmit Beamforming with Analog Channel State Information Feedback.";"";"2008";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2008.060597";0
journals/twc/OzyurtT13;article;2017-06-15;"Unified Performance Analysis of Orthogonal Transmit Beamforming Methods with User Selection.";"";"2013";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2012.011713.112304";0
journals/twc/MochaourabHW15;article;2017-05-18;"Distributed Channel Assignment in Cognitive Radio Networks: Stable Matching and Walrasian Equilibrium.";"";"2015";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2015.2414918";0
journals/twc/MoonSW06;article;2017-05-18;"Collaborative mitigation of partial-time jamming on nonfading channels.";"";"2006";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2006.1638658";0
journals/twc/BjornsonCSLP17;article;2017-07-26;"A Random Access Protocol for Pilot Allocation in Crowded Massive MIMO Systems.";"";"2017";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2017.2660489";0
journals/twc/MusavianAL10;article;2017-05-18;"Effective capacity for interference and delay constrained cognitive radio relay channels.";"";"2010";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TCOMM.2010.05.090600";0
journals/twc/ChengYC13;article;2017-05-18;"Cross-Layer Schemes for Reducing Delay in Multihop Wireless Networks.";"";"2013";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2012.121412.120635";0
journals/twc/OhSK13;article;2017-05-18;"Dynamic Base Station Switching-On/Off Strategies for Green Cellular Networks.";"";"2013";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2013.032013.120494";0
journals/twc/ShinPPL12;article;2017-05-18;"A New Approach of Interference Alignment through Asymmetric Complex Signaling and Multiuser Diversity.";"";"2012";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2012.010312.102034";0
journals/twc/WuLMC12;article;2017-05-18;"Generalized Framework for the Analysis of Linear MIMO Transmission Schemes in Decentralized Wireless Ad Hoc Networks.";"";"2012";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2012.051712.110840";0
journals/twc/LiuTZ10;article;2017-06-15;"Joint Routing and Sleep Scheduling for Lifetime Maximization of Wireless Sensor Networks.";"";"2010";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2010.07.090629";0
journals/twc/LindblomLJ10;article;2017-06-15;"Parameterization of the MISO IFC rate region: the case of partial channel state information.";"";"2010";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2010.02.081371";0
journals/twc/ArdakaniU17;article;2017-07-26;"Relay-Assisted OFDM for Ultraviolet Communications: Performance Analysis and Optimization.";"";"2017";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2016.2626438";0
journals/twc/MusavianN15;article;2017-06-15;"Effective Capacity Maximization With Statistical Delay and Effective Energy Efficiency Requirements.";"";"2015";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2015.2412542";0
journals/twc/UysalG04a;article;2017-06-15;"On the error performance analysis of space-time trellis codes.";"";"2004";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2004.830824";0
journals/twc/HuHZCG17;article;2017-09-21;"Joint Fronthaul Multicast Beamforming and User-Centric Clustering in Downlink C-RANs.";"";"2017";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2017.2710127";0
journals/twc/DehnieT10;article;2017-06-09;"Detection of Selfish Nodes in Networks Using CoopMAC Protocol with ARQ.";"";"2010";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2010.07.091454";0
journals/twc/DarsenaGPV13;article;2017-06-09;"Blind Channel Shortening for Asynchronous SC-IFDMA Systems with CFOs.";"";"2013";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2013.100713.121519";0
journals/twc/MuiLYHL13;article;2017-05-18;"Cross-Layer Design for Congestion, Contention, and Power Control in CRAHNs under Packet Collision Constraints.";"";"2013";"IEEE Trans. Wireless Communications";"https://doi.org/10.1109/TWC.2013.092313.121625";0
