dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcad/ShimaTLD83;article;2017-05-20;"Table Look-Up MOSFET Modeling System Using a 2-D Device Simulator and Monotonic Piecewise Cubic Interpolation.";"";"1983";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/TCAD.1983.1270029";0
journals/tcad/Ramnath03;article;2017-05-20;"New approximations for the rectilinear Steiner arborescence problem [VLSI layout].";"";"2003";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/TCAD.2003.814249";0
journals/tcad/DiazKD94;article;2017-05-20;"Circuit-level electrothermal simulation of electrical overstress failures in advanced MOS I/O protection devices.";"";"1994";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/43.275358";0
journals/tcad/IsmailA04;article;2017-05-20;"Computation of signal-threshold crossing times directly from higher order moments.";"";"2004";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/TCAD.2004.829795";0
journals/tcad/PengK94;article;2017-05-20;"Automated transformation of algorithms into register-transfer level implementations.";"";"1994";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/43.259939";0
journals/tcad/PomeranzR97;article;2017-05-20;"LOCSTEP: a logic-simulation-based test generation procedure.";"";"1997";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/43.631218";0
journals/tcad/PadmanabanT03;article;2017-05-20;"An implicit path-delay fault diagnosis methodology.";"";"2003";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/TCAD.2003.818132";0
journals/tcad/WangZXLCS16;article;2017-05-20;"On the Optimal Threshold Voltage Computation of On-Chip Noise Sensors.";"";"2016";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/TCAD.2015.2513007";0
journals/tcad/PetrovO04;article;2017-05-20;"Tag compression for low power in dynamically customizable embedded processors.";"";"2004";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/TCAD.2004.829823";0
journals/tcad/Law91;article;2017-05-20;"Parameters for point-defect diffusion and recombination.";"";"1991";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/43.85758";0
journals/tcad/WongDKSP06;article;2017-05-20;"A statistical methodology for wire-length prediction.";"";"2006";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/TCAD.2005.855885";0
journals/tcad/BurnsF98;article;2017-05-20;"C5M-a control-logic layout synthesis system for high-performance microprocessors.";"";"1998";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/43.673629";1
journals/tcad/Nicolaidis89;article;2017-05-20;"Self-exercising checkers for unified built-in self-test (UBIST).";"";"1989";"IEEE Trans. on CAD of Integrated Circuits and Systems";"https://doi.org/10.1109/43.21840";0
