dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcas/LeeKL11;article;2017-05-26;"A 12b 50 MS/s 21.6 mW 0.18 mum CMOS ADC Maximally Sharing Capacitors and Op-Amps.";"";"2011";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSI.2011.2112591";0
journals/tcas/SuK08;article;2017-06-08;"Component-Efficient Multiphase Switched-Capacitor DC-DC Converter With Configurable Conversion Ratios for LCD Driver Applications.";"";"2008";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSII.2008.922467";0
journals/tcas/ZhuHCL14;article;2017-05-26;"Blind Self-Calibration Technique for I/Q Imbalances and DC-Offsets.";"";"2014";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSI.2013.2290826";0
journals/tcas/AmaravatiDBS13;article;2017-05-26;"800-nA Process-and-Voltage-Invariant 106-dB PSRR PTAT Current Reference.";"";"2013";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSII.2013.2268435";0
journals/tcas/LiouKM16;article;2017-05-26;"Wireless-Power-Transfer System Using Near-Field Capacitively Coupled Resonators.";"";"2016";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSII.2016.2535042";0
journals/tcas/ChoiKHB12;article;2017-05-26;"A 3.1-4.8-GHz IR-UWB All-Digital Pulse Generator With Variable Channel Selection in 0.13-µm CMOS Technology.";"";"2012";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSII.2012.2190856";0
journals/tcas/Staszewski11;article;2017-06-08;"State-of-the-Art and Future Directions of High-Performance All-Digital Frequency Synthesis in Nanometer CMOS.";"";"2011";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSI.2011.2150890";0
journals/tcas/CaiZDPV14;article;2017-05-26;"Finite Alphabet Iterative Decoders for LDPC Codes: Optimization, Architecture and Analysis.";"";"2014";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSI.2014.2309896";0
journals/tcas/XueCJ13;article;2017-05-26;"High-Efficiency Wireless Power Transfer for Biomedical Implants by Optimal Resonant Load Transformation.";"";"2013";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSI.2012.2209297";0
journals/tcas/ZhaHL16;article;2017-05-26;"A Novel Window Function for Memristor Model With Application in Programming Analog Circuits.";"";"2016";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSII.2015.2505959";0
journals/tcas/XieF10;article;2017-05-26;"Blind Source Separation of Continuous-Time Chaotic Signals Based on Fast Random Search Algorithm.";"";"2010";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSII.2010.2047325";0
journals/tcas/NaKM17;article;2017-09-21;"Clock Data Compensation Aware Digital Circuits Design for Voltage Margin Reduction.";"";"2017";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSI.2017.2695478";0
journals/tcas/YeY14;article;2017-05-26;"Bit-Level Multiplierless FIR Filter Optimization Incorporating Sparse Filter Technique.";"";"2014";"IEEE Trans. on Circuits and Systems";"https://doi.org/10.1109/TCSI.2014.2327287";0
