dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/ijcai/KonoligeYHR77;inproceedings;2016-07-19;"Between Regions and Objects - Surfaces and Volumes.";"IJCAI";"1977";"";"http://ijcai.org/Proceedings/77-2/Papers/019.pdf";0
conf/ijcai/MurrayR85;inproceedings;2016-07-19;"Path Resolution with Link Deletion.";"IJCAI";"1985";"";"http://ijcai.org/Proceedings/85-2/Papers/102.pdf";0
conf/ijcai/LinC05;inproceedings;2016-07-20;"Discovering Classes of Strongly Equivalent Logic Programs.";"IJCAI";"2005";"";"http://ijcai.org/Proceedings/05/Papers/0601.pdf";0
conf/ijcai/PasulaR01;inproceedings;2003-05-23;"Approximate inference for first-order probabilistic languages.";"IJCAI";"2001";"";"";0
conf/ijcai/Struss07;inproceedings;2016-07-20;"Model-Based Optimization of Testing through Reduction of Stimuli.";"IJCAI";"2007";"";"http://ijcai.org/Proceedings/07/Papers/094.pdf";0
conf/ijcai/GuoGLY17;inproceedings;2017-08-15;"Improved Deep Embedded Clustering with Local Structure Preservation.";"IJCAI";"2017";"";"https://doi.org/10.24963/ijcai.2017/243";0
conf/ijcai/X11g;inproceedings;2016-07-20;"Past IJCAI Conferences.";"IJCAI";"2011";"";"http://ijcai.org/Proceedings/11/Papers/009.pdf";0
conf/ijcai/GanzfriedS09;inproceedings;2016-07-20;"Computing Equilibria in Multiplayer Stochastic Games of Imperfect Information.";"IJCAI";"2009";"";"http://ijcai.org/Proceedings/09/Papers/034.pdf";0
conf/ijcai/MurpheyC99;inproceedings;2016-07-19;"Incremental Learning in a Fuzzy Intelligent System.";"IJCAI";"1999";"";"http://ijcai.org/Proceedings/99-2/Papers/100.pdf";0
conf/ijcai/ChuC17;inproceedings;2017-08-15;"Stacked Similarity-Aware Autoencoders.";"IJCAI";"2017";"";"https://doi.org/10.24963/ijcai.2017/216";0
conf/ijcai/Tadepalli91;inproceedings;2016-07-19;"A Formalization of Explanation-Based Macro-operator Learning.";"IJCAI";"1991";"";"http://ijcai.org/Proceedings/91-2/Papers/002.pdf";0
conf/ijcai/BoguraevA05;inproceedings;2016-07-20;"TimeML-Compliant Text Analysis for Temporal Reasoning.";"IJCAI";"2005";"";"http://ijcai.org/Proceedings/05/Papers/1202.pdf";0
conf/ijcai/LiuHSZ15;inproceedings;2016-04-11;"Incorporating Domain and Sentiment Supervision in Representation Learning for Domain Adaptation.";"IJCAI";"2015";"";"http://ijcai.org/Abstract/15/184";0
conf/ijcai/MuellerD85;inproceedings;2016-07-19;"Daydreaming in Humans and Computers.";"IJCAI";"1985";"";"http://ijcai.org/Proceedings/85-1/Papers/051.pdf";0
conf/ijcai/ZhaoS16;inproceedings;2016-07-15;"Forgetting Concept and Role Symbols in ALCOIHµ";"IJCAI";"2016";"";"http://www.ijcai.org/Abstract/16/194";0
conf/ijcai/InoueS05;inproceedings;2016-07-20;"Equivalence in Abductive Logic.";"IJCAI";"2005";"";"http://ijcai.org/Proceedings/05/Papers/0612.pdf";0
conf/ijcai/Gerrilsan75;inproceedings;2016-07-19;"The Application Of Artificial Intelligence Of Data Base Management.";"IJCAI";"1975";"";"http://ijcai.org/Proceedings/75/Papers/077.pdf";0
conf/ijcai/MuranoP15;inproceedings;2016-04-11;"Pushdown Multi-Agent System Verification.";"IJCAI";"2015";"";"http://ijcai.org/Abstract/15/158";0
conf/ijcai/IwayamaT95;inproceedings;2016-07-19;"Hierarchical Bayesian Clustering for Automatic Text Classification.";"IJCAI";"1995";"";"http://ijcai.org/Proceedings/95-2/Papers/039.pdf";0
conf/ijcai/Smith83b;inproceedings;2016-07-19;"STROBE: Support for Structured Object Knowledge Representation.";"IJCAI";"1983";"";"http://ijcai.org/Proceedings/83-2/Papers/062.pdf";0
conf/ijcai/YuanH09;inproceedings;2016-07-20;"Efficient Computation of Jointree Bounds for Systematic MAP Search.";"IJCAI";"2009";"";"http://ijcai.org/Proceedings/09/Papers/327.pdf";0
conf/ijcai/GuoDHG17;inproceedings;2017-08-15;"SitNet: Discrete Similarity Transfer Network for Zero-shot Hashing.";"IJCAI";"2017";"";"https://doi.org/10.24963/ijcai.2017/245";0
