dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/ijcai/SubramanianDC97;inproceedings;2016-07-19;"Ants and Reinforcement Learning: A Case Study in Routing in Dynamic Networks.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/006.pdf";0
conf/ijcai/StaabH97;inproceedings;2016-07-19;""Tall", "Good", "High" - Compared to What?";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/030.pdf";0
conf/ijcai/TingG97;inproceedings;2016-07-19;"Stacked Generalizations: When Does It Work?";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/011.pdf";0
conf/ijcai/GrudicL97;inproceedings;2016-07-19;"Is Nonparametric Learning Practical in Very High Dimensional Spaces?";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/002.pdf";0
conf/ijcai/WangNWSI97;inproceedings;2016-07-19;"A Method of Generating Calligraphy of Japanese Character using Deformable Contourse.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/038.pdf";0
conf/ijcai/ReedL97;inproceedings;2016-07-19;"Content Ordering in the Generation of Persuasive Discourse.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/034.pdf";0
conf/ijcai/LingW97;inproceedings;2016-07-19;"Alignment Algorithms for Learning to Read Aloud.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/012.pdf";0
conf/ijcai/ZhouF97;inproceedings;2016-07-19;"The Representation and Use of a Visual Lexicon for Automated Graphics Generation.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/039.pdf";0
conf/ijcai/Dymetman97;inproceedings;2016-07-19;"Charts, Interaction-free Grammars, and the Compact Representation of Ambiguity.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/031.pdf";0
conf/ijcai/LiC97;inproceedings;2016-07-19;"Corpus-Based Chinese-Korean Abstracting Translation System.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/026.pdf";0
conf/ijcai/MimaFI97;inproceedings;2016-07-19;"Improving Performance of Transfer-Driven Machine Translation with Extra-Linguistic Informatioon from Context, Situation and Environment.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/027.pdf";0
conf/ijcai/DimopoulosDK97;inproceedings;2016-07-19;"Integrating Explanatory and Descriptive Learning in ILP.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/016A.pdf";0
conf/ijcai/Nomura97;inproceedings;2016-07-19;"An Analysis on Crossovers for Real Number Chromosomes in an Infinite Population Size.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/021.pdf";0
conf/ijcai/Denecke97;inproceedings;2016-07-19;"An Information-based Approach for Guiding Multi-Modal Human-Computer-Interaction.";"IJCAI (2)";"1997";"";"http://ijcai.org/Proceedings/97-2/Papers/036.pdf";0
