dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/iros/RefaelD15;inproceedings;2017-06-04;"Momentum-driven single-actuated swimming robot.";"IROS";"2015";"";"https://doi.org/10.1109/IROS.2015.7353684";0
conf/iros/ScaramuzzaCD11;inproceedings;2017-06-15;"Exploiting motion priors in visual odometry for vehicle-mounted cameras with non-holonomic constraints.";"IROS";"2011";"";"https://doi.org/10.1109/IROS.2011.6095123";0
conf/iros/TakamiLFKD16;inproceedings;2017-05-22;"Non-field-of-view sound source localization using diffraction and reflection signals.";"IROS";"2016";"";"https://doi.org/10.1109/IROS.2016.7759049";0
conf/iros/MarfilBRH04;inproceedings;2017-05-22;"Real-time template-based tracking of non-rigid objects using bounded irregular pyramids.";"IROS";"2004";"";"https://doi.org/10.1109/IROS.2004.1389368";0
conf/iros/SpletzerDFTKO01;inproceedings;2017-05-22;"Cooperative localization and control for multi-robot manipulation.";"IROS";"2001";"";"https://doi.org/10.1109/IROS.2001.976240";1
conf/iros/TigliOT93;inproceedings;2017-05-22;"A reactive multi-agents system as mobile robot controller.";"IROS";"1993";"";"https://doi.org/10.1109/IROS.1993.583908";1
conf/iros/MerzK11;inproceedings;2017-05-22;"Beyond visual range obstacle avoidance and infrastructure inspection by an autonomous helicopter.";"IROS";"2011";"";"https://doi.org/10.1109/IROS.2011.6094584";0
conf/iros/NishioTN06;inproceedings;2017-05-22;"Balance Control of a Humanoid Robot Based on the Reaction Null Space Method.";"IROS";"2006";"";"https://doi.org/10.1109/IROS.2006.282408";0
conf/iros/WatanabeAN98;inproceedings;2017-05-22;"Microgravity experiments for a visual feedback control of a space robot capturing a target.";"IROS";"1998";"";"https://doi.org/10.1109/IROS.1998.724902";1
conf/iros/AvanziniZR15;inproceedings;2017-05-22;"Constraint-based Model Predictive Control for holonomic mobile manipulators.";"IROS";"2015";"";"https://doi.org/10.1109/IROS.2015.7353562";0
conf/iros/KomoguchiYPB08;inproceedings;2017-05-22;"Redundancy resolution of a 7 DOF haptic interface considering collision and singularity avoidance.";"IROS";"2008";"";"https://doi.org/10.1109/IROS.2008.4651076";1
conf/iros/KajitaKKFHYH03;inproceedings;2017-05-22;"Resolved momentum control: humanoid motion planning based on the linear and angular momentum.";"IROS";"2003";"";"https://doi.org/10.1109/IROS.2003.1248880";1
conf/iros/BrzykcyMMS01;inproceedings;2017-05-22;"Multi-agent blackboard architecture for a mobile robot.";"IROS";"2001";"";"https://doi.org/10.1109/IROS.2001.976424";0
conf/iros/VanelG96;inproceedings;2017-05-22;"Adaptive criteria for biped dynamic stability under external perturbations.";"IROS";"1996";"";"https://doi.org/10.1109/IROS.1996.570664";0
conf/iros/KlingajaySA03;inproceedings;2017-05-22;"Identification of threaded fastening parameters using the Newton Raphson Method.";"IROS";"2003";"";"https://doi.org/10.1109/IROS.2003.1248970";0
conf/iros/AraiNF05;inproceedings;2017-05-22;"Positioning and immobilization of single-cell in thermo sensitive hydro gel using optical tweezers.";"IROS";"2005";"";"https://doi.org/10.1109/IROS.2005.1545020";0
conf/iros/LeeH02;inproceedings;2017-05-22;"Self stabilizing strategy in tracking control of unmanned electric bicycle with mass balance.";"IROS";"2002";"";"https://doi.org/10.1109/IRDS.2002.1041594";1
conf/iros/HyonE02;inproceedings;2017-05-22;"Quasi-periodic gaits of passive one-legged hopper.";"IROS";"2002";"";"https://doi.org/10.1109/IRDS.2002.1041666";0
conf/iros/NejiganeSMS07;inproceedings;2017-05-22;"Online action recognition with wrapped boosting.";"IROS";"2007";"";"https://doi.org/10.1109/IROS.2007.4399094";0
conf/iros/WeiL09;inproceedings;2017-05-22;"Mobile robot path planning with eta";"IROS";"2009";"";"https://doi.org/10.1109/IROS.2009.5354829";0
conf/iros/KeshmiriZLPC15;inproceedings;2017-06-15;"Application of deep neural network in estimation of the weld bead parameters.";"IROS";"2015";"";"https://doi.org/10.1109/IROS.2015.7353868";0
conf/iros/YoshimuraSH09;inproceedings;2017-05-22;"Stochastic static analysis of link driven by actuator bundles.";"IROS";"2009";"";"https://doi.org/10.1109/IROS.2009.5354217";0
conf/iros/MouriKKO06;inproceedings;2017-05-22;"Novel Control Methods for Multi-fingered Haptic Interface Robot.";"IROS";"2006";"";"https://doi.org/10.1109/IROS.2006.282044";0
conf/iros/FeiH10;inproceedings;2017-05-22;"An object-tracking algorithm based on particle filtering with region-based level set method.";"IROS";"2010";"";"https://doi.org/10.1109/IROS.2010.5650445";0
conf/iros/TakenakaMY09a;inproceedings;2017-05-22;"Real time motion generation and control for biped robot -3";"IROS";"2009";"";"https://doi.org/10.1109/IROS.2009.5354542";1
conf/iros/WangLST05;inproceedings;2017-05-22;"Stabilization based design and experimental research of a fish robot.";"IROS";"2005";"";"https://doi.org/10.1109/IROS.2005.1545281";0
conf/iros/KoeppeBH96;inproceedings;2017-05-22;"Skill representation and acquisition of compliant motions using a teach device.";"IROS";"1996";"";"https://doi.org/10.1109/IROS.1996.571071";0
conf/iros/ParodiLJ09;inproceedings;2017-05-22;"Hardware-in-the-loop simulators for multi-vehicles scenarios: survey on existing solutions and proposal of a new architecture.";"IROS";"2009";"";"https://doi.org/10.1109/IROS.2009.5353990";0
conf/iros/GrupenC00;inproceedings;2017-05-22;"Structure and growth: a model of development for grasping with robot hands.";"IROS";"2000";"";"https://doi.org/10.1109/IROS.2000.895262";0
conf/iros/SnyderSBM12;inproceedings;2017-05-22;"Underwater object tracking using electrical impedance tomography.";"IROS";"2012";"";"https://doi.org/10.1109/IROS.2012.6386251";0
conf/iros/HaoDJ09;inproceedings;2017-05-22;"Sliding angle reconstruction and robust lateral control of autonomous vehicles in presence of lateral disturbance.";"IROS";"2009";"";"https://doi.org/10.1109/IROS.2009.5354537";1
conf/iros/ParsleyJ08a;inproceedings;2017-05-22;"Avoiding negative depth in inverse depth bearing-only SLAM.";"IROS";"2008";"";"https://doi.org/10.1109/IROS.2008.4651118";0
conf/iros/NguyenG00;inproceedings;2017-05-22;"Stereo vision-based object classification.";"IROS";"2000";"";"https://doi.org/10.1109/IROS.2000.894585";0
conf/iros/MoallemP99;inproceedings;2017-05-22;"A vibration control strategy for a boom-mounted manipulator system for high-speed positioning.";"IROS";"1999";"";"https://doi.org/10.1109/IROS.1999.813020";1
conf/iros/HinoshitaOKKTO09;inproceedings;2017-06-04;"Emergence of evolutionary interaction with voice and motion between two robots using RNN.";"IROS";"2009";"";"https://doi.org/10.1109/IROS.2009.5353887";0
conf/iros/HerzogRGPS14;inproceedings;2017-05-22;"Balancing experiments on a torque-controlled humanoid with hierarchical inverse dynamics.";"IROS";"2014";"";"https://doi.org/10.1109/IROS.2014.6942678";1
conf/iros/QuispeKS13;inproceedings;2017-10-04;"Generation of diverse paths in 3D environments.";"IROS";"2013";"";"https://doi.org/10.1109/IROS.2013.6697226";0
conf/iros/KuribayashiSNTYO93;inproceedings;2017-05-22;"Trial fabrication of micron sized arm using reversible TiNi alloy thin film actuators.";"IROS";"1993";"";"https://doi.org/10.1109/IROS.1993.583865";0
conf/iros/KimC09;inproceedings;2017-05-22;"Binaural sound localization based on sparse coding and SOM.";"IROS";"2009";"";"https://doi.org/10.1109/IROS.2009.5353978";0
conf/iros/HirzingerB06;inproceedings;2017-05-22;"Agile Robot Development (aRD): A Pragmatic Approach to Robotic Software.";"IROS";"2006";"";"https://doi.org/10.1109/IROS.2006.281756";0
conf/iros/KiaRM14;inproceedings;2017-05-22;"A centralized-equivalent decentralized implementation of Extended Kalman Filters for cooperative localization.";"IROS";"2014";"";"https://doi.org/10.1109/IROS.2014.6943090";0
conf/iros/KinoYTM06;inproceedings;2017-05-22;"Adaptive Position Control for Fully Constrained Parallel Wire Driven Systems.";"IROS";"2006";"";"https://doi.org/10.1109/IROS.2006.281736";0
conf/iros/SatohOD04;inproceedings;2017-05-22;"A color-based probabilistic tracking by using graphical models.";"IROS";"2004";"";"https://doi.org/10.1109/IROS.2004.1389423";0
conf/iros/GuzziGGC13;inproceedings;2017-05-22;"Local reactive robot navigation: A comparison between reciprocal velocity obstacle variants and human-like behavior.";"IROS";"2013";"";"https://doi.org/10.1109/IROS.2013.6696726";0
