dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/iros/KanadeKKYO95;inproceedings;2017-05-22;"Development of a video-rate stereo machine.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525868";0
conf/iros/TomiyamaKSB95;inproceedings;2017-05-22;"Versatile robot vision based on features of objects: comparison of norm criterion and neural network.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525915";0
conf/iros/XiongS95;inproceedings;2017-05-22;"Moment filters for high precision computation of focus and stereo.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525870";0
conf/iros/BajdZK95;inproceedings;2017-05-22;"Timing and kinematics of quadrupedal walking pattern.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525900";0
conf/iros/HuiG95;inproceedings;2017-05-22;"The virtual handle [force-reflecting mechanisms].";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525873";0
conf/iros/InabaKKI95;inproceedings;2017-05-22;"Two-armed bipedal robot that can walk, roll over and stand up.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525899";0
conf/iros/TremblayC95;inproceedings;2017-05-22;"Using sensor fusion and contextual information to perform event detection during a phase-based manipulation task.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525893";0
conf/iros/EomKPL95;inproceedings;2017-05-22;"The problem of stability in the application of neural network to continuous-time dynamic systems.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525904";0
conf/iros/GravesV95;inproceedings;2017-05-22;"Action selection in teleautonomous systems.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525855";0
conf/iros/YeapT95;inproceedings;2017-05-22;"Dynamic whole-arm dexterous manipulation in the plane.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525917";0
conf/iros/IskarousK95;inproceedings;2017-05-22;"Intelligent control using a neuro-fuzzy network.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525908";1
conf/iros/OnoKS95;inproceedings;2017-05-22;"Strategy for unfolding a fabric piece by cooperative sensing of touch and vision.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525922";0
conf/iros/FarahatGT95;inproceedings;2017-05-22;"Identifying contact formations in the presence of uncertainty.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525862";0
conf/iros/OtaMAYKS95;inproceedings;2017-09-16;"Transferring and regrasping a large object by cooperation of multiple mobile robots.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525938";0
conf/iros/WadaTM95;inproceedings;2017-05-22;"Omnidirectional holonomic mobile robot using nonholonomic wheels.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525923";0
conf/iros/KaticV95;inproceedings;2017-05-22;"Learning control algorithms for robot contact task using feedforward neural networks.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525935";1
conf/iros/ChenSU95;inproceedings;2017-05-22;"Planning conditional shortest paths through an unknown environment: a framed-quadtree approach.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525858";0
conf/iros/FukudaI95;inproceedings;2017-05-22;"Construction mechanism of group behavior with cooperation.";"IROS (3)";"1995";"";"https://doi.org/10.1109/IROS.1995.525937";0
