dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/jair/IhrigK97;article;2017-06-21;"Storing and Indexing Plan Derivations through Explanation-based Analysis of Retrieval Failures.";"";"1997";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.424";0
journals/jair/LeisinkK03;article;2017-06-21;"Bound Propagation.";"";"2003";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1130";0
journals/jair/Edelkamp03;article;2017-06-21;"Taming Numbers and Durations in the Model Checking Integrated Planning System.";"";"2003";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1302";0
journals/jair/LangLM03;article;2017-06-21;"Propositional Independence: Formula-Variable Independence and Forgetting.";"";"2003";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1113";0
journals/jair/HutterHLS09;article;2017-06-21;"ParamILS: An Automatic Algorithm Configuration Framework.";"";"2009";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2861";0
journals/jair/GujarN11;article;2017-06-21;"Redistribution Mechanisms for Assignment of Heterogeneous Objects.";"";"2011";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.3225";0
journals/jair/RossiMAN12;article;2017-06-21;"Transforming Graph Data for Statistical Relational Learning.";"";"2012";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.3659";0
journals/jair/ChaiPQ06;article;2017-06-21;"Cognitive Principles in Robust Multimodal Interpretation.";"";"2006";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1936";0
journals/jair/CaroD98;article;2017-06-21;"AntNet: Distributed Stigmergetic Control for Communications Networks.";"";"1998";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.530";0
journals/jair/CiglerF14;article;2017-06-21;"Symmetric Subgame-Perfect Equilibria in Resource Allocation.";"";"2014";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4166";0
journals/jair/HillD07;article;2017-06-21;"A Framework for Kernel-Based Multi-Category Classification.";"";"2007";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2251";0
journals/jair/Ortega95;article;2017-06-21;"On the Informativeness of the DNA Promoter Sequences Domain Theory (Research Note).";"";"1995";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.161";0
journals/jair/MillerPSK17;article;2017-06-21;"Logics of Common Ground.";"";"2017";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.5381";0
journals/jair/RahwanRJG09;article;2017-06-21;"An Anytime Algorithm for Optimal Coalition Structure Generation.";"";"2009";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2695";0
journals/jair/XuL00;article;2017-06-21;"Exact Phase Transitions in Random Constraint Satisfaction Problems.";"";"2000";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.696";0
journals/jair/PistoreV07;article;2017-06-21;"The Planning Spectrum - One, Two, Three, Infinity.";"";"2007";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1909";0
journals/jair/PooleZ03;article;2017-06-21;"Exploiting Contextual Independence In Probabilistic Inference.";"";"2003";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1122";0
journals/jair/Jaeger05;article;2017-06-21;"Ignorability in Statistical and Probabilistic Inference.";"";"2005";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1657";0
journals/jair/HoshinoK12;article;2017-06-21;"Generating Approximate Solutions to the TTP using a Linear Distance Relaxation.";"";"2012";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.3713";0
journals/jair/MeuleauBBHM09;article;2017-06-21;"A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains.";"";"2009";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2529";0
journals/jair/YilmazS06;article;2017-06-21;"Causes of Ineradicable Spurious Predictions in Qualitative Simulation.";"";"2006";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2065";0
journals/jair/GentJN17;article;2017-09-16;"Complexity of n-Queens Completion.";"";"2017";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.5512";0
journals/jair/BoothM06;article;2017-06-21;"Admissible and Restrained Revision.";"";"2006";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1874";0
journals/jair/KeijzerKZ14;article;2017-06-21;"Finding Optimal Solutions for Voting Game Design Problems.";"";"2014";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4109";0
journals/jair/VandegriendC98;article;2017-06-21;"The Gn, m Phase Transition is Not Hard for the Hamiltonian Cycle Problem.";"";"1998";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.512";0
journals/jair/DomshlakHS09;article;2017-06-21;"Friends or Foes? On Planning as Satisfiability and Abstract CNF Encodings.";"";"2009";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2817";0
journals/jair/David95;article;2017-06-21;"Using Pivot Consistency to Decompose and Solve Functional CSPs.";"";"1995";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.167";0
journals/jair/RankoohG15;article;2017-06-21;"ITSAT: An Efficient SAT-Based Temporal Planner.";"";"2015";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4697";0
journals/jair/AshlagiMT08;article;2017-06-21;"On the Value of Correlation.";"";"2008";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2588";0
journals/jair/Gent13;article;2017-06-21;"Optimal Implementation of Watched Literals and More General Techniques.";"";"2013";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4016";0
journals/jair/MauaCBA14;article;2017-06-21;"Probabilistic Inference in Credal Networks: New Complexity Results.";"";"2014";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4355";0
journals/jair/DixonGHLP05;article;2017-06-21;"Generalizing Boolean Satisfiability III: Implementation.";"";"2005";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.1656";0
journals/jair/Turney95;article;2017-06-21;"Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm.";"";"1995";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.120";0
journals/jair/LiuL08;article;2017-06-21;"On the Expressiveness of Levesque's Normal Form.";"";"2008";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2428";0
journals/jair/Barber00;article;2017-06-21;"Reasoning on Interval and Point-based Disjunctive Metric Constraints in Temporal Contexts.";"";"2000";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.693";0
journals/jair/BelardinelliLP14;article;2017-06-21;"Verification of Agent-Based Artifact Systems.";"";"2014";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4424";0
journals/jair/DubbaCHBD15;article;2017-06-21;"Learning Relational Event Models from Video.";"";"2015";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4395";0
journals/jair/ZaffalonM09;article;2017-06-26;"Conservative Inference Rule for Uncertain Reasoning under Incompleteness.";"";"2009";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2736";0
journals/jair/FatimaWJ06;article;2017-06-21;"Multi-Issue Negotiation with Deadlines.";"";"2006";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.2056";0
journals/jair/CooperMR14;article;2017-06-21;"Monotone Temporal Planning: Tractability, Extensions and Applications.";"";"2014";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4358";0
journals/jair/Crandall14;article;2017-06-21;"Towards Minimizing Disappointment in Repeated Games.";"";"2014";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4202";0
journals/jair/Halpern97;article;2017-06-21;"Defining Relative Likelihood in Partially-Ordered Structures.";"";"1997";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.391";0
journals/jair/KumarZT15;article;2017-06-21;"Probabilistic Inference Techniques for Scalable Multiagent Decision Making.";"";"2015";"J. Artif. Intell. Res.";"https://doi.org/10.1613/jair.4649";0
