dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/nips/RinbergDT98;inproceedings;2014-12-10;"Multi-Electrode Spike Sorting by Clustering Transfer Functions.";"NIPS";"1998";"";"http://papers.nips.cc/paper/1493-multi-electrode-spike-sorting-by-clustering-transfer-functions";0
conf/nips/EliazarP05;inproceedings;2014-12-11;"Hierarchical Linear/Constant Time SLAM Using Particle Filters for Dense Maps.";"NIPS";"2005";"";"http://papers.nips.cc/paper/2904-hierarchical-linearconstant-time-slam-using-particle-filters-for-dense-maps";0
conf/nips/ChangL90;inproceedings;2014-12-10;"Using Genetic Algorithms to Improve Pattern Classification Performance.";"NIPS";"1990";"";"http://papers.nips.cc/paper/381-using-genetic-algorithms-to-improve-pattern-classification-performance";0
conf/nips/KumarT08;inproceedings;2014-12-10;"Improved Moves for Truncated Convex Models.";"NIPS";"2008";"";"http://papers.nips.cc/paper/3618-improved-moves-for-truncated-convex-models";0
conf/nips/OsborneDGRRG12;inproceedings;2014-12-10;"Active Learning of Model Evidence Using Bayesian Quadrature.";"NIPS";"2012";"";"http://papers.nips.cc/paper/4657-active-learning-of-model-evidence-using-bayesian-quadrature";0
conf/nips/PerkinsP02;inproceedings;2014-12-10;"A Convergent Form of Approximate Policy Iteration.";"NIPS";"2002";"";"http://papers.nips.cc/paper/2143-a-convergent-form-of-approximate-policy-iteration";0
conf/nips/GoldbergerR04;inproceedings;2014-12-11;"Hierarchical Clustering of a Mixture Model.";"NIPS";"2004";"";"http://papers.nips.cc/paper/2585-hierarchical-clustering-of-a-mixture-model";0
conf/nips/GoudreauG91;inproceedings;2014-12-10;"Neural Network Routing for Random Multistage Interconnection Networks.";"NIPS";"1991";"";"http://papers.nips.cc/paper/516-neural-network-routing-for-random-multistage-interconnection-networks";0
conf/nips/Koyama12;inproceedings;2014-12-10;"Coding efficiency and detectability of rate fluctuations with non-Poisson neuronal firing.";"NIPS";"2012";"";"http://papers.nips.cc/paper/4695-coding-efficiency-and-detectability-of-rate-fluctuations-with-non-poisson-neuronal-firing";0
conf/nips/KempJ09;inproceedings;2014-12-10;"Abstraction and Relational learning.";"NIPS";"2009";"";"http://papers.nips.cc/paper/3659-abstraction-and-relational-learning";0
